country,location,name,nameWoDiacritics,subdivision,status,function,iata,lat,lon,geocoded
PF,AHE,Ahe,Ahe,,AI,---4----,,-14.433333333333334,-146.25,
PF,AHU,Ahurei,Ahurei,,RL,1-------,,-27.616666666666667,-144.35,
PF,AAA,Anaa,Anaa,,AI,---4----,,-17.35,-145.51666666666668,
PF,APK,Apataki,Apataki,,AI,---4----,,-15.583333333333334,-146.41666666666666,
PF,AUE,Arue,Arue,,RL,--3-----,,-17.533333333333335,-149.51666666666668,
PF,AXR,Arutua,Arutua,,AI,---4----,,-15.25,-146.61666666666667,
PF,AUQ,Atuona,Atuona,,AI,---4----,,-9.8,-139.03333333333333,
PF,AUT,Auti,Auti,,RL,1-------,,-22.483333333333334,-151.33333333333334,
PF,BOB,Bora Bora,Bora Bora,,AI,1--4----,,-16.45,-151.75,
PF,FAC,Faaite,Faaite,,AI,---4----,,-16.683333333333334,-145.33333333333334,
PF,FHZ,Fakahina,Fakahina,,AI,---4----,,-16,-140.16666666666666,
PF,FAV,Fakarava,Fakarava,,AI,---4----,,-16.05,-145.66666666666666,
PF,FGU,Fangatau,Fangatau,,AI,---4----,,-15.816666666666666,-140.88333333333333,
PF,FAT,Fatu Hiva,Fatu Hiva,,RL,1-------,,-10.483333333333333,-138.65,
PF,HOI,Hao,Hao,,AI,---4----,,-18.066666666666666,-140.96666666666667,
PF,HHT,Hereheretue,Hereheretue,,RL,1-------,,-19.866666666666667,-145,
PF,HHZ,Hikueru,Hikueru,,AI,---4----,,-17.55,-142.6,
PF,HIX,Hiva'Oa,Hiva'Oa,,AI,---4----,,-9.766666666666667,-139,
PF,HUH,Huahine/Fare,Huahine/Fare,,AI,--34----,,-16.683333333333334,-151.01666666666668,
PF,IKI,Ikitake,Ikitake,,RL,1-------,,-17.833333333333332,-140.85,
PF,KKR,Kaukura,Kaukura,,AI,---4----,,-15.666666666666666,-146.88333333333333,
PF,MKP,Makemo,Makemo,,AI,---4----,,-16.566666666666666,-143.68333333333334,
PF,RIK,Mangareva,Mangareva,,AA,--3-----,,-23.116666666666667,-134.96666666666667,
PF,MEE,Maroe,Maroe,,XX,--3-----,,-16.766666666666666,-150.98333333333332,
PF,MVT,Mataiva,Mataiva,,AI,---4----,,-14.866666666666667,-148.71666666666667,
PF,MAU,Maupiti,Maupiti,,AI,---4----,,-16.433333333333334,-152.25,
PF,MOE,Moerai,Moerai,,RL,1-------,,-22.45,-151.35,
PF,MOZ,Mo'orea,Mo'orea,,AI,---4----,,-17.5,-149.76666666666668,
PF,XMH,Nanihi,Nanihi,,AI,---4----,,-14.433333333333334,-146.06666666666666,
PF,NAU,Napuka,Napuka,,AI,---4----,,-14.183333333333334,-141.26666666666668,
PF,TUP,Niau,Niau,,RL,1-------,,-16.116666666666667,-146.36666666666667,
PF,NHV,Nuku Hiva,Nuku Hiva,,AI,1--4----,,-8.866666666666667,-140.13333333333333,
PF,NUK,Nukutavake,Nukutavake,,AI,---4----,,-19.283333333333335,-138.76666666666668,
PF,OTP,Otepa,Otepa,,RL,1-------,,-18.116666666666667,-140.9,
PF,PAP,Papara,Papara,,RL,--3-----,,-17.75,-149.55,
PF,PPT,Papeete,Papeete,,AI,1-345---,,-17.533333333333335,-149.56666666666666,
PF,PKP,Pukapuka,Pukapuka,,AI,---4----,,-14.816666666666666,-138.8,
PF,PUK,Pukaruha,Pukaruha,,AI,---4----,,-18.3,-137.01666666666668,
PF,PAA,Punaauia,Punaauia,,RL,--3-----,,-17.633333333333333,-149.6,
PF,RFP,Raiatea,Raiatea,,AI,1--4----,,-16.733333333333334,-151.46666666666667,
PF,RVV,Raivavae,Raivavae,,RL,1-------,,-23.883333333333333,-147.66666666666666,
PF,RGI,Rangiroa,Rangiroa,,AI,---4----,,-14.95,-147.66666666666666,
PF,REA,Reao,Reao,,AI,---4----,,-18.466666666666665,-136.43333333333334,
PF,RUR,Rurutu,Rurutu,,AI,---4----,,-22.433333333333334,-151.36666666666667,
PF,FAA,Tahiti Fa'a'�,Tahiti Fa'a'a,,AI,--345---,,-17.55,-149.6,
PF,TAI,Taiohae,Taiohae,,RL,1-3-----,,-8.9,-140.1,
PF,TKP,Takapoto,Takapoto,,AI,---4----,,-14.716666666666667,-145.25,
PF,TKX,Takaroa,Takaroa,,AI,---4----,,-14.45,-145.01666666666668,
PF,TJN,Takume,Takume,,AI,---4----,,-15.85,-142.26666666666668,
PF,TKV,Tatakoto,Tatakoto,,AI,---4----,,-17.35,-138.45,
PF,TTI,Tertiaroa,Tertiaroa,,AI,---4----,,-17.016666666666666,-149.58333333333334,
PF,TIH,Tikehau,Tikehau,,AI,---4----,,-15.116666666666667,-148.23333333333332,
PF,GMR,Totegegie,Totegegie,,AI,---4----,,-23.083333333333332,-134.88333333333333,
PF,TUB,Tubuai,Tubuai,,AI,---4----,,-23.366666666666667,-149.51666666666668,
PF,ZTA,Tureia,Tureia,,AI,---4----,,-20.783333333333335,-138.56666666666666,
PF,UAH,Ua Huka,Ua Huka,,AI,---4----,,-8.916666666666666,-139.55,
PF,UAP,Ua Pou,Ua Pou,,AI,---4----,,-9.35,-140.08333333333334,
PF,UTU,Uturoa,Uturoa,,XX,1-------,,-16.733333333333334,-151.45,
PF,VHZ,Vahitahi,Vahitahi,,AI,---4----,,-18.783333333333335,-138.85,
PF,VAI,Vaitape,Vaitape,,RQ,1-------,,-16.50741,-151.74913,true
