country,location,name,nameWoDiacritics,subdivision,status,function,iata,lat,lon,geocoded
PG,ABW,Abau,Abau,,AI,1--4----,,,,
PG,AFR,Afore,Afore,,AI,---4----,,-9.138344750000002,148.39097141857889,true
PG,AUP,Agaun,Agaun,,AI,---4----,,-9.9274741,149.39037940175524,true
PG,AHO,Ahioma,Ahioma,,RL,1-------,,-10.3237242,150.5028902,true
PG,AIA,Aiambak,Aiambak,WPD,RL,1-------,,-7.35,141.26666666666668,
PG,AIE,Aiome,Aiome,,AI,---4----,,-5.138756600000001,144.73309968326924,true
PG,ATP,Aitape,Aitape,,AI,---4----,,-3.1413163500000003,142.34649996759546,true
PG,AYU,Aiyura,Aiyura,,AI,---4----,,-6.3366412,145.90298982972382,true
PG,AKI,Akinum,Akinum,,QQ,1-------,,-6.2687334,149.7345298,true
PG,ALC,Alcester Island,Alcester Island,MBA,RQ,1-------,,-9.566666666666666,152.45,
PG,GUR,Alotau,Alotau,,AI,1--4----,,-10.3060931,150.4464005,true
PG,AMF,Ama,Ama,,AI,---4----,,-4.1015945,141.6703234132665,true
PG,AMU,Amanab,Amanab,,AI,---4----,,-3.58802465,141.21486283256857,true
PG,AZB,Amazon Bay,Amazon Bay,,AI,---4----,,-10.25,150.41667,true
PG,AMG,Amboin,Amboin,,AI,---4----,,-4.5968995,143.52293596367795,true
PG,AUJ,Ambunti,Ambunti,,AI,---4----,,-4.21622725,142.82368032181216,true
PG,AMI,Amio,Amio,EBR,RL,1-------,,-6.116666666666666,150.75,
PG,ADC,Andakombe,Andakombe,,RL,---4----,,-7.133333333333334,145.73333333333332,
PG,ANB,Anewa Bay,Anewa Bay,NSB,RL,1-------,,-6.2,155.55,
PG,AGG,Angoram,Angoram,,AI,---4----,,-4.0576345,144.07379299928292,true
PG,AKG,Anguganak,Anguganak,,AI,---4----,,-3.5607298,142.21748412326326,true
PG,AOB,Annanberg,Annanberg,,AI,---4----,,-4.88874,144.61601,true
PG,APR,April River,April River,,AI,---4----,,-4.6761605,142.53987197608575,true
PG,ARP,Aragip,Aragip,,AI,---4----,,-9.87328915,149.48306667669368,true
PG,RAW,Arawa,Arawa,,AI,---45---,,-6.216666666666667,155.55,
PG,AOA,Aroa,Aroa,,AI,---4----,,-9.05,146.8,true
PG,AON,Arona,Arona,,AI,---4----,,-6.2664027,146.0211838,true
PG,APP,Asapa,Asapa,,AI,---4----,,-8.97966935,148.1030075389151,true
PG,AEK,Aseki,Aseki,,AI,---4----,,-7.35184505,146.19432916826815,true
PG,ASZ,Asirim,Asirim,,AI,---4----,,-6.0101495499999995,150.36918934182904,true
PG,ABP,Atkamba,Atkamba,,AI,---4----,,-6.0647021500000005,141.09521515526734,true
PG,AUI,Aua Island,Aua Island,,AI,---4----,,,,
PG,AUV,Aumo,Aumo,,AI,---4----,,-5.7278249,148.4458293285261,true
PG,AWB,Awaba,Awaba,,AI,---4----,,-8.012969250000001,142.75219131515533,true
PG,AWR,Awar,Awar,,AI,---4----,,-4.1432493,144.8421025,true
PG,BAP,Baibara,Baibara,,AI,---4----,,,,
PG,VMU,Baimuru,Baimuru,,AI,---4----,,-7.4972747,144.82143109558854,true
PG,BDZ,Baindoung,Baindoung,,AI,---4----,,-6.346974149999999,146.94186235339149,true
PG,BAJ,Bali,Bali,,AI,---4----,,-3.61503,142.92355,true
PG,OPU,Balimo,Balimo,,AI,---4----,,-8.050463350000001,142.9373403906789,true
PG,BCP,Bambu,Bambu,,AI,---4----,,-5.8632507,146.49327607781856,true
PG,BMZ,Bamu,Bamu,,AI,---4----,,,,
PG,BNZ,Banz,Banz,,AI,---4----,,-5.7998015,144.6283045,true
PG,BPD,Bapi,Bapi,,AI,---4----,,-7.7435241999999995,147.02074083466863,true
PG,BWJ,Bawan,Bawan,,AI,---4----,,-6.3989861,146.8891735,true
PG,BSP,Bensbach,Bensbach,,AI,---4----,,,,
PG,BEA,Bereina,Bereina,,AI,---4----,,-8.6377859,146.5107874,true
PG,BWP,Bewani,Bewani,,AI,---4----,,-3.0210571,141.16460270691974,true
PG,BAA,Bialla,Bialla,,AI,---4----,,-5.3315012500000005,151.00962156530997,true
PG,BPK,Biangabip,Biangabip,,RL,---4----,,-6.066666666666666,144.93333333333334,
PG,BRP,Biaru,Biaru,,AI,---4----,,-8.50302,146.32549,true
PG,BIJ,Biliau,Biliau,,AI,---4----,,-5.209680349999999,145.78660452599757,true
PG,BIZ,Bimin,Bimin,,AI,---4----,,-5.2744497500000005,142.03363388716463,true
PG,XBN,Biniguni,Biniguni,,AI,---4----,,-9.6510036,149.305459,true
PG,BNV,Boana,Boana,,AI,---4----,,-6.4319278,146.8238559,true
PG,BOV,Boang,Boang,,AI,---4----,,-3.38254995,153.28074279237575,true
PG,BNM,Bodinumu,Bodinumu,,AI,---4----,,-9.13600595,147.669050853269,true
PG,BOI,Boigu Island,Boigu Island,WPD,RQ,1-------,,-9.266666666666667,142.21666666666667,
PG,BOQ,Boku,Boku,,AI,---4----,,-6.54143,155.3430531,true
