country,location,name,nameWoDiacritics,subdivision,status,function,iata,lat,lon,geocoded
PH,ABU,Abulug,Abulug,CAG,RL,1-------,,18.433333333333334,121.45,
PH,ADL,Adlay/Bislig,Adlay/Bislig,,QQ,1-------,,9.40972,125.8975,true
PH,AGO,Agoncillo,Agoncillo,BTG,RL,--3-----,,13.933333333333334,120.93333333333334,
PH,AOO,Agoo,Agoo,LUN,RQ,-----6--,,16.316666666666666,120.36666666666666,
PH,AHE,Aheron/Ozamis,Aheron/Ozamis,,QQ,1-------,,,,
PH,AJU,Ajuy,Ajuy,ILI,RQ,1-------,,11.166666666666666,123.03333333333333,
PH,AEL,Alabel,Alabel,SCO,RQ,-----6--,,65.36666666666666,125.26666666666667,
PH,AAV,Alah,Alah,,AI,---4----,,6.45855,124.6679,true
PH,ALM,Alaminos,Alaminos,PAN,RL,--3-----,,16.15,119.96666666666667,
PH,ALA,Alasang/Siain,Alasang/Siain,,QQ,1-------,,,,
PH,ALB,Albuera,Albuera,LEY,RQ,1-------,,10.966666666666667,124.63333333333334,
PH,ALC,Alcoy,Alcoy,CEB,RQ,1-3-----,,9.683333333333334,123.5,
PH,ALE,Aleran/Ozamis,Aleran/Ozamis,,QQ,1-------,,,,
PH,ALI,Alitagtag,Alitagtag,BTG,RL,--3-----,,13.85,121,
PH,AMA,Amadeo,Amadeo,CAV,RL,--3-----,,14.166666666666666,120.91666666666667,
PH,AMU,Amunitan/Aparri,Amunitan/Aparri,CAG,RL,1-------,,18.316666666666666,122.05,
PH,ANA,Anakan/Masao,Anakan/Masao,,QQ,1-------,,8.84778,125.15139,true
PH,AGT,Angat,Angat,BUL,RL,--3-----,,14.916666666666666,121.01666666666667,
PH,AGL,Angeles,Angeles,,RQ,-23-----,,15.1389351,120.5875321,true
PH,ANG,Angono,Angono,RIZ,RL,--3-----,,14.516666666666667,121.13333333333334,
PH,ANT,Antipolo,Antipolo,APA,RQ,1-------,,14.5871972,121.1759246,true
PH,OTP,Antipolo,Antipolo,QUE,RL,--3-----,,13.616666666666667,122.46666666666667,
PH,EUQ,Antique Evelio Javier Apt,Antique Evelio Javier Apt,ANT,RQ,---4----,,10.766666666666667,121.93333333333334,
PH,APA,Apalit,Apalit,PAM,RL,--3-----,,14.95,120.76666666666667,
PH,APR,"""Aparri"," Luzon""","""Aparri"," Luzon""",,1-------,18.3573529,121.6374711,true
PH,ARA,Aras Asan/Bislig,Aras Asan/Bislig,DAO,RL,1-------,,8.883333333333333,126.3,
PH,ARY,Arayat,Arayat,PAM,RL,--3-----,,15.15,120.76666666666667,
PH,ARI,Aringay,Aringay,LUN,RL,--3-----,,16.383333333333333,120.35,
PH,AST,Astorga,Astorga,DAS,RQ,1-------,,6.883333333333333,125.45,
PH,ATI,Atimonan/Siain,Atimonan/Siain,QUE,RL,1-------,,13.983333333333333,121.9,
PH,BAB,Babato/Dadiangas,Babato/Dadiangas,,QQ,1-------,,6.11278,125.17278,true
PH,BAN,Bacnotan,Bacnotan,LUN,RL,--3-----,,16.716666666666665,120.35,
PH,BCD,"""Bacolod"," Negros""","""Bacolod"," Negros""",,1--4----,10.6576032,122.97747140938826,true
PH,BCL,Bacolor,Bacolor,PAM,RL,--3-----,,15,120.65,
PH,BCO,Bacon/Legaspi,Bacon/Legaspi,,QQ,1-------,,13.03778,124.04111,true
PH,BAC,Bacong,Bacong,NER,RQ,1-------,,9.233333333333333,123.3,
PH,BOO,Bacoor,Bacoor,CAV,RL,--3-----,,14.45,120.93333333333334,
PH,BCU,Baculin/Mati,Baculin/Mati,,QQ,1-------,,8.51944,126.33861,true
PH,BGC,Bagac,Bagac,,RQ,1-------,,14.5967431,120.3922913,true
PH,BNQ,Baganga/Mati,Baganga/Mati,,AI,1--4----,,6.9496591,126.27323003492296,true
PH,BGI,Bagui Bay/San Fernando,Bagui Bay/San Fernando,,QQ,1-------,,9.49435,118.5984,true
PH,BAG,Baguio,Baguio,,AI,1--4----,,16.375076,120.61927080757144,true
PH,BAI,Bais/Dumaguete,Bais/Dumaguete,,QQ,1-------,,16.88333,120.55,true
PH,BLC,"""Balabac"," Palawan""","""Balabac"," Palawan""",PLW,1-3-----,7.9864527,117.0647312,true
PH,BAL,Balaboe,Balaboe,,QQ,1-------,,,,
PH,BAA,Balagtas,Balagtas,BUL,RL,--3-----,,14.816666666666666,120.86666666666666,
PH,BLM,Balamban,Balamban,CEB,RL,--3-----,,10.5,123.71666666666667,
PH,BLA,Balanga/Batan,Balanga/Batan,,QQ,1-------,,14.6795669,120.5409693,true
PH,BLY,Balayan,Balayan,BTG,RL,--3-----,,13.933333333333334,120.73333333333333,
PH,BLN,Balengan/Siain,Balengan/Siain,,QQ,1-------,,,,
PH,BQA,Baler/Siain,Baler/Siain,,AI,1--4----,,15.7589,121.5607,true
PH,BGS,Balingasag,Balingasag,,RL,1-3-----,,8.75,124.78333333333333,
PH,BLT,Balintang/Puerto Princesa,Balintang/Puerto Princesa,,QQ,1-------,,11.03361,122.8925,true
PH,BLG,Balogo/Batangas,Balogo/Batangas,,QQ,1-------,,10.8868,124.7105,true
PH,BLU,Balumo/Zamboanga,Balumo/Zamboanga,,QQ,1-------,,18.1925,120.5553,true
PH,BMN,Bamban,Bamban,TAR,RL,--3-----,,15.666666666666666,120.33333333333333,
PH,BNW,Banawan/Dadiangas,Banawan/Dadiangas,,QQ,1-------,,13.03575,123.44783,true
PH,BGK,Bangkal,Bangkal,,RL,-----6--,,14.533333333333333,121,
PH,4BA,Bangui,Bangui,ILN,RL,--3-----,,18.533333333333335,120.75,
PH,BTY,Bantayon/San Jose,Bantayon/San Jose,,QQ,1-------,,14.81389,121.04528,true
PH,BAR,Baras,Baras,CAT,RL,--3-----,,13.65,124.36666666666666,
PH,BRB,Barobo/Bislig,Barobo/Bislig,,QQ,1-------,,8.53528,126.12139,true
PH,BRT,Barton/Puerto Princesa,Barton/Puerto Princesa,,QQ,1-------,,11.03361,122.8925,true
PH,BSO,Basco,Basco,BTN,AI,1--4----,,20.45,121.96666666666667,
PH,BSY,Basey/Catbalogan,Basey/Catbalogan,,QQ,1-------,,11.28167,125.06833,true
PH,BAS,Basiauang/Dadiangas,Basiauang/Dadiangas,,RQ,1-------,,6.4854,124.04301,true
PH,BTN,"""Bataan"," Mariveles""","""Bataan"," Mariveles""",,1-------,13.6958026,121.4328025,true
PH,BTG,Batangas/Luzon,Batangas/Luzon,BTG,AI,1-3--6--,,13.75,121.05,
PH,BTS,Batarasa/Puerto Princesa,Batarasa/Puerto Princesa,,QQ,1-------,,11.03361,122.8925,true
PH,BAT,Batonbaton,Batonbaton,PLW,RQ,1-------,,9.183333333333334,118.35,
PH,BAU,Bauan/Batangas,Bauan/Batangas,BTG,RL,1-------,,13.8,121,
PH,BNG,Bauang,Bauang,LUN,RL,123-----,,16.516666666666666,120.31666666666666,
PH,BAY,Bay,Bay,LAG,RL,--3-----,,14.166666666666666,121.28333333333333,
PH,BYS,Bayabas/Bislig,Bayabas/Bislig,,QQ,1-------,,8.96667,126.26667,true
PH,BYP,Bayang Point,Bayang Point,,QQ,1-------,,7.79278,124.19167,true
PH,BYW,Bayawan/Dumaguete,Bayawan/Dumaguete,,QQ,1-------,,9.5,122.8,true
PH,BYB,Baybay/Tacloban,Baybay/Tacloban,,QQ,1-------,,11.1989893,125.0241924,true
PH,BMB,Bayombong,Bayombong,NUV,RL,--3-----,,16.466666666666665,121.15,
PH,NAN,Binan,Binan,CAV,RQ,-----6--,,14.266666666666667,121.58333333333333,
PH,BIN,Bi�an,Binan,LAG,RL,1-3-----,,14.333333333333334,121.08333333333333,
