country,location,name,nameWoDiacritics,subdivision,status,function,iata,lat,lon,geocoded
PK,AAW,Abbottabad,Abbottabad,,AI,--34----,,34.1436136,73.2132747,true
PK,ADP,Ahmadpur,Ahmadpur,,AF,--3-----,,30.6836301,71.7611651,true
PK,ARF,Arifwala,Arifwala,,AF,-23-----,,30.2944504,73.0589418,true
PK,ATG,Attock,Attock,,AI,--34----,,33.7695323,72.3610911,true
PK,ATY,Attock City,Attock City,,AF,-2------,,33.90554,72.30729,true
PK,BDN,Badin,Badin,,AI,-234----,,24.65936175,68.84453797140385,true
PK,BAG,Bagh/AJK,Bagh/AJK,,AF,--3-----,,33.9800085,73.7737878,true
PK,WGB,Bahawalnagar,Bahawalnagar,,AI,--34----,,29.9935922,73.2527621,true
PK,BHV,Bahawalpur,Bahawalpur,PB,AI,-234----,,29.394644,71.6638747,true
PK,BNP,Bannu,Bannu,KP,AI,-234----,,32.9857007,70.6036017,true
PK,BPR,Bhai Pheru,Bhai Pheru,,AF,--3-----,,31.206379,73.946082,true
PK,BKR,Bhakkar,Bhakkar,,AF,-23-----,,31.6303103,71.0676914,true
PK,BWL,Bhalwal,Bhalwal,PB,RL,--3-----,,32.266666666666666,72.86666666666666,
PK,BHM,Bhimber,Bhimber,JK,RL,--3-----,,32.96666666666667,74.06666666666666,
PK,BHC,Bhurban,Bhurban,,AI,--34----,,33.95454,73.45322,true
PK,BRW,Burewala,Burewala,,AF,--3-----,,30.1588005,72.6796973,true
PK,CWP,Campbellpore,Campbellpore,,AI,---4----,,33.94487,72.42489,true
PK,CKW,Chakwal,Chakwal,,AF,--3-----,,32.932827,72.8629763,true
PK,CMN,Chaman,Chaman,BA,AS,-23----B,,30.916666666666668,66.43333333333334,
PK,CGM,Changa Manga,Changa Manga,,AF,--3-----,,31.0881049,73.9664772,true
PK,CSD,Charsadda,Charsadda,,AF,-23-----,,34.1461506,71.7337464,true
PK,CCE,Chichawatni,Chichawatni,,AF,-23-----,,30.531691,72.6914049,true
PK,CCM,Chichoki Mallian,Chichoki Mallian,,AF,-23-----,,32.42055,73.83067,true
PK,CHB,Chilas,Chilas,,AI,--34----,,35.4266262,74.0862815,true
PK,CSI,Chishtian,Chishtian,,AF,-23-----,,29.7945611,72.857779,true
PK,CJL,Chitral,Chitral,KP,AI,--34----,,35.88800125,71.80088748911751,true
PK,DDU,Dadu,Dadu,SD,AI,-234----,,26.7274836,67.7804974,true
PK,DRK,Daharki,Daharki,,AF,-23-----,,28.052158,69.7030649,true
PK,DBA,Dalbandin,Dalbandin,BA,AI,-234----,,28.8729936,64.4076771983749,true
PK,DKA,Daska,Daska,,AF,--3-----,,32.3323692,74.352516,true
PK,DEA,Dera Ghazi Khan,Dera Ghazi Khan,PB,AS,-23-----,,30.0321374,70.6401114,true
PK,DSK,Dera Ismail Khan,Dera Ismail Khan,KP,AI,--34----,,31.827527,70.9090919,true
PK,DIR,Dir,Dir,,AF,--3-----,,35.2080144,71.8779773,true
PK,LYP,Faisalabad,Faisalabad,PB,AI,-234-6--,,31.41232645,73.05495959089825,true
PK,FZB,Faizabad,Faizabad,KP,RL,--3-----,,34.38333333333333,71.75,
PK,GAD,Gadoon,Gadoon,IS,RQ,--3-----,,34.1827475,72.6794001,true
PK,GHB,Garhi Habibullah Khan,Garhi Habibullah Khan,KP,RL,--3--6--,,34.4,73.38333333333334,
PK,GHK,Ghakhar,Ghakhar,,AF,--3-----,,32.30268,74.1472,true
PK,GHT,Ghotki,Ghotki,SD,RL,--3-----,,28.016666666666666,69.31666666666666,
PK,GIL,Gilgit,Gilgit,GB,AI,--34----,,35.91896215,74.33393140113188,true
PK,GKN,Gujar Khan,Gujar Khan,,AF,-23-----,,33.2543205,73.3065712,true
PK,GRW,Gujranwala,Gujranwala,,AF,-23-----,,32.1525312,74.1933745,true
PK,GRT,Gujrat,Gujrat,PB,AI,-234----,,32.5686782,74.071481,true
PK,GWD,Gwadar,Gwadar,BA,AI,1-34----,,25.2323386,62.32853371039799,true
PK,HFD,Hafizabad,Hafizabad,,AF,--3-----,,32.072546,73.6857558,true
PK,HPR,Haripur,Haripur,,AF,--3-----,,33.9944889,72.9331737,true
PK,HRU,Haripur Hazara,Haripur Hazara,,AF,-2------,,33.99863,72.933844,true
PK,HAS,Hasilpur,Hasilpur,PB,RL,-----6--,,29.75,71.63333333333334,
PK,HSN,Hassanabdal,Hassanabdal,,AF,--3-----,,33.82593475,72.62811183676361,true
PK,HVN,Havelian,Havelian,,AF,-23-----,,34.0519127,73.153453,true
PK,HAY,Hayatabad,Hayatabad,KP,RL,-----6--,,34.266666666666666,71.68333333333334,
PK,HUB,Hub,Hub,,AF,--3-----,,25.0255428,66.8840285,true
PK,HDD,Hyderabad,Hyderabad,SD,AI,-234-6--,,25.4075358,68.36134563257718,true
PK,ISB,Islamabad,Islamabad,IS,AI,--345---,,33.6938118,73.0651511,true
PK,JAG,Jacobabad,Jacobabad,SD,AI,-234----,,28.28384345,68.45826131410988,true
PK,JLP,Jalalpur,Jalalpur,,AF,--3-----,,32.6481025,74.0561851,true
PK,JAM,Jam Shoro,Jam Shoro,SD,RL,--3-----,,25.433333333333334,68.33333333333333,
PK,JRD,Jamrud,Jamrud,,AF,--3-----,,34.0020094,71.3808343,true
PK,JNW,Jaranwala,Jaranwala,,AF,-23-----,,31.4492626,73.4819875,true
PK,JLM,Jhal Magsi,Jhal Magsi,,AF,--3-----,,28.2851797,67.4543321,true
PK,JNG,Jhang,Jhang,,AF,--3-----,,31.2728805,72.3103071,true
PK,JHC,Jhang City,Jhang City,,AF,-2------,,31.271746,72.31809,true
PK,JMR,Jhelum,Jhelum,PB,AF,-23-----,,32.93333333333333,73.73333333333333,
PK,JIW,Jiwani,Jiwani,BA,AI,1-34----,,25.0670778,61.80274157648067,true
PK,JGS,Jungshahi,Jungshahi,,AF,-2------,,24.85710585,67.7745938462678,true
PK,KBW,Kabirwala,Kabirwala,,AF,--3-----,,30.4033711,71.8692824,true
PK,KCF,Kadanwari,Kadanwari,,AI,---4----,,27.15749,69.31594,true
PK,KBH,Kalat,Kalat,,AI,--34----,,29.029138,66.5887761,true
PK,KML,Kamalia,Kamalia,,AF,--3-----,,30.7269883,72.6450218,true
PK,KMB,Kambar,Kambar,,AF,--3-----,,27.5892431,67.9996747,true
PK,KHI,Karachi,Karachi,SD,AI,12345---,,24.90582475,67.1614488758469,true
PK,KYC,Karachi City,Karachi City,,AF,-2------,,24.938833,67.089141,true
PK,KCT,Karachi Container Terminal,Karachi Container Terminal,SD,RL,1-------,,24.824883999999997,66.97628031875333,true
PK,PZK,Karachi Freight Terminal,Karachi Freight Terminal,SD,RQ,-----6--,,24.866666666666667,67.03333333333333,
PK,KZL,Kashmor,Kashmor,,AF,-23-----,,28.4322915,69.5814755,true
PK,KUS,Kasur,Kasur,,AF,--3-----,,31.1175143,74.4478314,true
PK,KBA,Keti Bandar,Keti Bandar,,RQ,1-------,,24.133333333333333,67.43333333333334,
PK,KBU,Keti Bunder,Keti Bunder,SD,AS,1-3-----,,26.87162,67.42921,true
PK,KHP,Khairpur,Khairpur,,AF,-23-----,,27.5268953,68.7593983,true
PK,KWL,Khanewal,Khanewal,,AF,-23-----,,30.3022528,71.9278916,true
PK,KPR,Khanpur,Khanpur,,AF,-23-----,,28.6477403,70.656008,true
PK,QKH,Kharian,Kharian,,AI,---4----,,32.8100237,73.8663245,true
PK,KWA,Khewra,Khewra,,AF,-2------,,32.6307377,73.0147091,true
PK,KPO,Khipro,Khipro,SD,RL,--3-----,,25.833333333333332,69.36666666666666,
PK,KRB,Khokhropar,Khokhropar,SD,AS,-23-----,,25.7,70.18333333333334,
PK,KHB,Khushab,Khushab,,AF,-23-----,,32.2903666,72.3515792,true
PK,KDD,Khuzdar,Khuzdar,BA,AI,--34----,,27.79291495,66.64226336610271,true
PK,KHW,Khwazakhela,Khwazakhela,KP,RL,--3-----,,34.93333333333333,72.46666666666667,
PK,KIA,Kiamari,Kiamari,SD,RL,1-------,,24.816666666666666,66.96666666666667,
PK,OHT,Kohat,Kohat,KP,AI,-234----,,33.57070845,71.44302100240952,true
PK,KHC,Kohat Cantt,Kohat Cantt,,AF,-2------,,33.588948,71.449192,true
PK,KLU,Kohlu,Kohlu,,AF,--3-----,,29.8999977,69.2500203,true
PK,ADK,Kot Addu,Kot Addu,,AF,-23-----,,30.4692602,70.9678776,true
PK,LPK,Kot Lakhpat,Kot Lakhpat,,AF,-2------,,31.4664189,74.3382571,true
PK,KOL,Kotli/AJK,Kotli/AJK,,AF,--3-----,,33.5216412,73.9076096,true
PK,KOT,Kotri,Kotri,,AF,-23-----,,25.3635325,68.3068896,true
PK,LHE,Lahore,Lahore,PB,AI,-23456--,,31.5656822,74.3141829,true
PK,LRC,Lahore Cantt,Lahore Cantt,,AF,-2------,,31.52942,74.37727,true
PK,LKM,Lakki Marwat,Lakki Marwat,,AF,--3-----,,32.6056744,70.9113526,true
PK,LLM,Lala Mosa,Lala Mosa,,AF,-23-----,,32.707633,73.960001,true
PK,LND,Landhi,Landhi,,AF,-23-----,,24.8351918,67.1774095,true
PK,LRK,Larkana,Larkana,,AF,-23-----,,27.5564798,68.2101509,true
PK,LSB,Lasbela,Lasbela,,AF,--3-----,,25.7046292,66.60817816602867,true
PK,LON,Lodhran,Lodhran,,AF,-23-----,,29.5390395,71.6344196,true
PK,LRG,Lora Lai,Lora Lai,,AI,---4----,,33.68,70.81811,true
PK,MKD,Malakand,Malakand,,AF,--3-----,,34.5730269,71.9318872,true
PK,MBD,Mandi Bahauddin,Mandi Bahauddin,,AF,-2------,,32.5846351,73.4914169,true
PK,MBW,Mandi Burewala,Mandi Burewala,,AF,-2------,,30.1588005,72.6796973,true
PK,MAN,Mangla,Mangla,,RL,--3-----,,31.9,72.38333333333334,
PK,HRA,Mansehra,Mansehra,,AI,--34----,,34.3286855,73.1993125,true
PK,MDX,Mardan,Mardan,,AF,-23-----,,34.1937969,72.0451467,true
PK,MLI,Matli,Matli,,AF,--3-----,,25.0441564,68.6589358,true
PK,MHR,Mehrabpur,Mehrabpur,,AF,-2------,,27.1018685,68.4171295,true
PK,MYH,Mian Channu,Mian Channu,,AF,-23-----,,30.4389367,72.3550547,true
PK,MWD,Mianwali,Mianwali,PB,AI,-234----,,32.5643063,71.56651476611873,true
PK,MNG,Mingaora,Mingaora,,AF,--3-----,,34.7725022,72.3606728,true
PK,MPD,Mirpur Khas (= Sindhri),Mirpur Khas (= Sindhri),SD,AI,-234----,,25.684084,69.07783988725254,true
PK,MRP,Mirpur Mathelo,Mirpur Mathelo,,AF,-23-----,,28.0224685,69.5521553,true
PK,MPR,Mirpur/AJK,Mirpur/AJK,JK,AF,--3-----,,33.13333333333333,73.75,
PK,MGP,Mogulpura/Lahore,Mogulpura/Lahore,PB,AS,-23-----,,31.5656822,74.3141829,true
PK,MJD,Mohenjodaro,Mohenjodaro,SD,AI,--34----,,27.334915350000003,68.14136891196353,true
PK,MOR,Moro,Moro,,AF,--3-----,,26.6636199,68.0024421,true
PK,BQM,Muhammad Bin Qasim/Karachi,Muhammad Bin Qasim/Karachi,SD,RL,1-------,,24.766666666666666,67.33333333333333,
PK,MUX,Multan,Multan,PB,AI,-234-6--,,30.2071105,71.4199824556625,true
PK,MUL,Multan Cantt,Multan Cantt,,AF,-2------,,30.198473,71.468461,true
PK,MXC,Multan City,Multan City,,AF,-2------,,30.197838,71.4719683,true
PK,MDK,Muridke,Muridke,,AF,-23-----,,31.8010863,74.2540999,true
PK,MFG,Muzaffarabad,Muzaffarabad,JK,AI,-234----,,34.33867545,73.50914246524111,true
PK,MZJ,Muzaffargarh,Muzaffargarh,PB,AS,-23-----,,30.0743097,71.1906224,true
PK,NNS,Nankana Sahib,Nankana Sahib,,AF,-23-----,,31.4548712,73.7090967,true
PK,NRW,Narowal,Narowal,,AF,-23-----,,32.1009752,74.872238,true
PK,WNS,Nawabshah,Nawabshah,SD,AI,-234----,,26.21551265,68.3892560291383,true
PK,NZB,Nazimabad,Nazimabad,SD,RL,--3-----,,25.9,67.01666666666667,
PK,NDD,Nok Kundi,Nok Kundi,BA,AS,-23-----,,28.8239333,62.7454306,true
PK,NSR,Nowshera,Nowshera,,AF,-23-----,,34.0155606,71.981283,true
PK,NHS,Nushki,Nushki,,AI,---4----,,29.5388083,66.0228026,true
PK,OKR,Okara,Okara,,AF,-23-----,,30.8091281,73.4493301,true
PK,OKC,Okara Cantt,Okara Cantt,,AF,-2------,,30.36319,68.59964,true
PK,ORW,Ormara,Ormara,BA,AI,1-34----,,25.2105634,64.6374914,true
PK,PBI,Pabbi,Pabbi,,AF,--3-----,,34.0091192,71.7972028,true
PK,PCT,Pakistan International Container Terminal/Karachi,Pakistan International Container Terminal/Karachi,,AF,1-------,,,,
PK,PJG,Panjgur,Panjgur,BA,AI,--34----,,26.9553442,64.13462828258807,true
PK,PNL,Pano Aqil,Pano Aqil,,AF,-23-----,,27.859348,69.0849588,true
PK,PAJ,Para Chinar,Para Chinar,,AI,--34----,,25.004,67.13029,true
PK,PSI,Pasni,Pasni,BA,AI,1-34----,,25.29043135,63.34479438776327,true
PK,PTO,Pattoki,Pattoki,,AF,-23-----,,31.0210614,73.852906,true
PK,PEW,Peshawar,Peshawar,KP,AI,-234----,,33.9910884,71.51574110651708,true
PK,PSC,Peshawar Cantt,Peshawar Cantt,,AF,-2------,,34.004986,71.563282,true
PK,PSH,Peshawar City,Peshawar City,,AF,-2------,,34.004986,71.563282,true
PK,PON,Poonch/AJK,Poonch/AJK,,AF,--3-----,,33.75495575,73.95206431326966,true
PK,QCT,Qasim International Container Terminal/Karachi,Qasim International Container Terminal/Karachi,,AF,1-------,,,,
PK,QSM,Qasimabad,Qasimabad,PB,RL,--3-----,,30.5,72.6,
