country,location,name,nameWoDiacritics,subdivision,status,function,iata,lat,lon,geocoded
PL,ADJ,Adam�w,Adamow,06,RL,--3-----,,51.266666666666666,23.1,
PL,ALB,Albigowa,Albigowa,18,RL,--3-----,,50.016666666666666,22.233333333333334,
PL,ALK,Aleksandr�w Kujawski,Aleksandrow Kujawski,,RL,--3-----,,52.86666666666667,18.683333333333334,
PL,AWL,Aleksandr�w Lodzki,Aleksandrow Lodzki,10,RL,--3--6--,,51.81666666666667,19.3,
PL,AWN,Alwernia,Alwernia,MA,RL,--3-----,,50.06666666666667,19.533333333333335,
PL,AND,Andrespol,Andrespol,10,RQ,--3-----,,51.71666666666667,19.633333333333333,
PL,ADC,Andrych�w,Andrychow,,RL,--3-----,,49.85,19.333333333333332,
PL,AUG,August�w,Augustow,20,RL,-23-----,,53.85,23,
PL,BMS,Babimost,Babimost,08,RL,-234----,,52.166666666666664,15.833333333333334,
PL,BBW,Baborow,Baborow,16,RL,--3-----,,50.166666666666664,18,
PL,BBO,Baboszewo,Baboszewo,14,RL,--3-----,,52.68333333333333,20.266666666666666,
PL,BWE,Backowice,Backowice,26,RL,--3-----,,50.8,21.233333333333334,
PL,BLI,Balice,Balice,MA,RQ,--3-----,,50.083333333333336,19.8,
PL,BNO,Banino,Banino,,RQ,--3-----,,54.3920505,18.4086592,true
PL,BNH,Baniocha,Baniocha,,RQ,--3--6--,,52.016666666666666,21.116666666666667,
PL,BAW,Baranow,Baranow,06,RL,--3-----,,51.56666666666667,22.15,
PL,BAO,Baranowo,Baranowo,14,RL,--3-----,,53.166666666666664,21.3,
PL,BNW,Baranowo,Baranowo,30,RL,--3-----,,52.43333333333333,16.783333333333335,
PL,BRC,Barcin,Barcin,04,RL,--3-----,,53.416666666666664,18.566666666666666,
PL,BCO,Barczewo,Barczewo,28,RL,-23-----,,53.833333333333336,20.7,
PL,BLK,Barlinek,Barlinek,,RL,--3-----,,52.983333333333334,15.2,
PL,BAR,Bartoszyce,Bartoszyce,,RQ,--3-----,,54.2534341,20.80839323665569,true
PL,BAT,Batorowo,Batorowo,30,RL,--3-----,,52.416666666666664,16.716666666666665,
PL,PBD,Bedzin,Bedzin,,RL,--3-----,,50.31666666666667,19.116666666666667,
PL,BED,B?dzino,B?dzino,,RL,--3-----,,54.21666666666667,15.983333333333333,
PL,BTW,Belchat�w,Belchatow,,RL,--3-----,,51.36666666666667,19.383333333333333,
PL,BCN,Belecin,Belecin,30,RL,--3-----,,52.2,16,
PL,BKL,Belk,Belk,24,RL,--3-----,,50.13333333333333,18.716666666666665,
PL,BDZ,Belsk Duzy,Belsk Duzy,14,RL,-23-----,,51.833333333333336,20.816666666666666,
PL,BEC,Belzec,Belzec,06,RL,--3-----,,50.38333333333333,23.433333333333334,
PL,BEL,Be??yce,Be??yce,,RL,--3-----,,51.18333333333333,22.283333333333335,
PL,BET,Bestwina,Bestwina,SL,RL,--3-----,,49.88333333333333,19.05,
PL,BEZ,Bezledy,Bezledy,WN,RQ,--3-----,,-54.31666666666667,20.716666666666665,
PL,BDK,Biadki,Biadki,30,RL,--3-----,,51.68333333333333,17.55,
PL,BID,Biadoliny,Biadoliny,,RQ,--3-----,,49.983333333333334,20.75,
PL,BDU,Biala Druga,Biala Druga,10,RL,--3-----,,51.266666666666666,18.45,
PL,BIN,Biala Nizna,Biala Nizna,12,RL,--3-----,,49.63333333333333,20.983333333333334,
PL,BAP,Biala Podlaska,Biala Podlaska,,RL,--3-----,,52.03333333333333,23.133333333333333,
PL,BRW,Biala Rawska,Biala Rawska,14,RL,--3-----,,51.8,20.483333333333334,
PL,BZO,Bialacz�w,Bialaczow,,RL,--3--6--,,51.3,20.3,
PL,BAB,Biale Blota,Biale Blota,04,RL,-23-----,,53.1,17.933333333333334,
PL,BTS,Bialka Tatrzanska,Bialka Tatrzanska,MA,RQ,--3-----,,49.3946417,20.1050528,true
PL,BLB,Bialobrzegi,Bialobrzegi,14,RL,--3-----,,51.65,20.95,
PL,BOG,Bialogard,Bialogard,32,RL,-23-----,,54.016666666666666,15.983333333333333,
PL,BII,Bialosliwie,Bialosliwie,WP,RL,--3-----,,53.166666666666664,17.2,
PL,BIL,Bialy Lug,Bialy Lug,14,RL,--3-----,,51.416666666666664,21.65,
PL,BIA,Bialystok,Bialystok,,RQ,--3-----,,53.132398,23.1591679,true
PL,BZY,Bidziny,Bidziny,SK,RL,--3-----,,50.85,21.633333333333333,
PL,BEN,Bielany,Bielany,24,RL,-23-----,,49.95,19.2,
PL,BYW,Bielany Wroclawskie,Bielany Wroclawskie,,RL,--3-----,,51.03333333333333,16.966666666666665,
PL,BLW,Bielawa,Bielawa,02,RL,--3-----,,50.68333333333333,16.616666666666667,
PL,BEK,Bielinek,Bielinek,32,AA,1-------,,52.93333333333333,14.15,
PL,2KS,Bieliny,Bieliny,26,RL,--3-----,,50.85,20.9,
PL,BSK,Bielsk,Bielsk,14,RL,--3-----,,52.666666666666664,19.8,
PL,BLS,Bielsk Podlaski,Bielsk Podlaski,,RQ,--3-----,,52.764915,23.188210662123517,true
PL,BIB,Bielsko-Biala,Bielsko-Biala,24,RL,--3-----,,49.81666666666667,19.033333333333335,
PL,BWP,Bieniewo-Parcela,Bieniewo-Parcela,14,RL,--3-----,,52.2,20.483333333333334,
PL,BKK,Bienkowka,Bienkowka,12,RL,--3-----,,49.78333333333333,19.75,
PL,BNK,Biernatki,Biernatki,30,RL,--3-----,,52.233333333333334,17.116666666666667,
PL,BIE,Bierun,Bierun,24,RQ,--3-----,,50.083333333333336,19.083333333333332,
PL,BST,Bierun Stary,Bierun Stary,,RL,-23-----,,50.1,19.1,
PL,BRT,Bierut�w,Bierutow,02,RL,-23-----,,51.11666666666667,17.55,
PL,BIR,Bierwce,Bierwce,14,RL,--3-----,,51.56666666666667,21.166666666666668,
PL,BKZ,Biesiekierz,Biesiekierz,32,RL,--3-----,,54.13333333333333,16.033333333333335,
PL,BIC,Bilcza,Bilcza,26,RL,--3-----,,50.78333333333333,20.616666666666667,
PL,BOJ,Bilgoraj,Bilgoraj,06,RL,-23-----,,50.53333333333333,22.733333333333334,
PL,BZA,Bircza,Bircza,18,RL,--3-----,,49.68333333333333,22.483333333333334,
PL,BKW,Biskupice,Biskupice,WP,RQ,--3-----,,51.1523459,22.946692,true
PL,BKP,Biskupice Podg�rne,Biskupice Podgorne,02,RL,--3-----,,51.016666666666666,16.883333333333333,
PL,BIK,Biskupiec,Biskupiec,WN,RQ,--3-----,,53.8688,20.95518,true
PL,BHW,Blachownia,Blachownia,SL,RQ,--3-----,,50.78333333333333,18.966666666666665,
PL,BLA,Blaszki,Blaszki,LD,RL,--3-----,,52.083333333333336,18.716666666666665,
PL,BLE,Bled�w,Bledow,14,RL,--3-----,,51.78333333333333,20.7,
PL,BLO,Blonie,Blonie,,RL,-23-----,,52.18333333333333,20.616666666666667,
PL,SBN,Blotnica,Blotnica,14,RL,--3-----,,51.55,20.983333333333334,
PL,BLC,Bobolice,Bobolice,32,RQ,--3-----,,53.95,16.6,
PL,MKK,Bobowa,Bobowa,12,RL,-----6--,,49.7,20.933333333333334,
PL,BOB,Bobrowniki,Bobrowniki,20,RL,--3-----,,53.11666666666667,23.883333333333333,
PL,BWO,Bobrowo,Bobrowo,04,RL,--3-----,,53.28333333333333,19.283333333333335,
