country,location,name,nameWoDiacritics,subdivision,status,function,iata,lat,lon,geocoded
PR,ADJ,Adjuntas,Adjuntas,,RQ,--3-----,,18.163821,-66.723399,true
PR,AGU,Aguada,Aguada,,RQ,0-------,,18.3855,-67.17963,true
PR,BQN,Aguadilla,Aguadilla,,AI,1--4----,,18.49346055,-67.13421586611547,true
PR,ABS,Aguas Buenas,Aguas Buenas,,RL,--3-----,,18.25,-66.1,
PR,A6U,Aguirre,Aguirre,,RL,--3-----,,17.95,-66.21666666666667,
PR,AIB,Aibonito,Aibonito,,RL,--3-----,,18.133333333333333,-66.25,
PR,ANA,Anasco,Anasco,,RQ,--3-----,,18.28273,-67.13962,true
PR,ARE,Arecibo,Arecibo,,AI,1--4----,,18.445726,-66.741514,true
PR,ARR,Arroyo,Arroyo,,RL,1-3-----,,17.966666666666665,-66.06666666666666,
PR,BAR,Barceloneta,Barceloneta,,RQ,--3-----,,18.447478,-66.542641,true
PR,BAS,Barranquitas,Barranquitas,,RQ,0-------,,18.183788,-66.312345,true
PR,BAY,Bayamon,Bayamon,,RQ,--3-----,,18.39856,-66.15572,true
PR,BOQ,Boquer�n,Boqueron,,RL,--3-----,,18.016666666666666,-67.16666666666667,
PR,CBJ,Cabo Rojo,Cabo Rojo,,RL,-23-----,,18.083333333333332,-67.13333333333334,
PR,CAG,Caguas,Caguas,,RL,--3-----,,18.233333333333334,-66.05,
PR,CAM,Camuy,Camuy,,RQ,--3-----,,18.48303,-66.853423,true
PR,CAN,Canovanas,Canovanas,,RL,--3-----,,18.383333333333333,-65.9,
PR,CAH,Caparra Hills,Caparra Hills,,RL,--3-----,,18.4,-66.1,
PR,CAR,Carolina,Carolina,,RQ,--3-----,,18.399299,-65.969759,true
PR,CAT,Catano,Catano,,RQ,--3-----,,18.44134,-66.11822,true
PR,CAY,Cayey,Cayey,,RQ,--3-----,,18.11191,-66.171175,true
PR,CEI,Ceiba,Ceiba,,RL,--3-----,,18.233333333333334,-65.61666666666666,
PR,CLE,Ciales,Ciales,,RL,--3-----,,18.333333333333332,-66.46666666666667,
PR,CID,Cidra,Cidra,,RL,--3-----,,18.183333333333334,-66.16666666666667,
PR,COA,Coamo,Coamo,,RQ,--3-----,,18.077547,-66.36351,true
PR,COE,Comerio,Comerio,,RQ,--3-----,,18.216666666666665,-66.23333333333333,
PR,COR,Corozal,Corozal,,RL,--3-----,,18.333333333333332,-66.31666666666666,
PR,CLL,Coto Laurel,Coto Laurel,,RL,--3-----,,18.033333333333335,-66.55,
PR,CPX,Culebra,Culebra,,AI,---4----,,18.31337195,-65.30421884297488,true
PR,CUP,"""Cupey"," San Juan""","""Cupey"," San Juan""",,0-------,18.402821,-66.05817,true
PR,DDP,Dorado,Dorado,,AI,--34----,,18.470148,-66.270981,true
PR,FAJ,Fajardo,Fajardo,,AI,---4----,,18.3097058,-65.66107311430773,true
PR,FLO,Florida,Florida,,RL,--3-----,,18.35,-66.55,
PR,FTB,Fort Buchanan,Fort Buchanan,,RL,--3-----,,18.4,-66.11666666666666,
PR,GUA,Guabano,Guabano,,RQ,0-------,,,,
PR,GUX,Guanica,Guanica,,RL,1-------,,17.966666666666665,-66.91666666666667,
PR,GMA,Guayama,Guayama,,RQ,0-------,,17.975982,-66.112372,true
PR,GUY,Guayanilla,Guayanilla,,RL,1-3-----,,17.966666666666665,-66.81666666666666,
PR,GUO,Guaynabo,Guaynabo,,RQ,0-------,,18.368211,-66.109321,true
PR,GUR,Gurabo,Gurabo,,RQ,0-------,,18.254816,-65.979884,true
PR,HTL,Hatillo,Hatillo,,RQ,--3-----,,18.487816,-66.82275,true
PR,HRE,Hato Rey,Hato Rey,,RQ,0-------,,18.42147,-66.069946,true
PR,HDE,Hato Tejas,Hato Tejas,,RL,--3-----,,18.4,-66.18333333333334,
PR,HUM,Hormigueros,Hormigueros,,RL,--3-----,,18.133333333333333,-67.11666666666666,
PR,HUC,Humacao,Humacao,,AI,--34----,,18.138246,-65.80035340531828,true
PR,ISB,Isabela,Isabela,,RQ,--3-----,,18.498802,-67.023659,true
PR,JAY,Jayuya,Jayuya,,RQ,--3-----,,18.219042,-66.59247,true
PR,JIC,Jicome,Jicome,,RQ,0-------,,,,
PR,JDI,Juana Diaz,Juana Diaz,,RQ,0-------,,18.05246,-66.50656,true
PR,JUN,Juncos,Juncos,,RQ,--3-----,,18.224997,-65.910186,true
PR,LJS,Lajas,Lajas,,RQ,0-------,,18.045329,-67.058483,true
PR,LAR,Lares,Lares,,RL,--3-----,,18.283333333333335,-66.86666666666666,
PR,LAM,Las Mareas (Guayama),Las Mareas (Guayama),,RQ,1-------,,17.94858,-66.26433,true
PR,LMA,Las Marias,Las Marias,,RL,--3-----,,18.25,-66.98333333333333,
PR,LPS,Las Piedras,Las Piedras,,RL,--3-----,,18.183333333333334,-65.86666666666666,
PR,LPN,Las Pinas,Las Pinas,,RL,--3--6--,,18.25,-65.91666666666667,
PR,LOI,Lo�za,Loiza,,RL,--3-----,,18.416666666666668,-65.86666666666666,
PR,LUQ,Luquillo,Luquillo,,RQ,--3-----,,18.372554,-65.721291,true
PR,MAN,Manati,Manati,,RL,--3-----,,18.433333333333334,-66.48333333333333,
PR,MAR,Maricao,Maricao,,RQ,0-------,,18.184659,-66.982405,true
PR,MAU,Maunabo,Maunabo,,RL,--3-----,,18,-65.88333333333334,
PR,MAZ,Mayag�ez,Mayaguez,,AI,1--4----,,18.20151,-67.139711,true
