country,location,name,nameWoDiacritics,subdivision,status,function,iata,lat,lon,geocoded
PT,TZA,A dos Cunhados,A dos Cunhados,11,RL,--3--6--,,39.15,-9.3,
PT,AVM,Abade de Vermoim,Abade de Vermoim,03,RN,--3-----,,41.38333333333333,-8.483333333333333,
PT,ABO,Aboboda,Aboboda,11,RL,-23--6--,,38.71666666666667,-9.333333333333334,
PT,AA4,Abra�,Abraa,14,RL,--3-----,,39.416666666666664,-8.783333333333333,
PT,AGO,Abrag�o,Abragao,13,RL,--3-----,,41.15,-8.216666666666667,
PT,ABT,Abrantes,Abrantes,14,RN,-23-----,,39.46666666666667,-8.2,
PT,ABS,Abraveses,Abraveses,18,RL,-----6--,,40.666666666666664,-7.916666666666667,
PT,ABG,Abrigada,Abrigada,11,RL,--3-----,,39.15,-9.016666666666667,
PT,ABR,Abrunheira,Abrunheira,06,RL,--3-----,,40.11666666666667,-8.716666666666667,
PT,AHA,Abrunheira,Abrunheira,11,RL,-----6--,,38.766666666666666,-9.366666666666667,
PT,ASD,Ad�es,Adaes,03,RN,-23-----,,41.516666666666666,-8.566666666666666,
PT,B4R,Adaufe,Adaufe,03,RL,--3-----,,41.583333333333336,-8.4,
PT,ADF,Ada�fe,Adaufe,03,RL,--3-----,,41.583333333333336,-8.4,
PT,AGE,Agrela,Agrela,03,RN,--3-----,,41.53333333333333,-8.2,
PT,GLZ,�gua Longa,Agua Longa,,RL,-----6--,,41.25,-8.483333333333333,
PT,ADB,Aguada de Baixo,Aguada de Baixo,,RQ,-2------,,40.5,-8.45,
PT,AGA,Aguada de Cima,Aguada de Cima,01,RQ,--3-----,,40.5169467,-8.4158179,true
PT,AGV,Agualva,Agualva,01,RL,--3--6--,,40.833333333333336,-8.25,
PT,UGV,Agualva,Agualva,11,RL,--3-----,,38.75,-9.316666666666666,
PT,AGM,�guas de Moura,Aguas de Moura,15,RN,-23-----,,38.583333333333336,-8.7,
PT,GST,�guas Santas,Aguas Santas,,RL,-----6--,,41.61666666666667,-8.333333333333334,
PT,AGC,Agu�adoura,Agucadoura,13,RL,--3-----,,41.43333333333333,-8.783333333333333,
PT,AGD,Aguda,Aguda,13,RL,1-------,,41.05,-8.65,
PT,AGU,�gueda,Agueda,01,RL,-23-----,,40.56666666666667,-8.45,
PT,AGB,Aguiar da Beira,Aguiar da Beira,09,RN,--3-----,,40.81666666666667,-7.55,
PT,AIO,Ai�o,Aiao,13,RN,-23-----,,41.3,-8.2,
PT,ALG,Alagoa,Alagoa,06,RL,--3-----,,40.3,-8.35,
PT,AOD,Alandroal,Alandroal,07,RN,--3-----,,38.7,-7.4,
PT,ABQ,Albarraque,Albarraque,11,RL,--3-----,,38.766666666666666,-9.35,
PT,ALB,Albergaria,Albergaria,10,RL,--3-----,,39.75,-8.883333333333333,
PT,BDZ,Albergaria dos Doze,Albergaria dos Doze,,RL,-----6--,,39.78333333333333,-8.583333333333334,
PT,ABV,Albergaria-a-Velha,Albergaria-a-Velha,01,RL,-23-----,,40.7,-8.483333333333333,
PT,ANO,Albernoa,Albernoa,02,RL,--3-----,,37.86666666666667,-7.966666666666667,
PT,ABF,Albufeira,Albufeira,08,RL,123-----,,37.083333333333336,-8.25,
PT,ACB,Alcabideche,Alcabideche,11,RN,--3-----,,38.733333333333334,-9.416666666666666,
PT,ADS,Alc�cer do Sal,Alcacer do Sal,15,RL,-23-----,,38.36666666666667,-8.5,
PT,ALS,Alcains,Alcains,05,RN,-23-----,,39.916666666666664,-7.45,
PT,ACD,Alcanede,Alcanede,14,RN,--3-----,,39.416666666666664,-8.816666666666666,
PT,ALC,Alcanena,Alcanena,14,RL,--3-----,,39.45,-8.666666666666666,
PT,ATH,Alcantarilha,Alcantarilha,08,RL,--3-----,,37.13333333333333,-8.35,
PT,ALO,Alcoba�a,Alcobaca,10,RL,--3-----,,39.55,-8.983333333333333,
PT,ALE,Alcochete,Alcochete,15,RL,--3-----,,38.75,-8.966666666666667,
PT,ACR,Alcoentre,Alcoentre,11,RN,--3-----,,39.2,-8.95,
PT,ACT,Alcoutim,Alcoutim,08,RN,--3-----,,37.46666666666667,-7.466666666666667,
PT,APP,Aldeia de Paio Pires,Aldeia de Paio Pires,15,RL,--3-----,,38.61666666666667,-9.083333333333334,
PT,OAS,Aldeia Galega da Merceana,Aldeia Galega da Merceana,11,RL,--3-----,,39.06666666666667,-9.1,
PT,AER,Al�m da Ribeira,Alem da Ribeira,16,RN,--3-----,,41.61666666666667,-8.75,
PT,ALN,Alenquer,Alenquer,11,RL,--3-----,,39.05,-9,
PT,AFE,Alf�ndega da F�,Alfandega da Fe,04,RN,--3-----,,41.333333333333336,-6.966666666666667,
PT,AFZ,Alfeizer�o,Alfeizerao,10,RL,--3-----,,39.5,-9.1,
PT,AFA,Alfena,Alfena,13,RL,--3-----,,41.233333333333334,-8.533333333333333,
PT,ARE,Alferrarede,Alferrarede,14,RL,--3-----,,39.483333333333334,-8.166666666666666,
PT,ALF,Alfragide,Alfragide,11,RQ,--3--6--,,38.733333333333334,-9.266666666666667,
PT,AGS,Alg�s,Alges,11,RN,-23-----,,38.7,-9.233333333333333,
PT,AL8,Algoz,Algoz,06,RL,--3-----,,37.166666666666664,-8.3,
PT,ARO,Algueir�o,Algueirao,11,RL,--3-----,,38.8,-9.333333333333334,
