country,location,name,nameWoDiacritics,subdivision,status,function,iata,lat,lon,geocoded
PY,ARE,Aregua,Aregua,11,RL,--3-----,,-25.283333333333335,-57.4,
PY,AYE,Arroyos y Esteros,Arroyos y Esteros,3,RQ,-----6--,,-25.066666666666666,-57.1,
PY,ASU,Asunci�n,Asuncion,ASU,AI,1--45---,,-25.266666666666666,-57.666666666666664,
PY,AYO,Ayolas,Ayolas,,AI,---4----,,-27.36826105,-56.854144310497006,true
PY,BFA,Bahia Negra,Bahia Negra,16,RL,---4----,,-20.25,-58.2,
PY,BCM,Barrio Caacup� M�,Barrio Caacupe Mi,11,RL,1-3--6--,,-25.216666666666665,-57.55,
PY,BVT,Bella Vista,Bella Vista,7,RL,--3-----,,-22.116666666666667,-56.516666666666666,
PY,BAL,Benjamin Aceval,Benjamin Aceval,15,RL,--3-----,,-24.966666666666665,-57.56666666666667,
PY,CAA,Caacup�,Caacupe,3,RL,1-3-----,,-25.383333333333333,-57.13333333333333,
PY,GGU,Caaguazu,Caaguazu,5,RL,-----6--,,-25.45,-56.016666666666666,
PY,CAC,Calera Cue,Calera Cue,1,RL,1-------,,-22.533333333333335,-57.81666666666667,
PY,CCP,Capiata,Capiata,11,RQ,-----6--,,-25.35,-57.416666666666664,
PY,CRG,Caraguatay,Caraguatay,3,RL,-----6--,,-25.233333333333334,-56.81666666666667,
PY,CAL,Carlos Antonio Lopez,Carlos Antonio Lopez,7,RL,--3-----,,-26.383333333333333,-54.75,
PY,CDP,Carmen del Paran�,Carmen del Parana,7,RL,-----6--,,-27.233333333333334,-56.21666666666667,
PY,AGT,Ciudad del Este,Ciudad del Este,,AI,1--4----,,-25.5169015,-54.6168645,true
PY,CTT,Colonia Catuete,Colonia Catuete,14,RL,--3-----,,-24.133333333333333,-54.61666666666667,
PY,MRA,Colonia Mariano Roque Alonso,Colonia Mariano Roque Alonso,11,RL,1-3-----,,-25.166666666666668,-57.55,
PY,CND,Colonia Neuland,Colonia Neuland,19,RL,--3-----,,-22.666666666666668,-60.11666666666667,
PY,CNP,Concepci�n,Concepcion,1,AI,1-------,,-23.4,-57.43333333333333,
PY,COO,Coronel Oviedo,Coronel Oviedo,5,RQ,-----6--,,-25.416666666666668,-56.45,
PY,ENO,Encarnaci�n,Encarnacion,7,AI,1--45---,,-27.333333333333332,-55.9,
PY,ELP,Estancia Loma Pyta,Estancia Loma Pyta,15,RL,--3-----,,-23.566666666666666,-59.56666666666667,
PY,WQA,Eusebio Ayala,Eusebio Ayala,3,RL,--3-----,,-25.4,-56.96666666666667,
PY,FNX,Fenix,Fenix,ASU,RQ,1-------,,,,
PY,FDM,Fernando De La Mora,Fernando De La Mora,11,,--3-----,,-25.316666666666666,-57.56666666666667,
PY,FLM,Filadelfia,Filadelfia,,AI,---4----,,-22.359405199999998,-60.054457394130544,true
PY,FRM,Fram,Fram,7,RL,-----6--,,-26.983333333333334,-55.88333333333333,
PY,FUO,Fuerte Olimpo,Fuerte Olimpo,,RL,1-3-----,,-21.05,-57.86666666666667,
PY,GUA,Guarambare,Guarambare,11,RL,--3-----,,-25.483333333333334,-57.46666666666667,
PY,HER,Hernandarias,Hernandarias,10,RL,--3-----,,-25.4,-54.61666666666667,
PY,HHU,Hohenau,Hohenau,7,RL,-----6--,,-22.083333333333332,-55.75,
PY,ITE,Ita Enramada,Ita Enramada,,AI,1-------,,-25.3539227,-57.6394337,true
PY,ITA,Itacurubi,Itacurubi,3,RL,--3-----,,-25.45,-56.85,
PY,ITC,Itacurubi,Itacurubi,1,RL,--3-----,,-23.333333333333332,-57.36666666666667,
PY,TPT,Itapua Poty,Itapua Poty,7,RL,--3-----,,-26.616666666666667,-55.516666666666666,
PY,CIG,Itaugua,Itaugua,11,RQ,-----6--,,-25.383333333333333,-57.333333333333336,
PY,IUB,Iturbe,Iturbe,4,RQ,-----6--,,-26.05,-56.483333333333334,
PY,JEE,J. E. Estigarribia,J. E. Estigarribia,11,RL,--3-----,,-25.383333333333333,-55.6,
PY,JFC,Jos� Falc�n,Jose Falcon,15,RL,--3-----,,-25.25,-57.7,
PY,KTT,Katuete,Katuete,14,RL,-----6--,,-24.116666666666667,-54.61666666666667,
PY,LPZ,La Paz,La Paz,,RL,--3-----,,-26.983333333333334,-55.88333333333333,
PY,LAM,Lambare,Lambare,11,RL,-----6--,,-25.35,-57.65,
PY,LPO,Limpio,Limpio,11,RQ,-----6--,,-25.183333333333334,-57.53333333333333,
PY,MPT,Loma Plata,Loma Plata,19,RL,--3-----,,-22.383333333333333,-59.85,
PY,LUQ,Luque,Luque,11,RL,--3-----,,25.266666666666666,-57.56666666666667,
PY,ESG,Mariscal Estigarribia,Mariscal Estigarribia,,AI,---4----,,-22.047942499999998,-60.62174247722405,true
