country,location,name,nameWoDiacritics,subdivision,status,function,iata,lat,lon,geocoded
QA,ABH,Abu Hamur,Abu Hamur,RA,RL,--3-----,,25.233333333333334,51.483333333333334,
QA,ABS,Abu Samra,Abu Samra,RA,RL,--3-----,,24.733333333333334,50.81666666666667,
QA,ALK,Al Karaana,Al Karaana,RA,RL,--3-----,,25,51.03333333333333,
QA,KHR,Al Khor,Al Khor,KH,RL,--3-----,,25.683333333333334,51.5,
QA,RYN,Al Rayyan,Al Rayyan,RA,RL,--3-----,,25.316666666666666,51.36666666666667,
QA,RUS,Al Ruwais Qatar,Al Ruwais Qatar,MS,AA,1-------,,26.233333333333334,51.333333333333336,
QA,ASH,Al Shahaniya,Al Shahaniya,RA,RL,--3-----,,25.366666666666667,51.2,
QA,ASN,Al Shaheen,Al Shaheen,,RN,1-----7-,,26.55,52.06666666666667,
QA,ALS,Al Shamal City,Al Shamal City,MS,RL,--3-----,,26.116666666666667,51.21666666666667,
QA,ALU,Al Udeid,Al Udeid,,RQ,--34----,,25.1,51.3,
QA,ALW,Al Wa'b,Al Wa'b,KH,RL,--3-----,,25.833333333333332,51.45,
QA,WAK,Al Wakrah,Al Wakrah,WA,RL,--3-----,,25.166666666666668,51.6,
QA,ALZ,Al Zubarah,Al Zubarah,DA,RL,--3-----,,25.966666666666665,51.016666666666666,
QA,SLW,As Salwa,As Salwa,RA,RL,1-------,,24.733333333333334,50.75,
QA,ASL,As Sayliyah,As Sayliyah,DA,RL,--3-----,,25.2,51.36666666666667,
QA,HMD,BGN/PCGN1956 - HAMAD,BGN/PCGN1956 - HAMAD,WA,RL,1-------,,25,51.61666666666667,
QA,DOH,Doha,Doha,DA,AI,1--45---,,25.2749298,51.60673237729923,true
QA,DHN,Dukhan,Dukhan,,RL,--3-----,,25.416666666666668,50.78333333333333,
QA,HAL,Halul,Halul,,RQ,1-----7-,,25.6732793,52.41092273081682,true
QA,HNA,Hanna,Hanna,,QQ,1-------,,,,
QA,LSL,Lusail,Lusail,DA,RL,--3-----,,25.5,51.483333333333334,
QA,QAP,Qapco,Qapco,US,RQ,1-------,,24.916666666666668,51.56666666666667,
QA,QCH,Qchem,Qchem,US,RQ,1-------,,24.85,51.53333333333333,
QA,RLF,Ras Laffan,Ras Laffan,KH,RL,1-------,,25.933333333333334,51.53333333333333,
QA,SIM,Simaisma,Simaisma,DA,RL,--3-----,,25.583333333333332,51.483333333333334,
QA,TPQ,The Pearl-Qatar,The Pearl-Qatar,DA,RL,--3-----,,25.366666666666667,51.55,
QA,MBB,Umm Bab,Umm Bab,RA,RL,--3-----,,25.216666666666665,50.8,
QA,UMQ,Umm Qarn,Umm Qarn,ZA,RQ,-----6--,,25.533333333333335,51.416666666666664,
QA,UMS,Umm Sa'id (Mesaieed),Umm Sa'id (Mesaieed),WA,AI,1-3-----,,24.983333333333334,51.53333333333333,
