country,location,name,nameWoDiacritics,subdivision,status,function,iata,lat,lon,geocoded
RE,BRP,Bras Panon,Bras Panon,,RL,--3-----,,-21,55.68333333333333,
RE,CAF,la Plaine des Cafres,la Plaine des Cafres,,RL,--3-----,,-21.166666666666668,55.583333333333336,
RE,SLH,La Saline les Hauts,La Saline les Hauts,,RL,--3-----,,-21.083333333333332,55.266666666666666,
RE,LPT,Le Port,Le Port,,AF,1-3-5---,,-20.933333333333334,55.31666666666667,
RE,LTM,Le Tampon,Le Tampon,,RQ,--3-----,,-21.266666666666666,55.516666666666666,
RE,LAV,Les Avirons,Les Avirons,,RL,--3-----,,-21.233333333333334,55.333333333333336,
RE,X3R,les Trois Bassins,les Trois Bassins,,RL,--3-----,,-21.1,55.3,
RE,LES,L'�tang-Sal�,L'Etang-Sale,,RL,--3-----,,-21.266666666666666,55.36666666666667,
RE,PAL,Plaine des Palmistes,Plaine des Palmistes,,RL,--3-----,,-21.133333333333333,55.63333333333333,
RE,PD2,Pointe des Galets,Pointe des Galets,,RL,--3-----,,-20.916666666666668,55.28333333333333,
RE,POS,Possession,Possession,,RL,1-------,,-20.933333333333334,55.333333333333336,
RE,SDR,Saint-Andr�,Saint-Andre,,RL,--3-5---,,-20.933333333333334,55.65,
RE,SVB,Saint-Beno�t,Saint-Benoit,,RL,-----6--,,-21.033333333333335,55.71666666666667,
RE,RUN,Saint-Denis,Saint-Denis,,AI,1-34----,,-20.9,55.516666666666666,
RE,CLO,Sainte Clotilde,Sainte Clotilde,,RL,--3-----,,-20.9,55.483333333333334,
RE,ANN,Sainte-Anne,Sainte-Anne,,RL,--3-----,,-21.083333333333332,55.75,
RE,SMA,Sainte-Marie,Sainte-Marie,,RL,--3-----,,-20.883333333333333,55.55,
RE,RSE,Sainte-Rose,Sainte-Rose,,AA,1-3-----,,-21.133333333333333,55.8,
RE,SSZ,Sainte-Suzanne,Sainte-Suzanne,,RL,1-------,,-20.9,55.6,
RE,SGL,Saint-Gilles,Saint-Gilles,,RL,--3-----,,-21.033333333333335,55.233333333333334,
RE,GUL,Saint-Gilles-Les Hauts,Saint-Gilles-Les Hauts,,RL,--3-----,,-21.033333333333335,55.25,
RE,SJH,Saint-Joseph,Saint-Joseph,,RL,--3-----,,-21.366666666666667,55.61666666666667,
RE,LEU,Saint-Leu,Saint-Leu,,RL,1-------,,-21.1677694,55.2881932,true
RE,SLO,Saint-Louis,Saint-Louis,,RL,--3-----,,-21.2840124,55.4135962,true
RE,SPL,Saint-Paul,Saint-Paul,,RL,123-5---,,-20.983333333333334,55.266666666666666,
RE,SPH,Saint-Philippe,Saint-Philippe,,RL,--3-----,,-21.366666666666667,55.766666666666666,
RE,ZSE,Saint-Pierre,Saint-Pierre,,AI,---4----,,-21.333333333333332,55.46666666666667,
