country,location,name,nameWoDiacritics,subdivision,status,function,iata,lat,lon,geocoded
RO,ABM,Abram,Abram,,RL,-23-----,,47.31666666666667,22.383333333333333,
RO,ABR,Abrud,Abrud,AB,RL,--3-----,,46.266666666666666,23.05,
RO,ATI,Acatari,Acatari,MS,RL,-23-----,,46.483333333333334,24.633333333333333,
RO,ADJ,Adjud,Adjud,VN,RL,--3-5---,,46.1,27.166666666666668,
RO,ADC,Adunatii-Copaceni,Adunatii-Copaceni,GR,RL,--3-----,,44.25,26.033333333333335,
RO,AMI,Afumati,Afumati,,RL,--3-----,,44.53333333333333,26.25,
RO,AGI,Agigea,Agigea,CT,RL,1-------,,44.083333333333336,28.616666666666667,
RO,ATM,Aita Mare,Aita Mare,CV,AM,--3-----,,45.96666666666667,25.55,
RO,AID,Aiud,Aiud,AB,RL,--3-----,,46.3,23.716666666666665,
RO,ALI,Alba Iulia,Alba Iulia,AB,RL,--3-----,QAY,46.06666666666667,23.566666666666666,
RO,ALB,Albesti,Albesti,MS,RL,-23-----,,46.21666666666667,24.85,
RO,ALD,Alesd,Alesd,BH,RL,--3-----,,47.05,22.4,
RO,ALX,Alexandria,Alexandria,TR,RL,-23-----,,43.983333333333334,25.333333333333332,
RO,ACB,Alexandru cel Bun,Alexandru cel Bun,,RL,--3-----,,47.45,27.3,
RO,AMA,Almasu Mare,Almasu Mare,AB,RL,--3-----,,46.1,23.133333333333333,
RO,AMR,Amara,Amara,IL,RQ,--3-----,,44.61666666666667,27.2,
RO,AGH,Anghelesti,Anghelesti,VN,RL,--3-----,,46.083333333333336,27.05,
RO,APA,Apahida,Apahida,B,RQ,--3-----,,46.8021725,23.7546388,true
RO,ARW,Arad,Arad,,AI,-2-4----,,46.175458899999995,21.265692833889535,true
RO,ARI,Aricestii-Rahtivani,Aricestii-Rahtivani,PH,RL,--3-----,,44.95,25.833333333333332,
RO,AVR,Avrig,Avrig,SB,RL,-23--6--,,45.733333333333334,24.383333333333333,
RO,BBG,Babadag,Babadag,TL,RL,-----6--,,44.9,28.716666666666665,
RO,BCM,Bacau,Bacau,,AI,-2-4----,,46.51924485,26.913752828586237,true
RO,BAC,Bacia,Bacia,HD,RL,--3-----,,45.8,23.016666666666666,
RO,BCU,"""Baciu"," Cluj""","""Baciu"," Cluj""",CJ,-23-----,46.7897349,23.5276882,true
RO,BCO,Bacova,Bacova,TM,RL,-23-----,,45.65,21.55,
RO,BAQ,Baia,Baia,TL,RL,--3-----,,44.71666666666667,28.666666666666668,
RO,BDC,Baia de Cris,Baia de Cris,HD,RL,--3-----,,46.166666666666664,22.716666666666665,
RO,BDF,Baia de Fier,Baia de Fier,GJ,RL,--3-----,,45.166666666666664,23.766666666666666,
RO,BAY,Baia Mare,Baia Mare,,AI,-2-4----,,47.6565584,23.5719843,true
RO,BPH,Baicoi,Baicoi,PH,RL,-2---6--,,45.03333333333333,25.85,
RO,BUL,Baiculesti,Baiculesti,AG,RQ,-----6--,,45.666666666666664,24.7,
RO,BTD,Baile Tusnad,Baile Tusnad,,RQ,--3-----,,46.15,25.85,
RO,BL3,Balaciu,Balaciu,VL,RL,--3-----,,44.93333333333333,23.933333333333334,
RO,BAE,Baleni,Baleni,BH,RL,--3-----,,46.6,22.383333333333333,
RO,BAI,Balesti,Balesti,,RQ,--3-----,,46.7123652,27.5286484,true
RO,RRM,Balotesti,Balotesti,B,RL,-23-----,,44.61666666666667,26.116666666666667,
RO,BAL,Bals,Bals,OT,RL,--3-----,,44.35,24.1,
RO,BPU,Baneasa Apt/Bucuresti,Baneasa Apt/Bucuresti,,AI,---4----,,44.04455,26.053551,true
RO,BNT,Banesti,Banesti,PH,RL,-----6--,,45.1,25.766666666666666,
RO,BMA,B�rcea-Mare,Barcea-Mare,HD,RL,--3-----,,45.81666666666667,22.966666666666665,
RO,BAA,Barla,Barla,AG,RQ,-----6--,,47.016666666666666,24.55,
RO,BRL,B�rlad,Barlad,,RL,--3-----,,46.233333333333334,27.666666666666668,
RO,BRS,Barsana,Barsana,MM,RL,--3-----,,47.8,24.05,
RO,BAR,Barticesti,Barticesti,,RL,--3-----,,47.05,26.766666666666666,
RO,BAB,Basarabi,Basarabi,,AC,1-------,,44.166666666666664,28.366666666666667,
RO,BAS,Bascov,Bascov,AG,RL,--3-----,,44.88333333333333,24.816666666666666,
RO,MBT,Batos,Batos,MS,RL,--3-----,,46.88333333333333,24.666666666666668,
RO,BZI,Bazias,Bazias,CS,RL,1-3-----,,44.8,21.383333333333333,
RO,BCT,Bechet,Bechet,DJ,RL,1-3-----,,43.766666666666666,23.933333333333334,
RO,BUM,Becicherecu Mic,Becicherecu Mic,,RL,-23-----,,45.833333333333336,21.05,
RO,BCN,Beclean,Beclean,HR,RL,123-----,,46.31666666666667,25.3,
RO,BEI,Beius,Beius,BH,RL,--3-----,,46.666666666666664,22.35,
RO,GBC,Belciugatele,Belciugatele,CL,RL,--3-----,,44.483333333333334,26.433333333333334,
RO,BRC,Berca,Berca,BZ,RL,-23-----,,45.28333333333333,26.683333333333334,
RO,BEZ,Bezdead,Bezdead,DB,RL,1----6--,,45.15,25.516666666666666,
RO,BCD,Bicsad,Bicsad,CV,AM,--3-----,,46.1,25.866666666666667,
RO,BR5,Biharea,Biharea,BH,RL,--3-----,,47.15,21.916666666666668,
RO,BIT,Bistrita,Bistrita,,AC,-2------,,47.1327012,24.4963949,true
RO,BLA,Blaj,Blaj,AB,RL,-23-----,,46.18333333333333,23.916666666666668,
RO,BJE,Blejesti,Blejesti,TR,RL,--3-----,,44.28333333333333,25.466666666666665,
RO,BLJ,Blejoi,Blejoi,PH,RL,-23-----,,44.983333333333334,26,
RO,BBI,Boboiesti,Boboiesti,GJ,AM,--3-----,,44.93333333333333,22.95,
RO,BOB,Bobota,Bobota,,RL,-23-----,,47.3823064,22.7667801,true
RO,BOC,Bocsa,Bocsa,CS,RL,-23-----,,46,23.016666666666666,
RO,BDI,Bodesti,Bodesti,,RL,--3-----,,47.03333333333333,26.416666666666668,
RO,BLT,Boldesti-Scaeni,Boldesti-Scaeni,PH,RL,--3-----,,45.03333333333333,26.016666666666666,
RO,BOL,Bolintin Deal,Bolintin Deal,GR,RQ,--3--6--,,44.45,25.816666666666666,
RO,BOV,Bolintin Vale,Bolintin Vale,,RL,--3-----,,44.45,25.766666666666666,
RO,BCA,Borca,Borca,NT,RL,--3-----,,47.18333333333333,25.766666666666666,
RO,BCE,Borcea,Borcea,CL,RL,--3-----,,44.333333333333336,27.75,
RO,BOR,Bors,Bors,BH,AC,--3-----,,47.11666666666667,21.816666666666666,
RO,BOA,Borsa,Borsa,MM,RL,-23-----,,47.65,24.666666666666668,
RO,BSC,Borsec,Borsec,HR,RL,--3-----,,46.95,25.566666666666666,
RO,BOI,Bosanci,Bosanci,SV,RL,--3-----,,47.583333333333336,26.316666666666666,
RO,BTZ,Botiz,Botiz,SM,RL,--3-----,,47.833333333333336,22.95,
RO,BOT,Botiza,Botiza,MM,RL,--3-----,,47.666666666666664,24.15,
RO,BOS,Botosani,Botosani,,AC,-2------,,47.737768,26.664329518413318,true
RO,BOZ,Bozovici,Bozovici,CS,RL,--3-----,,44.916666666666664,21.983333333333334,
RO,BRB,Brad,Brad,BC,RL,--3-----,,46.68333333333333,26.866666666666667,
RO,BRD,"""Brad"," Hunedoara""","""Brad"," Hunedoara""",HD,-23-----,46.1302414,22.7921521,true
RO,BDU,"""Bragadiru"," Ilfov""","""Bragadiru"," Ilfov""",,--3-----,44.373512,25.9804935,true
RO,BRA,Braila,Braila,BR,AC,-23----B,,45.266666666666666,27.983333333333334,
RO,BTS,Branesti,Branesti,IF,RL,--3-----,,44.45,26.333333333333332,
RO,BRV,Brasov,Brasov,,AC,-2------,,45.6525105,25.6105654,true
RO,BRT,Bratca,Bratca,,RL,-23-----,,46.93333333333333,22.583333333333332,
