country,location,name,nameWoDiacritics,subdivision,status,function,iata,lat,lon
RS,ADA,Ada,Ada,,RL,-23-----,,45.78333333333333,20.15
RS,ALK,Aleksandrovac,Aleksandrovac,19,RL,--3-----,,42.483333333333334,21.9
RS,ALE,Aleksinac,Aleksinac,20,RL,--3-----,,43.55,21.7
RS,APT,Apatin,Apatin,,RL,123-----,,45.666666666666664,18.983333333333334
RS,ALC,Arandjelovac,Arandjelovac,,RQ,--3-----,,44.3,20.566666666666666
RS,ARJ,Arilje,Arilje,,RL,--3-----,,43.75,20.083333333333332
RS,BAB,Babusnica,Babusnica,22,RL,-----6--,,43.05,22.4
RS,BPA,Backa Palanka,Backa Palanka,,RL,123-----,,45.25,19.383333333333333
RS,BTO,Backa Topola,Backa Topola,,RL,-23-----,,45.8,19.633333333333333
RS,BJK,Backi Jarak,Backi Jarak,VO,RL,--3-----,,45.36666666666667,19.866666666666667
RS,BAC,Backi Petrovac,Backi Petrovac,,RL,-----6--,,45.35,19.583333333333332
RS,SZB,Banatski Karlovac,Banatski Karlovac,,RL,-----6--,,45.03333333333333,21
RS,BKJ,Banatsko Karadjordjevo,Banatsko Karadjordjevo,,RL,--3-----,,45.583333333333336,20.55
RS,BVS,Banatsko Veliko Selo,Banatsko Veliko Selo,VO,RL,--3-----,,45.81666666666667,20.583333333333332
RS,BSA,Baracka,Baracka,,RL,--3-----,,46.35,18.85
RS,BRC,Baric,Baric,,RQ,--3-----,,44.65,20.25
RS,BTJ,Batajnica,Batajnica,,RL,--3-----,,44.9,20.266666666666666
RS,BAO,Batocina,Batocina,12,RL,--3-----,,44.15,21.066666666666666
RS,BAT,Batote,Batote,,RL,--3-----,,43.3,21.1
RS,BEC,Becej,Becej,,RL,-23-----,,45.61666666666667,20.033333333333335
RS,BEG,Belgrade (Beograd),Belgrade (Beograd),00,AI,-2345---,,44.81666666666667,20.466666666666665
RS,BCN,Beocin,Beocin,,RL,--3-----,,45.2,19.716666666666665
RS,BZD,Bezdam,Bezdam,,RL,1-3-----,,45.85,18.916666666666668
RS,BLC,Blace,Blace,21,RL,--3-----,,43.28333333333333,21.283333333333335
RS,BVO,Bogojevo,Bogojevo,,RL,-23-----,,45.516666666666666,19.116666666666667
RS,BVC,Boljevac,Boljevac,15,RL,--3-----,,43.833333333333336,21.966666666666665
RS,BOR,Bor,Bor,,RL,--3-----,,44.11666666666667,22.1
RS,BOI,Bosilegrad,Bosilegrad,24,AM,--3-----,,42.483333333333334,22.466666666666665
RS,BOS,Bosnjane,Bosnjane,19,RQ,--3-----,,43.65,21.35
RS,4SN,Bresnica,Bresnica,17,RL,1-3-----,,43.86666666666667,20.583333333333332
RS,B5R,Brodarevo,Brodarevo,00,RL,--3-----,,43.21666666666667,19.716666666666665
RS,BRS,Brus,Brus,13,RL,--3-----,,43.38333333333333,21.033333333333335
RS,BUJ,Bujanovac,Bujanovac,,RL,-23-----,,42.45,21.766666666666666
RS,CAC,Cacak,Cacak,,RL,-23-----,,43.88333333333333,20.333333333333332
RS,CJA,Cajetina,Cajetina,16,AM,--3-----,,43.75,19.716666666666665
RS,CBO,Camp Bondsteel,Camp Bondsteel,,RQ,--3-----,,42.333333333333336,21.283333333333335
RS,CMI,Camp Monteith,Camp Monteith,,RQ,--3-----,,42.46666666666667,21.466666666666665
RS,CTV,Cantavir,Cantavir,01,RL,-----6--,,45.916666666666664,19.766666666666666
RS,CVA,Celarevo,Celarevo,,RL,-----6--,,45.266666666666666,19.516666666666666
RS,CTA,Centa,Centa,VO,RL,--3-----,,45.1,20.383333333333333
RS,CVC,Cerevic,Cerevic,,RL,--3-----,,45.21666666666667,19.65
RS,CIC,Cicevac,Cicevac,00,RL,--3-----,,43.71666666666667,21.433333333333334
RS,SZF,Crvenka,Crvenka,,RL,-----6--,,45.65,19.45
RS,CUP,Cuprija,Cuprija,,RL,-23-----,,43.93333333333333,21.383333333333333
RS,CRG,Curug,Curug,,RL,-23-----,,45.46666666666667,20.066666666666666
RS,DKV,Dakovica,Dakovica,25,RL,--3-----,,42.38333333333333,20.433333333333334
RS,DES,Despotovo,Despotovo,VO,RL,--3-----,,45.45,19.216666666666665
RS,DIM,Dimitrovgrad,Dimitrovgrad,,RL,1-3-----,,43,22.766666666666666
