country,location,name,nameWoDiacritics,subdivision,status,function,iata,lat,lon,geocoded
RU,ABA,Abakan,Abakan,,RL,--3-----,,53.7,91.41666666666667,
RU,ABD,Abdulino,Abdulino,ORE,RL,-23-----,,53.7,53.666666666666664,
RU,ABK,Abinsk,Abinsk,KDA,RL,123-----,,44.86666666666667,38.15,
RU,ACS,Achinsk,Achinsk,,AI,---4----,,56.2697716,90.5798284945788,true
RU,AGI,Aginskoye,Aginskoye,,QQ,--3-----,,51.1057609,114.5408006,true
RU,AHR,Akhtari,Akhtari,,RQ,0-------,,,,
RU,AKH,Akhtirski,Akhtirski,KDA,RL,--3-----,,44.833333333333336,38.28333333333333,
RU,ABS,Akhtubinsk,Akhtubinsk,,RL,0-------,,48.2848132,46.1643706,true
RU,AKS,Aksay,Aksay,ROS,RQ,1-------,,47.25,39.88333333333333,
RU,ADH,Aldan,Aldan,,AI,---4----,,58.6034931,125.40446306539265,true
RU,ALV,Aleksandrov,Aleksandrov,,RL,-23-----,,56.4,38.733333333333334,
RU,AAD,Aleksandrov (Alexandrov),Aleksandrov (Alexandrov),,RQ,--3-----,,56.38333333333333,38.61666666666667,
RU,SAK,Aleksandrovsk-Sakhalinskiy,Aleksandrovsk-Sakhalinskiy,,RL,1-3-----,,50.9,142.15,
RU,ALX,Alekseyevka,Alekseyevka,BEL,RL,--3-----,,50.63333333333333,38.7,
RU,ALE,Aleysk,Aleysk,AL,RL,-23-----,,52.483333333333334,82.76666666666667,
RU,ATK,Almetyevsk,Almetyevsk,,RQ,--3-----,,54.9005008,52.2963777,true
RU,ABC,Ambarchik,Ambarchik,SA,RQ,1-------,,69.61666666666666,162.3,
RU,AMB,Ambetsu,Ambetsu,,RQ,0-------,,,,
RU,AMV,Amderma,Amderma,NEN,AI,1--4----,,69.76666666666667,61.666666666666664,
RU,AMU,Amursk,Amursk,KHA,RQ,1-------,,50.21666666666667,136.9,
RU,DYR,Anadyr,Anadyr,,AI,1--4----,,64.7316875,177.5060925,true
RU,AAQ,Anapa,Anapa,,AI,---4----,,44.894272,37.316887,true
RU,AGK,Angarsk,Angarsk,IRK,RL,123-----,,52.53333333333333,103.88333333333334,
RU,APS,Apsheronsk,Apsheronsk,KDA,RL,-23-----,,44.45,39.71666666666667,
RU,ADT,Ardatov,Ardatov,NIZ,RL,--3-----,,55.233333333333334,43.1,
RU,ARH,Arkhangelsk,Arkhangelsk,,AI,1--4----,,64.543022,40.537121,true
RU,AHK,Arkhangel'skoye,Arkhangel'skoye,STA,RL,--3-----,,44.6,44.1,
RU,ARM,Arman (Magadan),Arman (Magadan),,QQ,1-------,,59.670994,150.132385,true
RU,AVR,Armavir,Armavir,KDA,RL,--3-----,,44.96666666666667,41.13333333333333,
RU,ARS,Arsenyev,Arsenyev,PRI,RL,-----6--,,44.28333333333333,133.28333333333333,
RU,ATM,Art�m,Artem,PRI,RL,--3-----,,43.36666666666667,132.18333333333334,
RU,ART,Artjom,Artjom,,RQ,--3-----,,43.65,132.31666666666666,
RU,ASB,Asbest,Asbest,,RL,-23-----,,57.016666666666666,61.46666666666667,
RU,ASF,Astrakhan,Astrakhan,,AI,1--4----,,46.3498308,48.0326203,true
RU,SAA,Atkarsk,Atkarsk,SAR,RL,--3-----,,51.86666666666667,45,
RU,AVD,Avtoremzavod,Avtoremzavod,SMO,AM,--3-----,,54.75,31.683333333333334,
RU,AZO,Azov,Azov,,QQ,1-------,,47.1139219,39.4259657,true
RU,BGV,Bagaevskaya,Bagaevskaya,ROS,RL,1-3-----,,47.31666666666667,40.38333333333333,
RU,BGR,Bagrationovsk,Bagrationovsk,,QQ,-2------,,54.3868191,20.6405124,true
RU,BAK,Baksan,Baksan,,RQ,--3-----,,43.7,43.516666666666666,
RU,BLK,Balakhna,Balakhna,NIZ,RQ,1-------,,56.483333333333334,43.61666666666667,
RU,BLN,Balakhnya,Balakhnya,IRK,RQ,1-------,,56.8,105.81666666666666,
RU,BKV,Balakirevo,Balakirevo,,RL,--3-----,,56.5,38.833333333333336,
RU,BWO,Balakovo,Balakovo,,AI,---4----,,52.01812,47.819141,true
RU,BLA,Balashikha,Balashikha,MOW,RL,-23-----,,55.8,37.95,
RU,BAL,Balobanovo,Balobanovo,MOW,RL,-23-----,,55.85,38.233333333333334,
RU,ZCA,Balozhi,Balozhi,NGR,RL,1-3-----,,58.36666666666667,31.883333333333333,
RU,BLT,Baltiysk,Baltiysk,,QQ,1-------,,54.6437214,19.8941584,true
RU,BAX,Barnaul,Barnaul,,AI,---4----,,53.3475493,83.7788448,true
RU,QSK,Baskan,Baskan,TA,RL,-----6--,,55.65,50.833333333333336,
RU,BAT,Bataysk,Bataysk,ROS,RL,--3-----,,47.166666666666664,39.733333333333334,
RU,BZK,Bazaikha,Bazaikha,KYA,RL,-23-----,,55.96666666666667,92.78333333333333,
RU,BKH,Bektyashka,Bektyashka,,QQ,1-------,,53.7487,48.8182,true
RU,BKT,Belaya Kalitva,Belaya Kalitva,ROS,RL,1----6--,,48.166666666666664,40.78333333333333,
RU,EGO,Belgorod,Belgorod,,AI,---4----,,50.64526255,36.5812955945439,true
RU,BEM,Belomorsk,Belomorsk,,QQ,1-------,,64.5216684,34.7625835,true
RU,BEK,Belorechensk,Belorechensk,,RL,-23-----,,44.766666666666666,39.86666666666667,
RU,BCX,Beloreck,Beloreck,,AI,---4----,,53.9680705,58.4099549,true
RU,OVO,Belousovo,Belousovo,,RL,--3-----,,55.083333333333336,36.65,
RU,BVO,Belovo,Belovo,KEM,RL,-23-----,,54.4,86.28333333333333,
RU,EYK,Beloyarsky,Beloyarsky,TYU,RL,---4----,,63.68333333333333,66.68333333333334,
RU,BEL,Belushye,Belushye,,QQ,1-------,,71.5376984,52.3427343,true
RU,BRD,Berdsk,Berdsk,NGR,RL,--3-----,,54.75,83.1,
RU,BRZ,Berezniki,Berezniki,PER,RL,-23-----,,59.4,56.78333333333333,
RU,EZV,Berezovo,Berezovo,TYU,RL,---4----,,65.91666666666667,65.16666666666667,
RU,BEE,Berezovskiy,Berezovskiy,ZAB,RQ,--3-----,,54.016666666666666,120.16666666666667,
RU,BER,"""Beringovskiy"," Port""","""Beringovskiy"," Port""",,1-------,44.19139,42.90167,true
RU,BSN,Beslan,Beslan,,RL,-----6--,,43.166666666666664,44.53333333333333,
RU,BSY,Bessergenevskaya,Bessergenevskaya,ROS,RL,-23-----,,47.4,40.31666666666667,
RU,BIY,Biysk,Biysk,,QQ,-2------,,52.5394905,85.2148673,true
RU,BQS,Blagoveschensk,Blagoveschensk,,AI,--34----,,50.2600417,127.5337378,true
RU,BLG,Blagoveshchensk,Blagoveshchensk,AMU,RQ,--3-----,,50.266666666666666,127.51666666666667,
RU,BGD,Bogdanovich,Bogdanovich,SVE,RL,--3-----,,56.766666666666666,62.03333333333333,
RU,BOG,Bogdanovo,Bogdanovo,KGD,RL,--3-----,,51.93333333333333,39.2,
RU,BGK,Boksitogorsk,Boksitogorsk,,RL,-23-----,,59.46666666666667,33.85,
RU,BOV,Bolshaya Vishera,Bolshaya Vishera,,RQ,--3-----,,58.9,32.083333333333336,
RU,BKN,Bolshoy Kamen,Bolshoy Kamen,KHM,RQ,1-------,,62.45,66.23333333333333,
RU,BRN,Bor,Bor,,RL,--3-----,,56.583333333333336,44.11666666666667,
RU,BOR,Borisova,Borisova,IRK,RQ,1-------,,57.016666666666666,106.23333333333333,
RU,T5V,Borisovka,Borisovka,NGR,RL,--3-----,,58.516666666666666,35.56666666666667,
RU,BRV,Borovichi,Borovichi,NGR,RL,--3-----,,58.28333333333333,31.766666666666666,
RU,BVC,Borovichi,Borovichi,TVE,RL,--3-----,,58.38333333333333,33.9,
RU,BOS,Boshnyakovo,Boshnyakovo,,RL,12------,,49.65,142.16666666666666,
RU,BTK,Bratsk,Bratsk,,AI,---4----,,56.1517085,101.6334907,true
RU,BNK,Bronka Port,Bronka Port,SPE,RL,123-----,,59.916666666666664,29.666666666666668,
RU,BRO,Bronnitsy,Bronnitsy,MOW,RL,--3-----,,55.416666666666664,38.25,
RU,BRY,Bryansk,Bryansk,,RL,-23-----,,53.25,34.416666666666664,
RU,BDN,Bud�nnovsk,Budennovsk,STA,RL,--3-----,,44.78333333333333,44.15,
RU,UUA,Bugulma,Bugulma,,AI,---4----,,54.5384152,52.7955953,true
RU,OLB,Bukhta Ol'ga,Bukhta Ol'ga,KAM,RL,1-------,,54.55,161.11666666666667,
RU,BBR,Buturlinovka,Buturlinovka,VOR,RL,--3-----,,50.81666666666667,40.6,
RU,BUZ,Buzuluk,Buzuluk,,RQ,--3-----,,52.766666666666666,52.25,
RU,CHA,Chamgu,Chamgu,SAK,RL,1-3-----,,50.93333333333333,143.6,
RU,CHZ,Chamzinka,Chamzinka,MO,RL,--3-----,,54.4,45.78333333333333,
RU,CAI,Chaykovskiy,Chaykovskiy,PER,RL,-23-----,,56.78333333333333,54.15,
RU,CHB,Chebarkul',Chebarkul',,RL,123-----,,54.96666666666667,60.36666666666667,
RU,CSY,Cheboksary,Cheboksary,CU,AI,-234----,,56.13333333333333,47.233333333333334,
RU,CKV,Chekhov,Chekhov,MOS,RL,--3-----,,55.13333333333333,37.46666666666667,
RU,CEK,Chelyabinsk,Chelyabinsk,,AI,-2-4----,,55.1598408,61.4025547,true
RU,CHM,Chemashi,Chemashi,KHM,RQ,1-------,,63.03333333333333,65.18333333333334,
RU,CEE,Cherepovets,Cherepovets,,AI,1--4----,,59.128696,37.916389,true
RU,CKK,Cherkessk,Cherkessk,KC,RL,-23-----,,44.28333333333333,42.05,
RU,CHG,Chernaya Gryaz',Chernaya Gryaz',MOS,RL,--3-----,,55.96666666666667,37.31666666666667,
RU,HGO,Chernogolovka,Chernogolovka,MOS,RQ,--3-----,,56.0061165,38.3835224,true
RU,CHK,Chernyakhovsk,Chernyakhovsk,,RL,-23-----,,54.63333333333333,21.816666666666666,
RU,CYO,Ch�rnyy Otrog,Chernyy Otrog,,RL,-23-----,,51.88333333333333,56,
RU,CYX,Cherskiy,Cherskiy,,AI,---4----,,68.7427218,161.33244351843064,true
RU,CIH,Chikacheva,Chikacheva,,QQ,1-------,,,,
RU,CHL,Chistopol,Chistopol,TA,RL,--3-----,,55.35,50.63333333333333,
RU,CTA,Chita,Chita,TA,RL,--3-----,,55.71666666666667,49.9,
RU,HTA,Chita,Chita,,AI,---4----,,52.033409,113.500893,true
RU,CKL,Chkalovsky,Chkalovsky,,AI,---4----,,56.6893001,43.062760679756565,true
RU,CKH,Chokurdah,Chokurdah,,AI,---4----,,,,
RU,CHD,Chudovo,Chudovo,NGR,RL,-23-----,,59.11666666666667,31.666666666666668,
RU,CNN,Chulman,Chulman,,AI,---4----,,56.840408,124.904716,true
RU,CSK,Chunskiy,Chunskiy,IRK,RL,-----6--,,56.083333333333336,99.65,
RU,CHY,Chusovoy,Chusovoy,PER,RL,--3-----,,58.28333333333333,57.81666666666667,
RU,CHU,Chuya,Chuya,IRK,RQ,1-------,,59.266666666666666,112.43333333333334,
RU,CPC,Cpc Terminal,Cpc Terminal,,RQ,1-------,,44.666666666666664,37.65,
RU,DAZ,Dalzavod,Dalzavod,PRI,RL,--3-----,,43.1,131.91666666666666,
RU,DKV,Dankov,Dankov,LIP,RL,--3-----,,53.25,39.13333333333333,
RU,DVO,Davidovo,Davidovo,,RQ,--3-----,,55.583333333333336,38.916666666666664,
RU,DKA,De-Kastri,De-Kastri,,QQ,1-------,,51.475426,140.768982,true
RU,DHA,Derbeshkinskiy,Derbeshkinskiy,,RL,1-3-----,,55.86666666666667,53.5,
RU,DKS,Dikson,Dikson,,AI,1--4----,,73.5,80.5,
RU,DMT,Dimitrovgrad,Dimitrovgrad,,RL,--3-----,,54.21666666666667,49.583333333333336,
RU,DIN,Dinskaya,Dinskaya,KDA,RL,--3-----,,45.2,39.21666666666667,
RU,DTV,Dmitrov,Dmitrov,,RQ,--3--6--,,56.35,37.516666666666666,
RU,DOL,Dolgoprudniy,Dolgoprudniy,MOS,RL,--3-----,,55.93333333333333,37.5,
RU,DME,Domodedovo Apt/Moscow,Domodedovo Apt/Moscow,,AI,---4----,,55.416666666666664,37.86666666666667,
RU,DDK,Dondukovskaya,Dondukovskaya,AD,RL,--3-----,,44.88333333333333,40.36666666666667,
RU,RZA,Donetsk,Donetsk,ROS,RL,-----6--,,48.333333333333336,39.95,
RU,DRH,Dorohova,Dorohova,MOS,RQ,--3-----,,36.43333333333333,55.55,
RU,DKO,Dorokhovo,Dorokhovo,MOS,RL,--3-----,,55.55,36.36666666666667,
RU,DRU,Druzhniy,Druzhniy,NIZ,RL,--3-----,,56.15,43.9,
RU,DUB,Dubna,Dubna,TVE,RQ,1-------,,56.75,37.13333333333333,
RU,DBK,Dubovka,Dubovka,VLG,RQ,1-------,,49.05,44.81666666666667,
RU,DBO,Dubrovo,Dubrovo,PSK,RL,--3-----,,58.6,28.266666666666666,
