country,location,name,nameWoDiacritics,subdivision,status,function,iata,lat,lon,geocoded
RW,BGA,Bugarama,Bugarama,04,RL,--3-----,,-2.7,29,
RW,BTQ,Butare,Butare,,AI,---4----,,-2.5954795500000003,29.73495998701734,true
RW,CYU,Cyangugu,Cyangugu,04,RL,--3-----,,-2.4833333333333334,28.883333333333333,
RW,GTA,Gatuna,Gatuna,03,RL,--3-----,,-1.4333333333333333,30.016666666666666,
RW,GYI,Gisenyi,Gisenyi,,AI,---4----,,-1.6788652499999999,29.259052480220763,true
RW,GSO,Gishoma,Gishoma,04,RL,--3-----,,-2.6,28.933333333333334,
RW,HUY,Huye,Huye,05,AM,--3-----,,-2.5666666666666664,29.7,
RW,KME,Kamembe,Kamembe,,AI,---4----,,-2.486835,28.9085776230496,true
RW,KYZ,Kayonza,Kayonza,02,RL,--3-----,,-1.9333333333333333,30.516666666666666,
RW,KGL,Kigali,Kigali,,AI,--345---,,-1.950851,30.061507,true
RW,MTA,Mutara,Mutara,03,RL,-----6--,,-1.6333333333333333,29.95,
RW,NSA,Nyagatare,Nyagatare,02,RL,1-3-----,,-1.2833333333333332,30.316666666666666,
RW,NYA,Nyamata,Nyamata,02,RL,--3-----,,-2.2,30.15,
RW,NYZ,Nyanza,Nyanza,05,RL,--3-----,,-2.35,29.75,
RW,RIL,Rilima,Rilima,,RQ,--3-----,,-2.15,30.216666666666665,
RW,RUB,Rubengera,Rubengera,,RL,1----6--,,-2.05965,29.4113218,true
RW,RHG,Ruhengeri,Ruhengeri,,AI,---4----,,-1.49776895,29.632260159922858,true
RW,RUO,Rusumo,Rusumo,02,RL,--3-----,,-2.2666666666666666,30.7,
RW,RW4,Rwamagana,Rwamagana,02,RL,1----6--,,1.95,30.433333333333334,
