country,location,name,nameWoDiacritics,subdivision,status,function,iata,lat,lon,geocoded
SA,AHB,Abha,Abha,,AI,---4----,,18.2164282,42.5043596,true
SA,ABQ,Abqaiq,Abqaiq,,RL,--3-----,,25.933333333333334,49.666666666666664,
SA,DMM,Ad Dammam,Ad Dammam,04,RL,12345---,,26.5,50.2,
SA,DAW,Ad Dawadami,Ad Dawadami,,RQ,--3-----,,24.5,44.38333333333333,
SA,ABT,Al Baha,Al Baha,,AI,---4----,,20.296139,41.634277,true
SA,BAH,Al Bahah,Al Bahah,11,RL,--3-----,,20.016666666666666,41.46666666666667,
SA,AHA,Al Hada,Al Hada,,QQ,1-------,,21.368611,40.284722,true
SA,HAD,Al Hadithah,Al Hadithah,12,RL,--3-----,,31.45,37.15,
SA,ALH,Al Hasa,Al Hasa,04,RL,--3-----,,25.416666666666668,49.61666666666667,
SA,LJW,Al Jawf,Al Jawf,14,RL,--3-----,,18.216666666666665,43.18333333333333,
SA,JBI,Al Jubayl Industrial City,Al Jubayl Industrial City,,RL,1-3-----,,27.083333333333332,49.7,
SA,AKH,Al Kharj,Al Kharj,01,AI,--34----,,24.133333333333333,47.3,
SA,ALK,Al Khobar,Al Khobar,,RQ,1-------,,26.3039999,50.1960237,true
SA,AQK,Al Khobar,Al Khobar,04,RL,1-------,,26.283333333333335,50.2,
SA,KHU,Al Khuraibah,Al Khuraibah,07,RQ,1-------,,28.05,35.166666666666664,
SA,AMU,Al Muajjiz,Al Muajjiz,,RQ,1-------,,23.466666666666665,38.38333333333333,
SA,QAH,Al Qahmah,Al Qahmah,09,RQ,1-------,,18.016666666666666,41.666666666666664,
SA,QUN,Al Qunfudah,Al Qunfudah,09,RQ,1-------,,19.116666666666667,41.06666666666667,
SA,QRN,Al Qurainah,Al Qurainah,01,AM,--3-----,,25.1,46.2,
SA,ASQ,Al Shuqaiq,Al Shuqaiq,04,RL,--3-----,,25.483333333333334,49.6,
SA,AUT,Al 'Uthmaniyah,Al 'Uthmaniyah,04,RL,--3-----,,25.183333333333334,49.3,
SA,ARR,Ar Rass,Ar Rass,,RL,--3-----,,25.8685205,43.5038978,true
SA,RAE,Arar,Arar,,AI,---4----,,30.9815531,41.0164788,true
SA,ASF,Asfan,Asfan,02,AA,--3-----,,21.916666666666668,39.36666666666667,
SA,BDN,Badanah,Badanah,,RL,--3-----,,30.966666666666665,41.016666666666666,
SA,BHH,Bisha,Bisha,,AI,---4----,,19.9776886,42.61928568364399,true
SA,BRU,Buraydah,Buraydah,05,RL,--3-----,,26.316666666666666,43.96666666666667,
SA,BUR,Buraydah,Buraydah,,RL,1----6--,,26.316666666666666,43.96666666666667,
SA,DHA,Dhahran,Dhahran,,AI,1--4----,,26.2588758,50.148375378619676,true
SA,FJJ,Fiji,Fiji,02,RQ,-----6--,,24.266666666666666,38.56666666666667,
SA,ELQ,Gassim,Gassim,,AI,---4----,,,,
SA,URY,Gurayat,Gurayat,,AI,---4----,,31.4110571,37.2752595,true
SA,HBT,Hafar al Batin,Hafar al Batin,,AI,--34----,,28.4328084,45.9627527,true
SA,HAS,Hail,Hail,,AI,---4----,,27.5208716,41.6985992,true
SA,RAD,Harad,Harad,,RL,-23-----,,24.133333333333333,49.05,
SA,HZM,Hazm Al Jalamid,Hazm Al Jalamid,,RL,--3-----,,31.266666666666666,40.1,
SA,HOF,Hofuf,Hofuf,,QQ,---4----,,25.3696585,49.5865224,true
SA,JEC,Jazan Economic City,Jazan Economic City,09,AM,1-3-----,,17.283333333333335,42.333333333333336,
SA,JED,Jeddah,Jeddah,02,AI,1--45---,,21.466666666666665,39.166666666666664,
SA,JIC,Jeddah Industrial City 2 & 3,Jeddah Industrial City 2 & 3,02,AM,--3-----,,21.116666666666667,39.28333333333333,
SA,JYC,Jeddah Yachts Club Port,Jeddah Yachts Club Port,02,AA,1-------,,21.65,39.1,
SA,GIZ,Jizan,Jizan,,AI,1--4----,,16.9,42.5,
SA,AJF,Jouf,Jouf,,AI,---4----,,17.4031409,42.85181,true
SA,JUT,Juaymah Terminal,Juaymah Terminal,,RQ,1-------,,26.916666666666668,50.016666666666666,
SA,JUB,Jubail,Jubail,,QQ,1-------,,27.016666666666666,49.666666666666664,
SA,KMX,Khamis Mushayt,Khamis Mushayt,,AI,--34----,,18.3,42.733333,true
SA,KAC,King Abdullah City,King Abdullah City,02,RQ,1-3-----,,22.4,39.083333333333336,
SA,KFH,King Fhad,King Fhad,,RQ,0-------,,26.31417,50.14806,true
SA,KKH,King Khalid,King Khalid,,RQ,0-------,,27.90509,45.55326,true
SA,LIT,Lith,Lith,,QQ,1-------,,20.1451486,40.2701391,true
SA,MED,Madinah,Madinah,,AI,---4----,,24.471153,39.6111216,true
SA,MJH,Majma,Majma,,AI,---4----,,25.903889,45.345556,true
SA,MAK,Makkah,Makkah,,QQ,1-------,,21.420847,39.826869,true
SA,MAN,Manailih,Manailih,,QQ,1-------,,,,
SA,MUF,Manfouha,Manfouha,,QQ,1-------,,,,
SA,MHY,Muhayil,Muhayil,14,RL,-----6--,,18.533333333333335,42.03333333333333,
SA,NJN,Najran,Najran,10,RL,--3-----,,17.5,44.18333333333333,
SA,EAM,Nejran,Nejran,,AI,---4----,,,,
SA,DHU,Port of NEOM,Port of NEOM,,AA,1-------,,27.566666666666666,34.55,
SA,AQI,Qaisumah,Qaisumah,,AI,---4----,,28.34587605,46.12029863114418,true
SA,QAL,Qalsn,Qalsn,,QQ,1-------,,,,
SA,QTF,Qatif,Qatif,,AI,---4----,,26.5586004,50.0087399,true
SA,QUR,Qurayyah,Qurayyah,,QQ,1-------,,27.4815425,47.8735519,true
SA,RAB,Rabigh,Rabigh,,QQ,1-------,,22.7989669,39.0335547,true
SA,RAH,Rafha,Rafha,,AI,---4----,,29.6245856,43.4917511674726,true
SA,RAR,Ras al Khafji,Ras al Khafji,,QQ,1-------,,28.4225409,48.4927814,true
SA,RAM,Ras al Mishab,Ras al Mishab,,QQ,1-------,,25.863456,44.207733,true
SA,RAZ,Ras Al-Khair,Ras Al-Khair,04,RL,1-3-----,,27.55,49.2,
SA,RTA,Ras Tanura,Ras Tanura,,QQ,1-------,,26.633333333333333,50.15,
SA,RUH,Riyadh,Riyadh,01,AI,---45---,,24.633333333333333,46.766666666666666,
SA,RYP,Riyadh Dry Port,Riyadh Dry Port,,RL,-23-----,,24.633333333333333,46.733333333333334,
SA,SAF,Safaniya,Safaniya,,RL,--3-----,,,,
SA,SUH,Salboukh,Salboukh,,QQ,1-------,,,,
SA,SAL,Salw�,Salwa,04,RL,--3-----,,24.733333333333334,50.75,
SA,SAY,Sayhat,Sayhat,,RL,--3-----,,26.466666666666665,50.03333333333333,
SA,SHD,Shadqam,Shadqam,04,RL,--3---7-,,25.716666666666665,49.416666666666664,
SA,SHW,Sharurah,Sharurah,,AI,---4----,,17.491225,47.1126055,true
SA,SHU,Shuaibah,Shuaibah,,RQ,1-------,,20.683333333333334,39.516666666666666,
SA,SLF,Sulayel,Sulayel,,RQ,---4----,,20.466666666666665,45.61666666666667,
SA,TUU,Tabuk,Tabuk,,AI,---4----,,28.373760500000003,36.62510296514652,true
SA,TIF,Taif,Taif,,AI,---4----,,21.2702801,40.4158308,true
SA,TUI,Turaif,Turaif,,AI,---4----,,31.69201315,38.73264882506025,true
SA,TFZ,Tusdeer Free Zone,Tusdeer Free Zone,,RQ,-----6--,,21.483333333333334,39.15,
SA,UDH,Udhailiyah,Udhailiyah,,RL,--3-----,,25.133333333333333,49.3,
SA,VLA,Umm Lajj,Umm Lajj,,RL,1-3-----,,25.016666666666666,37.266666666666666,
