country,location,name,nameWoDiacritics,subdivision,status,function,iata,lat,lon,geocoded
SB,AFT,Afutara,Afutara,,AI,---4----,,-9.190964000000001,160.94965668541215,true
SB,ALB,"""Allardyce Harbour"," Sta Isabel Is""","""Allardyce Harbour"," Sta Isabel Is""",,1-------,-7.77845,158.66138,true
SB,ANH,Anuha Island,Anuha Island,,AI,---4----,,-8.983333333333333,160.21666666666667,
SB,AOB,Aola Bay,Aola Bay,,RQ,1-------,,-9.5300605,160.4824982,true
SB,RNA,Arona,Arona,CE,RL,---4----,,-9.216666666666667,161.21666666666667,
SB,ATD,Ato'ifi,Ato'ifi,ML,AI,---4----,,-8.85,161.01666666666668,
SB,AKS,"""Auki"," Malaita Is""","""Auki"," Malaita Is""",,1--4----,-8.7706074,160.6992655,true
SB,AVU,"""Avu Avu"," Guadalcanal Is""","""Avu Avu"," Guadalcanal Is""",,---4----,96.01666666666667,NaN,
SB,BAS,Balalai Island,Balalai Island,,AI,---4----,,-6.983333333333333,155.88333333333333,
SB,VEV,Barakoma,Barakoma,,AI,---4----,,,,
SB,RRI,Barora Ite Island,Barora Ite Island,,AI,---4----,,-7.583333333333333,158.4,
SB,BPF,Batuna,Batuna,,AI,---4----,,,,
SB,BNY,Bellona,Bellona,,AI,---4----,,-11.283333333333333,159.78333333333333,
SB,CHY,Choiseul Bay,Choiseul Bay,,AI,1--4----,,-6.7,156.43333333333334,
SB,FRE,Fera Island,Fera Island,IS,AI,---4----,,-8.1,159.58333333333334,
SB,SSG,Filuo,Filuo,,RL,--3-----,,-7.766666666666667,158.65,
SB,GEF,Geva,Geva,,AI,---4----,,,,
SB,GZO,Gizo,Gizo,,AI,1--4----,,-8.1,156.85,
SB,GSI,Guadalcanal,Guadalcanal,,RQ,---4----,,-9.516666666666667,160.18333333333334,
SB,HIR,"""Honiara"," Guadalcanal Is""","""Honiara"," Guadalcanal Is""",,1--45---,-9.43333,159.95,true
SB,JJA,Jajao,Jajao,,RL,---4----,,-8.2,159.26666666666668,
SB,KGE,Kaghau Island,Kaghau Island,,AI,---4----,,-7.333333333333333,157.58333333333334,
SB,IRA,"""Kirakira"," San Cristobal Is""","""Kirakira"," San Cristobal Is""",,1--4----,-10.45442,161.92045,true
SB,KUE,Kukundu,Kukundu,,AI,---4----,,,,
SB,KWR,Kwai Harbour,Kwai Harbour,,AI,---4----,,,,
SB,KWS,Kwailabesi,Kwailabesi,,AI,---4----,,,,
SB,LAT,Lata,Lata,TE,AM,1-34----,,-10.716666666666667,165.8,
SB,LEV,Lever Harbour,Lever Harbour,,RL,1-------,,-8.016666666666667,157.6,
SB,LOF,Lofung,Lofung,,RQ,1-------,,,,
SB,RUS,"""Marau Sound"," Guadalcanal Is""","""Marau Sound"," Guadalcanal Is""",,1--4----,96.01666666666667,NaN,
SB,MBU,"""Mbambanakira"," Guadalcanal Is""","""Mbambanakira"," Guadalcanal Is""",,---4----,-9.750923,159.8397907,true
SB,MNY,Mono,Mono,,AI,---4----,,,,
SB,MUA,"""Munda"," New Georgia""","""Munda"," New Georgia""",,---4----,-8.1,156.81667,true
SB,NAZ,Nana Apt / Star Harbour,Nana Apt / Star Harbour,,RL,---4----,,-10.783333333333333,162.3,
SB,NEM,Nemba,Nemba,,RL,1-3-----,,-10.766666666666667,165.7,
SB,GTA,Nggatokae Island,Nggatokae Island,,AI,---4----,,-8.766666666666667,158.18333333333334,
SB,NOR,"""Noro"," New Georgia""","""Noro"," New Georgia""",,1-------,-8.2422346,157.1987537,true
SB,ONE,"""Onepusu"," Malaita Island""","""Onepusu"," Malaita Island""",,---4----,96.01666666666667,NaN,
SB,OTV,Ontong Java,Ontong Java,,AI,---4----,,,,
SB,PRS,"""Parasi"," Malaita Island""","""Parasi"," Malaita Island""",,---4----,96.01666666666667,NaN,
SB,PSG,Pulisingau,Pulisingau,,RQ,--3-----,,-7.883333333333333,157.16666666666666,
SB,RBV,Ramata,Ramata,,AI,---4----,,,,
SB,RNL,Rennell Island,Rennell Island,,AI,---4----,,,,
SB,RIN,"""Ringgi Cove"," Kolombangara""","""Ringgi Cove"," Kolombangara""",,1--4----,-8.1137,157.12904,true
SB,NNB,Santa Ana,Santa Ana,,AI,---4----,,,,
SB,SCZ,Santa Cruz Is,Santa Cruz Is,,AI,1--4----,,,,
SB,SVY,Savo,Savo,,AI,---4----,,-9.131910099999999,159.81146659428515,true
SB,EGM,Seghe,Seghe,,AI,---4----,,-8.566666666666666,157.88333333333333,
SB,SHH,Shortland Harbour,Shortland Harbour,,AC,1-------,,-7.083333333333333,155.86666666666667,
SB,VAO,Suavanao,Suavanao,,AI,---4----,,-7.5853303,158.7310896,true
SB,TAA,Tarapaina,Tarapaina,,AI,---4----,,,,
SB,TLG,"""Tulagi"," Ngella""","""Tulagi"," Ngella""",,1--4----,-9.1015203,160.1501398,true
SB,VIU,Viru Harbour,Viru Harbour,,AI,1--4----,,,,
SB,XYA,"""Yandina"," Russell Island""","""Yandina"," Russell Island""",,1-34----,4.016666666666667,NaN,
