country,location,name,nameWoDiacritics,subdivision,status,function,iata,lat,lon,geocoded
SC,ANS,Anse Kerlan,Anse Kerlan,,RL,-----6--,,-4.3,55.68333333333333,
SC,BDI,Bird Island,Bird Island,,AI,---4----,,,,
SC,DEI,Denis Island,Denis Island,,AI,---4----,,,,
SC,FRK,Fr�gate,Fregate,,AI,---4----,,-4.583333333333333,55.93333333333333,
SC,DES,Ile Desroches,Ile Desroches,,AI,---4----,,-5.683333333333334,53.68333333333333,
SC,MAW,Mahe,Mahe,,QQ,1-------,,,,
SC,SEZ,Mah� Island Apt,Mahe Island Apt,,AI,---45---,,-4.666666666666667,55.46666666666667,
SC,POV,Port Victoria,Port Victoria,,QQ,1-------,,-4.6232085,55.452359,true
SC,PRI,Praslin Island,Praslin Island,,AI,---4----,,-4.3186006500000005,55.691294938853574,true
SC,VIC,Victoria,Victoria,22,RL,1-3-----,,-4.616666666666667,55.45,
