country,location,name,nameWoDiacritics,subdivision,status,function,iata,lat,lon,geocoded
SE,ABS,Abisko,Abisko,BD,RL,-23-----,,68.35,18.783333333333335,
SE,ABI,�by,Aby,E,RL,--3-----,,58.666666666666664,16.183333333333334,
SE,ADK,Adak,Adak,Y,RL,-----6--,,65.35,18.616666666666667,
SE,ADO,Adels�,Adelso,,RQ,--3-----,,59.36666666666667,17.483333333333334,
SE,AEL,Aelvsered,Aelvsered,N,AA,--3-----,,57.233333333333334,12.85,
SE,AGB,Agnesberg,Agnesberg,O,RL,123-----,,57.78333333333333,11.983333333333333,
SE,AGO,Ag�,Ago,,RL,--3-----,,59.28725215,18.102108547792337,true
SE,AGU,Agunnaryd,Agunnaryd,G,RL,--3-----,,56.75,14.15,
SE,AHR,Aha,Aha,AC,RL,--3-----,,65.46666666666667,17.733333333333334,
SE,AHU,�hus,Ahus,M,AA,123-----,,55.916666666666664,14.283333333333333,
SE,AKP,�karp,Akarp,M,RL,--3--6--,,55.65,13.1,
SE,AAK,�kers Styckebruk,Akers Styckebruk,D,RQ,-23-----,,59.2564417,17.1080216,true
SE,AKA,�kersberga,Akersberga,AB,RN,--3-----,,59.4823516,18.2943981,true
SE,ALA,Ala,Ala,X,AA,1-------,,61.21666666666667,17.15,
SE,ALO,Alafors,Alafors,O,RL,--3-----,,57.56666666666667,12.1,
SE,ALG,Alberga,Alberga,D,RL,--3-----,,59.266666666666666,16.116666666666667,
SE,ALB,Alby,Alby,Y,RL,--3-----,,62.4942274,15.4770661,true
SE,ALF,Alfredshem,Alfredshem,Y,AF,1-------,,63.26667,18.7,true
SE,SZB,Alfta,Alfta,X,RL,-----6--,,61.35,16.083333333333332,
SE,LGR,"""�lgar�s"," T�reboda""","""Algaras"," Toreboda""",O,--3-----,59.6969241,15.0614802,true
SE,AHT,�lghult,Alghult,G,RN,--3-----,,57.0091236,15.5738881,true
SE,ALI,Alings�s,Alingsas,O,RQ,--3-----,,57.916666666666664,12.533333333333333,
SE,ALM,�lmhult,Almhult,G,RL,--3-----,,57.6408131,12.7943761,true
SE,AVK,Almvik,Almvik,,RQ,0-------,,55.5585635,13.005055940539936,true
SE,N8P,Alnarp,Alnarp,M,RL,--3-----,,55.65,13.083333333333334,
SE,ASM,Alstermo,Alstermo,G,RL,--3-----,,56.96666666666667,15.633333333333333,
SE,AB5,Alta,Alta,AB,RL,--3-----,,59.266666666666666,18.183333333333334,
SE,AGN,�lv�ngen,Alvangen,O,RL,123-----,,57.95,12.116666666666667,
SE,AEN,�lvdalen,Alvdalen,W,RL,--3-----,,59.9167676,18.728243,true
SE,ALN,�lven�s,Alvenas,S,AA,1-------,,59.38333333333333,13.183333333333334,
SE,ALV,Alvesta,Alvesta,G,RQ,--3-----,XXA,59.6017144,15.6908583,true
SE,SZC,�lvkarleby,Alvkarleby,C,RL,-----6--,,60.56666666666667,17.45,
SE,ABN,�lvsbyn,Alvsbyn,BD,RL,--3-----,,65.66666666666667,21,
SE,ALS,�lvsj�/Stockholm,Alvsjo/Stockholm,AB,RL,-23-----,,59.266666666666666,18,
SE,AMA,�m�l,Amal,O,AA,123-----,,59.05,12.7,
SE,AMM,�mmeberg,Ammeberg,T,RL,--3-----,,58.86666666666667,15,
SE,ATF,�motfors,Amotfors,S,RL,--3-----,,59.766666666666666,12.366666666666667,
SE,ASL,Andersl�v,Anderslov,M,RL,--3--6--,,55.43333333333333,13.333333333333334,
SE,ANP,Anderstorp,Anderstorp,F,RQ,--3-----,,57.2829822,13.6368211,true
SE,ABY,Aneby,Aneby,F,RQ,--3-----,,57.838069,14.8100784,true
SE,AGE,�nge,Ange,Y,RL,123-----,,62.516666666666666,15.616666666666667,
SE,ANG,�ngelholm,Angelholm,M,AI,-23-----,,56.242601,12.872034,true
SE,AGD,Angered,Angered,O,RL,-23-----,,57.78333333333333,12.1,
SE,AKR,Ankarsrum,Ankarsrum,H,RL,--3-----,,57.7,16.333333333333332,
SE,ANK,Ankarsvik,Ankarsvik,C,AF,1-------,,62.373596,17.40904,true
SE,ANN,�nn,Ann,Z,RL,123-----,,63.31666666666667,12.533333333333333,
SE,ANB,Anneberg,Anneberg,H,RL,--3-----,,57.71666666666667,15.8,
SE,APL,�ppelbo,Appelbo,W,RL,--3-----,,60.483333333333334,14,
SE,AAR,Ar,Ar,I,AF,1-------,,57.915234,18.9515871,true
SE,ARA,Arboga,Arboga,U,RL,123-----,XXT,59.38333333333333,15.85,
SE,ARB,Arbr�,Arbra,X,AF,123-----,,61.4730882,16.374964,true
SE,ARE,�re,Are,Z,RL,-23-----,,63.4,13.1,
SE,ADG,Arildsl�ge,Arildslage,M,RL,1-------,,,,
SE,ARJ,�rj�ng,Arjang,O,RL,--3-----,,59.416667,12.166667,true
SE,ARG,Arjeplog,Arjeplog,BD,RL,--3-----,,66.416667,17,true
SE,ASU,Ark�sund,Arkosund,E,RL,1-------,,58.4900889,16.9368276,true
SE,ARN,Arlanda Apt/Stockholm,Arlanda Apt/Stockholm,C,AI,---4----,,59.6467921,17.937044334194475,true
SE,ART,Arlandastad,Arlandastad,AB,RN,--3-----,,59.6190818,17.8775237,true
SE,ARL,Arl�v,Arlov,M,RL,--3-----,,55.6378013,13.0777501,true
SE,ASV,Arn�svall,Arnasvall,Y,RL,--3-----,,63.31666666666667,18.783333333333335,
SE,ARI,Arninge,Arninge,AB,RL,--3-----,,59.4647097,18.129501,true
SE,ARK,Arn�viken,Arnoviken,C,AF,1-------,,61.6962513,17.3877355,true
SE,ASQ,�rsta,Arsta,Y,RL,--3-----,,63.05,17.616666666666667,
SE,ARS,�rsta/Stockholm,Arsta/Stockholm,AB,RL,--3-----,,59.3,18.05,
SE,ARD,�rstadal,Arstadal,AB,RL,--3-----,,59.30619,18.02565,true
SE,AUD,�rsunda,Arsunda,X,RL,--3-----,,60.53333333333333,16.733333333333334,
SE,AJR,Arvidsjaur,Arvidsjaur,BD,RL,--3-----,,65.666667,19.25,true
SE,ARV,Arvika,Arvika,S,AI,123-----,XYY,59.6543555,12.5916225,true
SE,ASA,Asarum,Asarum,K,RL,--3-----,,56.2081078,14.8399508,true
SE,ASB,�sbro,Asbro,T,RL,-23-----,,59,15.05,
SE,AAS,�seda,Aseda,F,RL,--3-----,,57.1691268,15.3525029,true
SE,ADA,�seda,Aseda,G,RL,--3-----,,57.166666666666664,15.333333333333334,
SE,ALE,�sele,Asele,AC,RL,--3-----,,64.16666666666667,17.333333333333332,
SE,ASE,�sensbruk,Asensbruk,O,RL,--3-----,,58.8072431,12.4194782,true
SE,ASH,�shammar,Ashammar,X,RL,-23-----,,60.65,16.55,
SE,ASD,Askersund,Askersund,T,RL,1-------,,58.884598,14.9175295,true
SE,AKM,Askim,Askim,O,RL,--3-----,,57.63333333333333,11.933333333333334,
SE,ASK,�skloster,Askloster,N,RL,--3-----,,57.2186945,12.2213642,true
SE,SMT,Asmundtorp,Asmundtorp,M,RL,--3-----,,55.88333333333333,12.933333333333334,
SE,AST,�storp,Astorp,M,RL,--3-----,,58.2276432,13.6657988,true
SE,SZA,�torp,Atorp,T,RL,-----6--,,59.11666666666667,14.35,
SE,ATV,�tvidaberg,Atvidaberg,E,RL,-23-----,,58.2009877,16.0018979,true
SE,AVE,Avesta,Avesta,W,RL,--3-----,XYP,60.1469553,16.1826996,true
SE,BBE,B�berg,Baberg,O,RL,--3-----,,58.3332251,12.2673309,true
SE,BCD,Backaryd,Backaryd,K,RL,--3-----,,56.333333333333336,15.183333333333334,
SE,BKS,B�ckefors,Backefors,O,RL,--3-----,,58.8,12.15,
SE,BFS,B�ckfors,Backfors,AC,RL,--3-----,,64.5135017,21.4064929,true
SE,BAR,B�ckhammar,Backhammar,S,RN,--3-----,,59.1589394,14.190986,true
SE,BAC,B�ckviken,Backviken,M,AI,1-------,,55.9031549,12.7204518,true
SE,BGO,Bagarmossen/Stockholm,Bagarmossen/Stockholm,AB,RL,--3-----,,59.266666666666666,18.116666666666667,
SE,BAL,Ballingsl�v,Ballingslov,M,RL,--3-----,,56.2142746,13.8465783,true
SE,BLV,B�llstaviken,Ballstaviken,AB,AI,-23-----,,59.35,17.966666666666665,
SE,BAA,B�lsta,Balsta,C,AA,1-3-----,,59.583333333333336,17.5,
SE,BNG,Bandhagen/Stockholm,Bandhagen/Stockholm,AB,RL,--3-----,,59.266666666666666,18.033333333333335,
SE,BND,Bankeryd,Bankeryd,F,RN,--3-----,,57.8631423,14.1278533,true
SE,BBH,Barseb�ckshamn,Barsebackshamn,M,AA,1-------,,55.75,12.9,
SE,BAS,B�stad,Bastad,M,AI,1-------,,57.7737671,12.9532952,true
SE,BTS,Bastutrask,Bastutrask,AC,RL,--3-----,,65,17.683333333333334,
SE,BAT,B�tsk�rsn�s,Batskarsnas,BD,AF,1-------,,65.7809286,23.4221389,true
SE,SEF,Bell�,Bello,F,RL,-----6--,,57.583333333333336,15.333333333333334,
SE,BTF,Bengtsfors,Bengtsfors,O,RN,1-3-----,,59.0309288,12.222887,true
SE,BGA,Berga �rlogsskolor,Berga Orlogsskolor,,AA,1-------,,59.083333333333336,18.15,
SE,BGF,Bergeforsen,Bergeforsen,Y,RL,--3-----,,62.53333333333333,17.383333333333333,
SE,BEA,Bergkvara,Bergkvara,H,AA,1-------,,56.38333333333333,16.083333333333332,
SE,BER,Bergs oljehamn,Bergs oljehamn,AB,AA,1-------,,59.31666666666667,18.166666666666668,
SE,BHM,Bergshamra,Bergshamra,AB,RN,--3-----,,59.6395313,18.6564963,true
SE,BRG,Bergsj�,Bergsjo,Z,RL,--3-----,,63.88333333333333,16.483333333333334,
SE,BNA,Bettna,Bettna,D,RL,--3-----,,58.9,16.633333333333333,
SE,BID,Billdal,Billdal,O,RL,--3-----,,57.56666666666667,11.933333333333334,
SE,BLB,Billeberga,Billeberga,M,RL,--3-----,,55.86666666666667,13,
SE,BIM,Billesholm,Billesholm,M,RL,--3-----,,56.0589004,12.9714633,true
SE,BIL,Billingsfors,Billingsfors,O,AF,-23-----,,58.9833543,12.2467712,true
SE,BPG,Bispg�rden,Bispgarden,Z,RL,--3-----,,63.0241535,16.6354903,true
SE,BJA,Bj�rnum,Bjarnum,M,RL,--3-----,,56.2904411,13.7114221,true
SE,BJR,Bj�rred,Bjarred,M,RL,1-3-----,,55.71666666666667,13.016666666666667,
SE,BJ5,Bjartra,Bjartra,Y,RL,--3-----,,62.96666666666667,17.883333333333333,
SE,BST,Bj�sta,Bjasta,Y,RL,--3-----,,63.2,18.5,
SE,BOO,Bj�rbo,Bjorbo,W,AM,--3-----,,60.45,14.7,
SE,BJK,Bj�rklinge,Bjorklinge,C,RL,--3-----,,60.0291369,17.551431,true
SE,BJV,Bjorkvik,Bjorkvik,D,RL,--3-----,,58.833333333333336,16.516666666666666,
SE,BJN,Bj�rneborg,Bjorneborg,S,RL,--3-----,,59.242214,14.2506109,true
SE,BGB,Bjuraker,Bjuraker,X,RL,-----6--,,61.86666666666667,16.566666666666666,
SE,BJM,Bjurholm,Bjurholm,AC,RL,--3-----,,63.93333333333333,19.216666666666665,
SE,BJU,Bjuv,Bjuv,M,RL,--3-----,,56.0842983,12.9167304,true
SE,BLA,Blankaholm,Blankaholm,H,AF,1-------,,57.5910041,16.5253447,true
SE,BCS,Blattnicksele,Blattnicksele,AC,RL,--3-----,,65.33333333333333,17.583333333333332,
SE,B5P,Blentarp,Blentarp,M,RL,--3-----,,55.583333333333336,13.6,
SE,BBG,Blidsberg,Blidsberg,O,RN,--3-----,,57.9305831,13.4933452,true
SE,BLO,Blomsterm�la,Blomstermala,H,RL,--3-----,,56.9845703,16.3286835,true
SE,BDQ,B�da,Boda,H,AI,1-------,,59.367778,18.6066771,true
SE,BDS,Bodafors,Bodafors,F,RL,--3-----,,57.5052622,14.7033794,true
SE,BOD,Boden,Boden,BD,RL,--3-----,,65.82902345,21.702116153168873,true
SE,BOH,Bohus,Bohus,O,AA,123-----,,57.85,12,
SE,BOI,Boliden,Boliden,AC,RL,--3-----,,64.8671772,20.3835784,true
SE,BLL,Bollebygd,Bollebygd,O,RL,--3-----,,57.6688624,12.5707216,true
SE,BLS,Bolln�s,Bollnas,X,RL,--3-----,,59.3776682,17.5317996,true
SE,BOL,Bollstabruk,Bollstabruk,Y,AA,123-----,,63,17.683333333333334,
SE,BOR,Bor,Bor,F,RL,--3-----,,57.1,14.166666666666666,
SE,BOS,Bor�s,Boras,O,AF,-23-----,,57.7210839,12.9407407,true
SE,BOG,Borensberg,Borensberg,E,RL,1-------,,58.5656587,15.2802181,true
SE,BON,Borghamn,Borghamn,E,AF,--3-----,,58.383581,14.693135,true
SE,BOM,Borgholm,Borgholm,H,AI,1-------,,56.8799276,16.6561377,true
SE,BGS,Borgstena,Borgstena,O,RN,--3-----,,57.8838055,13.0131695,true
SE,BVN,Borgvattnet,Borgvattnet,Z,RL,--3-----,,63.416666666666664,15.833333333333334,
