country,location,name,nameWoDiacritics,subdivision,status,function,iata,lat,lon,geocoded
SG,BKM,Bukit Merah Estate,Bukit Merah Estate,01,RL,1-3-----,,1.2833333333333332,103.81666666666666,
SG,CHG,Changi,Changi,,RL,1-34----,,1.3166666666666667,104,
SG,CCK,Choa Chu Kang,Choa Chu Kang,,RQ,-----6--,,1.2833333333333332,103.85,
SG,CLE,Clementi,Clementi,,RQ,-----6--,,1.2833333333333332,103.85,
SG,JUR,Jurong/Singapore,Jurong/Singapore,,RL,1-3-----,,1.3333333333333333,103.7,
SG,KEP,Keppel Wharves,Keppel Wharves,,QQ,1-------,,1.464699,103.828582,true
SG,PPT,PASIR PANJANG Terminal,PASIR PANJANG Terminal,05,RL,1-3-----,,1.2833333333333332,103.76666666666667,
SG,PAP,Pasir Panjang Wharves,Pasir Panjang Wharves,,RL,1-------,,1.2666666666666666,103.78333333333333,
SG,PAR,Pasir Ris New Town,Pasir Ris New Town,,RL,--3-----,,1.3666666666666667,103.93333333333334,
SG,QPG,Paya Lebar,Paya Lebar,02,RL,--34----,,1.35,103.88333333333334,
SG,PNR,Pioneer,Pioneer,05,RL,--3-----,,1.3166666666666667,103.68333333333334,
SG,AYC,Pulau Ayer Chawan,Pulau Ayer Chawan,,RL,1-------,,1.2666666666666666,103.7,
SG,PUB,Pulau Bukom,Pulau Bukom,,RQ,1-------,,1.2321019999999998,103.7674891268691,true
SG,SEB,Pulau Sebarok,Pulau Sebarok,,RQ,1-------,,1.20568535,103.79532873375337,true
SG,SLT,Seletar,Seletar,,RQ,1-------,,1.4098488,103.8773789,true
SG,SEM,Sembawang Port,Sembawang Port,,QQ,1-------,,1.45083,103.82861,true
SG,SIN,Singapore,Singapore,,AI,1--45---,,1.2899175,103.8519072,true
SG,SCT,Singapore Container Terminal,Singapore Container Terminal,,QQ,1-------,,,,
SG,TAM,Tampines,Tampines,,RL,--34----,,1.3333333333333333,103.93333333333334,
SG,TPG,Tanjong Pagar,Tanjong Pagar,,RQ,1-------,,1.2764189,103.8429295,true
SG,TPN,Tanjong Penjuru,Tanjong Penjuru,,RQ,1-------,,1.3,103.75,true
SG,TAY,Telok Ayer Basin,Telok Ayer Basin,,QQ,1-------,,1.27944,103.85528,true
SG,TGA,Tengah,Tengah,,AI,---4----,,1.3655284,103.7307585,true
SG,TPY,Toa Payoh,Toa Payoh,,RL,--3-----,,1.3333333333333333,103.85,
SG,TUA,Tuas,Tuas,,RL,1-3-----,,1.3166666666666667,103.65,
SG,WES,West Coast Town,West Coast Town,,RQ,-----6--,,1.2833333333333332,103.85,
SG,WDL,Woodlands,Woodlands,,RQ,0-------,,1.436897,103.786216,true
