country,location,name,nameWoDiacritics,subdivision,status,function,iata,lat,lon,geocoded
SI,8SI,Adlesici,Adlesici,017,RL,--3-----,,45.53333333333333,15.316666666666666,
SI,AJD,Ajdovscina,Ajdovscina,,RL,--3-----,,45.88333333333333,13.9,
SI,ANH,Anhovo,Anhovo,,RL,--3-----,,46.0575774,13.6189693,true
SI,AKN,Ankaran,Ankaran,050,RL,--3-----,,45.56666666666667,13.733333333333333,
SI,APA,Apace,Apace,029,RL,--3-----,,46.7,15.916666666666666,
SI,9SI,Artice,Artice,009,RL,--3-----,,45.95,15.583333333333334,
SI,BNG,Begunje na Gorenjskem,Begunje na Gorenjskem,,RL,--3-----,,46.36666666666667,14.2,
SI,LZA,Begunje pri Cerknici,Begunje pri Cerknici,013,RL,--3--6--,,45.81666666666667,14.383333333333333,
SI,BTN,Beltinci,Beltinci,002,RL,--3-----,,46.6,16.233333333333334,
SI,LSI,Benedikt,Benedikt,058,RL,--3-----,,46.6,15.883333333333333,
SI,BIS,Bistrica ob Dravi,Bistrica ob Dravi,108,RL,-----6--,,46.55,15.55,
SI,PD9,Bistrica Ob Sotli,Bistrica Ob Sotli,092,RL,--3-----,,46.05,15.65,
SI,BSI,Bizeljsko,Bizeljsko,009,RL,--3-----,,46,15.683333333333334,
SI,L68,Blagovica,Blagovica,068,RL,--3-----,,46.166666666666664,14.8,
SI,BLE,Bled,Bled,,RL,--3-----,,46.36666666666667,14.1,
SI,BJD,Blejska Dobrava,Blejska Dobrava,,RQ,--3-----,,46.4,14.1,
SI,BLO,Bloke,Bloke,150,RL,--3-----,,45.78333333333333,14.483333333333333,
SI,P97,Bodonci,Bodonci,097,RL,--3-----,,46.733333333333334,16.083333333333332,
SI,M78,Bogojina,Bogojina,080,RL,--3-----,,46.666666666666664,16.283333333333335,
SI,BS3,Bohinjska Bela,Bohinjska Bela,003,RL,--3-----,,46.333333333333336,14.05,
SI,BS4,Bohinjska Bistrica,Bohinjska Bistrica,004,RL,--3-----,,46.266666666666666,13.95,
SI,SI5,Borovnica,Borovnica,005,RL,--3-----,,45.9,14.35,
SI,SEV,Bostanj,Bostanj,110,RL,--3-----,,46,15.266666666666667,
SI,BVC,Bovec,Bovec,,RQ,--3-----,,46.3385847,13.552419,true
SI,S84,Branik,Branik,084,RL,--3-----,,45.85,13.783333333333333,
SI,BRA,Braslovce,Braslovce,190,RL,--3-----,,46.28333333333333,15.033333333333333,
SI,BRD,Brda,Brda,007,RL,--3-----,,45.983333333333334,13.516666666666667,
SI,BPK,Brdo pri Kranju,Brdo pri Kranju,,AI,--3-----,,46.266666666666666,14.366666666666667,
SI,K46,Breginj,Breginj,046,RL,--3-----,,46.25,13.416666666666666,
SI,S54,Brestanica,Brestanica,054,RL,--3-----,,45.983333333333334,15.483333333333333,
SI,BZC,Brezice,Brezice,009,RQ,--3--6--,,45.9,15.583333333333334,
SI,RAD,Brezje,Brezje,102,RL,--3-----,,46.333333333333336,14.233333333333333,
SI,BR8,Brezovica,Brezovica,008,RL,--3-----,,46.03333333333333,14.4,
SI,BRN,Brnik,Brnik,012,RL,--3-----,,46.21666666666667,14.483333333333333,
SI,SK5,Buce,Buce,051,RL,--3-----,,46.1,15.583333333333334,
SI,SK2,Bucka,Bucka,121,RL,--3-----,,45.93333333333333,15.316666666666666,
SI,C52,Cankova,Cankova,152,RL,--3-----,,46.71666666666667,16.016666666666666,
SI,BR9,Catez Ob Savi,Catez Ob Savi,009,RL,--3-----,,45.88333333333333,15.6,
SI,CJE,Celje,Celje,,RL,-23-----,,46.25,15.266666666666667,
SI,N84,Cepovan,Cepovan,084,RL,--3-----,,46.03333333333333,13.783333333333333,
SI,CNG,Cerklje na Gorenjskem,Cerklje na Gorenjskem,012,RL,--3-----,,46.25,14.483333333333333,
SI,SBR,Cerklje Ob Krki,Cerklje Ob Krki,009,RL,--3-----,,45.88333333333333,15.516666666666667,
SI,CKC,Cerknica,Cerknica,013,RL,--3-----,,45.8,14.366666666666667,
SI,CER,Cerkno,Cerkno,014,RL,--3-----,,46.11666666666667,13.983333333333333,
SI,L58,Cerkvenjak,Cerkvenjak,058,RL,--3-----,,46.56666666666667,15.933333333333334,
SI,CSK,Cersak,Cersak,118,RL,-----6--,,46.68333333333333,15.666666666666666,
SI,K45,Cirkovce,Cirkovce,045,RL,--3-----,,46.4,15.75,
SI,CIK,Cirkulane,Cirkulane,196,RL,--3-----,,46.333333333333336,15.983333333333333,
SI,V36,Col,Col,136,RL,--3-----,,45.86666666666667,14,
SI,CR5,Crensovci,Crensovci,015,RL,--3-----,,46.56666666666667,16.283333333333335,
SI,P96,Crna Na Koroskem,Crna Na Koroskem,096,RL,--3-----,,46.46666666666667,15.85,
SI,CRK,Crni Kal,Crni Kal,050,RL,--3-----,,45.55,13.866666666666667,
SI,I36,Crni Vrh,Crni Vrh,036,RL,--3-----,,45.916666666666664,14.033333333333333,
SI,CRE,Crnice,Crnice,,RL,--3-----,,45.916666666666664,13.783333333333333,
SI,LZL,Crnomelj,Crnomelj,017,RL,-----6--,,45.56666666666667,15.183333333333334,
SI,SDE,Dekani,Dekani,050,RL,--3-----,,45.53333333333333,13.8,
SI,DES,Deskle,Deskle,044,RL,--3-----,,46.05,13.616666666666667,
SI,DE8,Destrnik,Destrnik,018,RL,--3-----,,46.5,15.866666666666667,
SI,DVC,Divaca,Divaca,,RL,--3-----,,45.68333333333333,13.966666666666667,
SI,D23,Dob,Dob,023,RL,--3-----,,46.15,14.616666666666667,
SI,DOJ,Dobje (Obcina),Dobje (Obcina),154,RL,--3-----,,46.13333333333333,15.383333333333333,
SI,SNO,Dobje Pri Planini,Dobje Pri Planini,120,RL,--3-----,,46.13333333333333,15.4,
SI,DOB,Dobova,Dobova,009,AA,-23----B,,45.88333333333333,15.666666666666666,
SI,T29,Dobovec,Dobovec,129,RL,--3-----,,46.1,15.05,
SI,DVL,Dobravlje,Dobravlje,111,RL,--3-----,,45.766666666666666,13.866666666666667,
SI,DBJ,Dobrepolje,Dobrepolje,020,RL,--3-----,,45.85,14.7,
SI,DBR,Dobrna,Dobrna,155,RL,--3-----,,46.333333333333336,15.216666666666667,
SI,TR3,Dobrnic,Dobrnic,130,RL,--3-----,,45.86666666666667,14.966666666666667,
SI,DBP,Dobrova-Polhov Gradec,Dobrova-Polhov Gradec,021,RL,--3-----,,46.05,14.3,
SI,L59,Dobrovnik,Dobrovnik,059,RL,--3-----,,46.65,16.35,
SI,DBO,Dobrovo,Dobrovo,007,RL,1----6--,,45.983333333333334,133.25,
SI,LZE,Dol pri Hrastniku,Dol pri Hrastniku,034,RL,-----6--,,46.13333333333333,15.1,
SI,D22,Dol Pri Ljubljani,Dol Pri Ljubljani,022,RL,--3-----,,46.083333333333336,14.6,
SI,LI6,Dole Pri Litiji,Dole Pri Litiji,060,RL,--3-----,,46.03333333333333,15.016666666666667,
SI,DOV,Dolenja Vas,Dolenja Vas,104,RL,--3-----,,45.7,14.75,
SI,N85,Dolenjske Toplice,Dolenjske Toplice,085,RL,--3-----,,45.766666666666666,15.066666666666666,
SI,DOL,Dolnja Kosana,Dolnja Kosana,,RL,-----6--,,45.65,14.116666666666667,
SI,DZE,Domzale,Domzale,,RL,--3-----,,46.1394296,14.5944553,true
SI,D24,Dornava,Dornava,024,RL,--3-----,,46.43333333333333,15.95,
SI,NG8,Dornberk,Dornberk,084,RL,--3-----,,45.88333333333333,13.733333333333333,
SI,L66,Draga,Draga,066,RL,--3-----,,45.63333333333333,14.65,
SI,CR7,Dragatus,Dragatus,017,RL,--3-----,,45.516666666666666,15.166666666666666,
SI,SPC,Dramlje,Dramlje,120,RL,--3-----,,46.266666666666666,15.383333333333333,
SI,D25,Dravograd,Dravograd,025,RL,--3-----,,46.583333333333336,15.016666666666667,
SI,SZN,Dutovlje,Dutovlje,111,RL,--3-----,,45.75,13.816666666666666,
SI,S85,Dvor,Dvor,085,RL,--3-----,,45.8,14.966666666666667,
SI,RS8,Fala,Fala,108,RL,--3-----,,46.53333333333333,15.433333333333334,
SI,SMT,Fokovci,Fokovci,078,RL,--3-----,,46.733333333333334,16.266666666666666,
SI,FRA,Fram,Fram,,RL,--3-----,,46.45,15.616666666666667,
SI,V89,Frankolovo,Frankolovo,139,RL,--3-----,,46.31666666666667,15.3,
SI,GL6,Gabrovka,Gabrovka,060,RL,--3-----,,46.016666666666666,15,
SI,GSH,Gemersk� Horka,Gemerska Horka,,RL,-23--6--,,48.53333333333333,20.383333333333333,
SI,SI3,Godovic,Godovic,036,RL,--3-----,,45.95,14.083333333333334,
SI,K52,Golnik,Golnik,052,RL,--3-----,,46.333333333333336,14.333333333333334,
SI,ZA9,Gomilsko,Gomilsko,190,RL,--3-----,,46.25,15.033333333333333,
SI,GSZ,Gorenja Straza,Gorenja Straza,,RL,-23-----,,45.78333333333333,15.083333333333334,
