country,location,name,nameWoDiacritics,subdivision,status,function,iata,lat,lon,geocoded
SK,AL8,Aleksince,Aleksince,NI,RL,--3-----,,48.36666666666667,17.95,
SK,BCC,Bacuch,Bacuch,BC,RL,--3-----,,48.86666666666667,19.816666666666666,
SK,BAJ,Bajc,Bajc,NI,RL,--3-----,,47.916666666666664,18.216666666666665,
SK,BAK,Baka,Baka,TA,RL,--3-----,,47.9,17.533333333333335,
SK,BNI,Balog nad Ip?om,Balog nad Ip?om,BC,RL,--3-----,,48.06666666666667,19.116666666666667,
SK,BNB,B�novce nad Bebravou,Banovce nad Bebravou,,RL,-23--6--,,48.71666666666667,18.25,
SK,BBY,Bansk� Bystrica,Banska Bystrica,BC,AF,--34----,,48.733333333333334,19.15,
SK,SZN,Banska Stiavnica,Banska Stiavnica,BC,RL,-----6--,,48.45,18.9,
SK,BDV,Bardejov,Bardejov,,AC,-23-----,,49.28333333333333,21.266666666666666,
SK,BTZ,Batizovce,Batizovce,PV,RL,--3-----,,49.083333333333336,20.2,
SK,BEC,Becherov,Becherov,PV,AF,--3----B,,49.4199204,21.3117602,true
SK,BCK,Beckov,Beckov,TA,RL,1-------,,48.785036500000004,17.919726995454546,true
SK,BLA,Bela,Bela,NI,RL,--3-----,,47.833333333333336,18.6,
SK,BNC,Bela Nad Cirochou,Bela Nad Cirochou,PV,RL,--3-----,,48.96666666666667,22.1,
SK,BLD,Beladice,Beladice,NI,RL,--3-----,,48.35,18.3,
SK,BEL,Belusa,Belusa,,RQ,--3-----,,49.06666666666667,18.316666666666666,
SK,BLO,Bernol�kovo,Bernolakovo,BL,RL,--3-----,,48.2,17.3,
SK,BES,Besenova,Besenova,NI,RQ,--3-----,,48.05,18.266666666666666,
SK,BEZ,Bezovce,Bezovce,KI,RL,--3-----,,48.63333333333333,22.15,
SK,6SK,Bidovce,Bidovce,KI,RL,--3-----,,48.733333333333334,21.433333333333334,
SK,BTV,Bitarova,Bitarova,ZI,RL,--3-----,,49.21666666666667,18.666666666666668,
SK,BNT,Bohdanovce nad Trnavou,Bohdanovce nad Trnavou,TA,RL,--3-----,,48.43333333333333,17.55,
SK,BOJ,Bojnice,Bojnice,,RL,--3-----,,48.78333333333333,18.566666666666666,
SK,NOL,Boler�z,Boleraz,,RL,-23-----,,48.45,17.5,
SK,BSC,Bos�ca,Bosaca,,RL,--3--6--,,48.833333333333336,17.833333333333332,
SK,BOS,Bosany,Bosany,,RL,-23-----,,48.583333333333336,18.283333333333335,
SK,BVO,Branovo,Branovo,NI,RL,--3-----,,48.03333333333333,18.3,
SK,BTS,Bratislava,Bratislava,BL,AI,-2345---,,48.15,17.116666666666667,
SK,BAB,Bratislava Port,Bratislava Port,BL,AF,1-------,,48.165064,17.145673,true
SK,BTY,Brestovany,Brestovany,TA,RL,--3-----,,48.38333333333333,17.683333333333334,
SK,BZO,Brezno,Brezno,BC,RL,-23--6--,,48.81666666666667,19.65,
SK,BPB,Brezova pod Bradlom,Brezova pod Bradlom,,RQ,-----6--,,48.666666666666664,17.533333333333335,
SK,BRO,Brodsk�,Brodske,TA,AF,--3----B,,48.6913539,17.0143051,true
SK,8KS,Brzot�n,Brzotin,KI,RL,--3-----,,48.63333333333333,20.5,
SK,BDM,Budmerice,Budmerice,TA,RL,--3-----,,48.36666666666667,17.416666666666668,
SK,SZF,Buzica,Buzica,KI,RL,-----6--,,48.53333333333333,21.066666666666666,
SK,BYS,Bystr�,Bystre,PV,RL,--3-----,,49.016666666666666,21.55,
SK,YRK,Bystricka,Bystricka,,RL,-----6--,,49.05,18.883333333333333,
SK,BCA,Bytca,Bytca,,RL,--3-----,,49.21666666666667,18.566666666666666,
SK,CAB,Cab,Cab,NI,RL,--3--6--,,48.4,17.983333333333334,
SK,CTE,Cachtice,Cachtice,,RQ,--3-----,,48.7,17.783333333333335,
SK,CAD,Cadca,Cadca,ZI,AF,-2-----B,,49.4411497,18.7845252231291,true
SK,CAJ,Cajkov,Cajkov,NI,RL,--3-----,,48.28333333333333,18.6,
SK,CAN,Cana,Cana,KI,AF,-2------,,48.7172272,21.2496774,true
SK,CAS,Cast�,Casta,BL,RL,--3-----,,48.4,17.366666666666667,
SK,CKC,Castkovce,Castkovce,TC,RL,--3-----,,48.68333333333333,17.783333333333335,
SK,CEC,Cecejovce,Cecejovce,KI,RL,--3-----,,48.6,21.066666666666666,
SK,CEL,Ce?adice,Ce?adice,NI,RL,--3-----,,48.333333333333336,18.25,
SK,CEN,Cenkovce,Cenkovce,TA,RL,--3-----,,48.1,17.433333333333334,
SK,CRV,Cerovo,Cerovo,BC,RL,--3-----,,48.25,19.166666666666668,
SK,CER,Certizn�,Certizne,PV,RL,--3-----,,49.35,21.833333333333332,
SK,CEK,Cerveny Kamen,Cerveny Kamen,TC,AF,--3----B,,49.083333333333336,18.183333333333334,
SK,CVG,Chorv�tsky Grob,Chorvatsky Grob,BL,RL,-----6--,,48.21666666666667,17.283333333333335,
SK,CHO,Chot�n,Chotin,NI,RL,--3-----,,47.8,18.233333333333334,
SK,CYY,Chynorany,Chynorany,TC,RL,--3-----,,48.61666666666667,18.283333333333335,
SK,CNT,Cierna nad Tisou,Cierna nad Tisou,KI,AF,-2-----B,,48.418391150000005,22.08191419526444,true
SK,CIE,Cierny,Cierny,TA,RQ,-----6--,,47.88333333333333,17.633333333333333,
SK,CNB,Cierny Brod,Cierny Brod,TA,RL,--3-----,,48.15,17.666666666666668,
SK,SFA,Cifare,Cifare,NI,RL,--3-----,,48.233333333333334,18.4,
SK,CFR,C�fer,Cifer,TA,RL,--3-----,,48.31666666666667,17.5,
SK,COB,Cinobana,Cinobana,BC,RL,--3-----,,48.45,19.65,
SK,DTA,Detva,Detva,,RL,--3-----,,48.5595662,19.4205586,true
SK,BAA,Devinska Nova Ves/Bratislava,Devinska Nova Ves/Bratislava,BL,AF,-2------,,48.22430850000001,16.98413011922154,true
SK,DZR,Dezerice,Dezerice,TC,RL,--3-----,,48.766666666666666,18.216666666666665,
SK,TDN,Diviaky nad Nitricou,Diviaky nad Nitricou,TC,RL,--3-----,,48.766666666666666,18.5,
SK,DBR,Dobr�,Dobra,,AC,-23-----,,48.416666666666664,22.016666666666666,
SK,DOJ,Dojc,Dojc,TA,RL,--3--6--,,48.666666666666664,17.266666666666666,
SK,DOL,Dol'any,Dol'any,BL,RL,--3-----,,48.416666666666664,17.383333333333333,
SK,DNS,Dolna Streda,Dolna Streda,TA,RL,-----6--,,48.266666666666666,17.75,
SK,DOV,Doln� Vestenice,Dolne Vestenice,,RL,--3-----,,48.7,18.383333333333333,
SK,DOK,Dolny Kub�n,Dolny Kubin,ZI,RL,-23-----,,49.2,19.3,
SK,DLV,Doln� Lieskov,Dolny Lieskov,TC,RL,--3-----,,49.05,18.416666666666668,
SK,DOS,Doln� St�l,Dolny Stal,TA,RL,--3--6--,,47.93333333333333,17.716666666666665,
SK,DOM,Domica,Domica,KI,AF,--3----B,,48.47836295,20.470354435628018,true
SK,DVE,Drahovce,Drahovce,TA,RL,--3-----,,48.516666666666666,17.8,
SK,DRC,Drienovec,Drienovec,KI,RL,--3-----,,48.61666666666667,20.95,
SK,DRI,Drietoma,Drietoma,TC,AF,--3----B,,48.8944123,17.9563471,true
SK,DRZ,Drzenice,Drzenice,NI,RL,-----6--,,48.28333333333333,18.7,
SK,SZH,Dubnica,Dubnica,TC,RL,-----6--,,48.8,18.583333333333332,
SK,DNV,Dubnica nad V�hom,Dubnica nad Vahom,,RL,-23-----,,48.96666666666667,18.183333333333334,
SK,DUB,Dubova,Dubova,BL,RL,--3-----,,48.36666666666667,17.333333333333332,
SK,DUE,Ducov�,Ducove,TA,RL,--3-----,,48.61666666666667,17.866666666666667,
SK,SZI,Dulovce,Dulovce,NI,RL,-----6--,,47.86666666666667,18.266666666666666,
SK,DJZ,Dunajska Luzna,Dunajska Luzna,BL,RL,--3-----,,48.083333333333336,-17.266666666666666,
SK,DZJ,Dunajsk� Luzn�,Dunajska Luzna,BL,RL,--3-----,,48.083333333333336,17.266666666666666,
SK,DJA,Dunajsk� Streda,Dunajska Streda,,RL,--3-----,,47.9958371,17.6153028,true
SK,DVO,Dvorniky,Dvorniky,KI,RL,1----6--,,48.6,20.833333333333332,
SK,DZI,Dvory nad Zitavou,Dvory nad Zitavou,,RL,--3-----,,47.983333333333334,18.266666666666666,
SK,FIA,Filakovo,Filakovo,BC,AF,-2------,,48.2701641,19.8222938,true
SK,FNT,Fintice,Fintice,PV,RL,--3-----,,49.05,21.3,
SK,FCE,Fricovce,Fricovce,PV,RL,--3-----,,49.016666666666666,20.966666666666665,
SK,GLT,Galanta,Galanta,TA,RL,123-----,,48.2,17.716666666666665,
SK,GAN,Gan,Gan,TA,RQ,--3-----,,48.233333333333334,17.716666666666665,
SK,GBY,Gbelany,Gbelany,ZI,RL,-----6--,,49.21666666666667,18.85,
SK,GBL,Gbely,Gbely,TA,RL,-----6--,,48.71666666666667,17.133333333333333,
SK,GLA,Gelnica,Gelnica,,RL,-23-----,,48.85,20.933333333333334,
SK,GEM,Gemerska Horka,Gemerska Horka,,RL,--3-----,,48.53333333333333,20.366666666666667,
SK,GIR,Giraltovce,Giraltovce,PV,RL,--3-----,,49.11666666666667,21.516666666666666,
SK,HML,Hamuliakovo,Hamuliakovo,BL,RL,--3-----,,48.03333333333333,17.25,
SK,HLA,Handlova,Handlova,,RQ,--3-----,,48.71666666666667,18.55,
SK,HDL,Handlov�,Handlova,,RL,-23-----,,48.733333333333334,18.766666666666666,
SK,8TK,Haniska,Haniska,KI,RL,--3-----,,48.61666666666667,21.25,
SK,HKS,Haniska pri Kosiciach,Haniska pri Kosiciach,,AC,--3-----,,,,
SK,HNT,Hanusovce nad Topl'ou,Hanusovce nad Topl'ou,PV,RL,-----6--,,49.03333333333333,21.5,
SK,HAR,Harichovce,Harichovce,,RL,--3-----,,48.96666666666667,20.583333333333332,
SK,NEC,Harmanec,Harmanec,BC,RL,-23-----,,48.81666666666667,19.05,
SK,HCV,Hencovce,Hencovce,PV,RL,--3-----,,48.88333333333333,21.733333333333334,
SK,HNH,Hlin�k nad Hronom,Hlinik nad Hronom,BC,RL,--3-----,,48.55,18.783333333333335,
SK,HLO,Hlohovec,Hlohovec,TA,RL,-23-----,,48.416666666666664,17.8,
SK,HZD,Hniezdne,Hniezdne,PV,RL,--3--6--,,49.3,20.633333333333333,
SK,SZK,Hn�sta,Hnusta,BC,RL,-----6--,,48.583333333333336,19.966666666666665,
SK,HRS,Hodrusa,Hodrusa,BC,RL,-----6--,,48.46666666666667,18.816666666666666,
SK,HOL,Hol�c,Holic,TA,AF,-23----B,,48.8,17.166666666666668,
SK,HOE,Holice,Holice,TA,RL,--3-----,,47.983333333333334,17.483333333333334,
SK,8EB,Hontianske Tes�re,Hontianske Tesare,BC,RL,--3-----,,48.2,18.916666666666668,
SK,HOK,Horn� Kr�?ov�,Horna Kra?ova,NI,RL,--3-----,,48.233333333333334,17.916666666666668,
SK,HST,Horna Streda,Horna Streda,,RQ,--3-----,,48.666666666666664,17.85,
SK,HSM,Horn� Srnie,Horne Srnie,TC,AF,--3----B,,48.9916169,18.1019375,true
SK,SZL,Horn� Hricov,Horny Hricov,ZI,RL,-----6--,,49.25,18.666666666666668,
SK,HOR,Horovce,Horovce,,RQ,-----6--,,49.15,18.25,
SK,HOS,Hostovce,Hostovce,KI,AF,--3----B,,48.5714757,20.8551192,true
SK,HRV,Hradiste pod Vr�tnom,Hradiste pod Vratnom,TA,RL,--3-----,,48.63333333333333,17.5,
SK,HHA,Hranicn�,Hranicne,,RL,--3-----,,49.36666666666667,20.716666666666665,
SK,HRI,Hricov,Hricov,ZI,AF,---4---B,,49.23339405,18.614345279639384,true
SK,HNA,Hrinov�,Hrinova,,RL,--3-----,,48.583333333333336,19.533333333333335,
SK,HRN,Hrnciarovce nad Parnou,Hrnciarovce nad Parnou,TA,RL,-23--6--,,48.35,17.566666666666666,
SK,HDU,Hronska Dubrava,Hronska Dubrava,BC,RL,--3-----,,48.583333333333336,19,
SK,HUL,Hul,Hul,NI,RQ,--3-----,,48.1,18.266666666666666,
SK,HNE,Humenn�,Humenne,,AC,-23--6--,,48.916666666666664,21.9,
SK,HBV,Hurbanova Ves,Hurbanova Ves,,RL,--3-----,,48.15,17.4,
SK,HBO,Hurbanovo,Hurbanovo,NI,RL,--3-----,,47.86666666666667,18.183333333333334,
SK,ILV,Ilava,Ilava,,AC,-23--6--,,49,18.216666666666665,
SK,PEL,Ipe?sk� Sokolec,Ipe?sky Sokolec,NI,RL,--3-----,,48.016666666666666,18.816666666666666,
SK,SZC,Istebn�,Istebne,ZI,RL,-----6--,,49.21666666666667,19.216666666666665,
SK,IVA,Ivanka pri Dunaji,Ivanka pri Dunaji,BL,RL,-----6--,,48.18333333333333,17.266666666666666,
SK,IPN,Ivanka pri Nitre,Ivanka pri Nitre,NI,RL,--3-----,,48.233333333333334,18.116666666666667,
SK,SZP,Jablonica,Jablonica,TA,RL,-----6--,,48.6,17.416666666666668,
SK,JNT,Jablonov nad Turnou,Jablonov nad Turnou,,AC,--3-----,,48.583333333333336,20.666666666666668,
SK,JLO,Jablonov�,Jablonove,BL,RL,--3-----,,48.35,17.1,
SK,SZO,Jahodna,Jahodna,TA,RL,-----6--,,48.05,17.7,
SK,JAR,Jarovce,Jarovce,BL,AF,--3----B,,48.0613965,17.10227165493854,true
SK,JAS,Jasenica,Jasenica,,RL,--3-----,,49.18333333333333,18.45,
SK,JBE,Jaslovsk� Bohunice,Jaslovske Bohunice,TA,RL,--3-----,,48.46666666666667,17.65,
SK,JOS,Jasov,Jasov,KI,RL,--3-----,,48.68333333333333,20.983333333333334,
SK,JAO,Jasova,Jasova,NI,RL,--3-----,,47.983333333333334,-18.4,
SK,JSV,Jasov�,Jasova,NI,RL,--3-----,,47.983333333333334,18.4,
SK,JAV,Javorina,Javorina,PV,AF,--3-----,,49.266666666666666,20.15,
SK,JKA,Jelka,Jelka,TA,RL,--3-----,,48.15,17.516666666666666,
SK,JJJ,Jelsava,Jelsava,BC,RL,-23-----,,48.63333333333333,20.233333333333334,
SK,JSK,Jesensk�,Jesenske,,AC,-23--6--,,48.166666666666664,18.416666666666668,
SK,JRV,Jurova,Jurova,TA,AM,--3-----,,47.93333333333333,17.516666666666666,
SK,KA2,Kalinkovo,Kalinkovo,BL,RL,--3-----,,48.06666666666667,17.25,
SK,KNH,Kaln� nad Hronom,Kalna nad Hronom,NI,RL,--3-----,,48.2,18.516666666666666,
SK,KAL,Kalonda,Kalonda,BC,AF,--3----B,,48.255938400000005,19.657354215188263,true
SK,KNC,Kamenica nad Cirochou,Kamenica nad Cirochou,PV,RL,--3-----,,48.93333333333333,22,
SK,KSY,Kapusany,Kapusany,PV,RL,-23-----,,49.05,21.333333333333332,
SK,KHU,Katarinska Huta,Katarinska Huta,,RQ,--3-----,,48.45,19.616666666666667,
SK,KHC,Kechnec,Kechnec,KI,RL,-23--6--,,48.55,21.266666666666666,
SK,KZK,Kezmarok,Kezmarok,,AC,--3-----,,49.13333333333333,20.416666666666668,
SK,KLO,Klokocov,Klokocov,ZI,AF,--3----B,,48.815957350000005,22.031904789029568,true
SK,KOC,Kocovce,Kocovce,,RL,--3-----,,48.75,17.883333333333333,
SK,KAO,Kol�rovo,Kolarovo,NI,RL,123-----,,47.9,17.983333333333334,
SK,KNA,Komarno,Komarno,NI,AF,-23-----,,47.792444149999994,18.13349312192478,true
SK,KNP,Komarno Port,Komarno Port,NI,AF,1-------,,48.57836,19.59634,true
SK,KOM,Komjatice,Komjatice,NI,RL,--3-----,,48.15,18.183333333333334,
SK,KRM,Koromla,Koromla,,AC,--3-----,,48.7,22.283333333333335,
SK,KTK,Kos,Kos,TC,RL,--3-----,,48.75,18.583333333333332,
SK,KOS,Koseca,Koseca,TC,RL,--3-----,,49.016666666666666,18.266666666666666,
SK,KSC,Kosice,Kosice,KI,AF,-2345---,,48.71666666666667,21.25,
SK,KNT,Kostany nad Turcom,Kostany nad Turcom,ZI,RL,--3-----,,49.03333333333333,18.9,
SK,KSK,Kostoln� Kracany,Kostolne Kracany,TA,RL,--3-----,,47.96666666666667,17.583333333333332,
SK,KOV,Kovarce,Kovarce,NI,RL,--3-----,,48.5,18.166666666666668,
SK,KRC,Kozarovce,Kozarovce,NI,RL,--3-----,,48.31666666666667,18.533333333333335,
SK,KKV,Krakovany,Krakovany,TA,RL,--3-----,,48.61666666666667,17.766666666666666,
SK,KRA,Kral,Kral,BC,AF,--3----B,,48.3460372,20.368350960750917,true
SK,KNN,Kr�lov� nad V�hom,Kralova nad Vahom,NI,RL,--3-----,,48.166666666666664,17.85,
SK,SZQ,Kralovsky Chlmec,Kralovsky Chlmec,KI,RL,-----6--,,48.416666666666664,21.983333333333334,
SK,FD3,Kr�sno,Krasno,TC,RL,1-3-----,,48.6,18.316666666666666,
SK,KKU,Kr�sno nad Kysucou,Krasno nad Kysucou,ZI,RL,--3-----,,49.38333333333333,18.833333333333332,
SK,SZR,Kremnica,Kremnica,BC,RL,-----6--,,48.7,18.916666666666668,
SK,KRV,Kriv�n,Krivan,,RL,-23-----,,48.53333333333333,19.433333333333334,
SK,KRY,Kr�zovany,Krizovany,,RL,--3-----,,48.983333333333334,21.05,
SK,KDV,Kr�zovany nad Dudv�hom,Krizovany nad Dudvahom,,RL,--3--6--,,48.333333333333336,17.666666666666668,
SK,SKO,Krnca,Krnca,NI,RL,--3-----,,48.55,18.25,
SK,KPY,Krompachy,Krompachy,,RL,-23--6--,,48.916666666666664,20.866666666666667,
SK,KRU,Krupina,Krupina,,RL,-23-----,,48.35,19.066666666666666,
SK,KUR,Krusovce,Krusovce,NI,RL,-----6--,,48.583333333333336,18.2,
SK,KKO,Kuklov,Kuklov,TA,RL,--3-----,,48.63333333333333,17.083333333333332,
SK,KKY,K�tniky,Kutniky,TA,RL,--3-----,,47.96666666666667,17.666666666666668,
SK,KUT,K�ty,Kuty,TA,AF,-23----B,,48.666666666666664,17.016666666666666,
SK,KVE,Kvetoslavov,Kvetoslavov,TA,RL,1----6--,,48.05,17.35,
SK,KNM,Kysuck� Nov� Mesto,Kysucke Nove Mesto,,RL,--3-----,,49.3,18.783333333333335,
SK,LAD,Lada,Lada,PV,RL,--3-----,,49.05,21.366666666666667,
SK,LAV,Ladomerska Vieska,Ladomerska Vieska,BC,RL,--3-----,,48.56666666666667,18.866666666666667,
SK,LAS,Laskar,Laskar,,RL,-----6--,,48.733333333333334,18.566666666666666,
SK,LU8,Lazy pod Makytou,Lazy pod Makytou,TC,RL,--3-----,,49.233333333333334,18.233333333333334,
SK,LNR,Lednick� Rovn�,Lednicke Rovne,,RL,--3-----,,49.06666666666667,18.283333333333335,
SK,LEH,Lehota,Lehota,TA,RL,--3-----,,48.31666666666667,18,
SK,LPV,Lehota Pod Vtacnikom,Lehota Pod Vtacnikom,TC,RL,--3-----,,48.68333333333333,18.6,
SK,LPB,Lehotka Pod Brehmi,Lehotka Pod Brehmi,BC,RL,--3-----,,48.53333333333333,18.8,
SK,LEN,Lenartovce,Lenartovce,BC,AF,-2------,,48.301394450000004,20.306256601638037,true
SK,LEO,Leopoldov,Leopoldov,TA,RL,--3-----,,48.45,17.766666666666666,
SK,LVE,Levice,Levice,,AC,-23-----,,48.21666666666667,18.6,
SK,VOA,Levoca,Levoca,PV,RL,-----6--,,49.03333333333333,20.6,
SK,LIC,Licartovce,Licartovce,PV,RL,--3-----,,48.88333333333333,21.25,
SK,LLA,Lietavska Lucka,Lietavska Lucka,ZI,RQ,-----6--,,49.166666666666664,18.716666666666665,
SK,LIA,Likavka,Likavka,ZI,RL,--3-----,,49.1,19.316666666666666,
SK,LIP,Lipany,Lipany,PV,RL,-----6--,,49.15,20.966666666666665,
SK,RUV,Liptovsk� Rev�ce,Liptovske Revuce,ZI,RL,--3-----,,48.93333333333333,19.2,
SK,SZS,Liptovsky Hradok,Liptovsky Hradok,ZI,RL,-----6--,,49.03333333333333,19.733333333333334,
SK,LPJ,Liptovsky J�n,Liptovsky Jan,ZI,RL,--3-----,,49.05,19.683333333333334,
SK,LIM,Liptovsky Mikul�s,Liptovsky Mikulas,,RL,--3-----,,49.083333333333336,19.616666666666667,
SK,LSK,Liskov�,Liskova,ZI,RL,--3-----,,49.083333333333336,19.35,
SK,LOV,Lovinobana,Lovinobana,BC,RL,--3-----,,48.43333333333333,19.6,
SK,LZO,Lozorno,Lozorno,,RL,-23-----,,48.333333333333336,17.05,
SK,LUB,Luben�k,Lubenik,BC,RL,-23-----,,48.666666666666664,20.2,
SK,LBT,Lubotice,Lubotice,PV,RL,-----6--,,49.016666666666666,21.283333333333335,
SK,LUE,Lucenec,Lucenec,,AI,---4----,,49.03231,19.0564974,true
SK,LCY,L�cky,Lucky,KI,RL,-----6--,,48.766666666666666,22.05,
SK,LUK,L�ka,Luka,TC,RL,--3-----,,48.666666666666664,17.883333333333333,
SK,LMH,Luky p Makytou-Horni Lid�c,Luky p Makytou-Horni Lidec,TC,AF,-2-----B,,49.225302,18.213338,true
SK,LUZ,Luzianky,Luzianky,NI,RL,--3-----,,48.333333333333336,18.05,
SK,LYD,Lys� nad Dunajcom,Lysa nad Dunajcom,PV,AF,--3----B,,49.4,20.333333333333332,
