country,location,name,nameWoDiacritics,subdivision,status,function,iata,lat,lon,geocoded
SL,KBS,Bo,Bo,,AI,---4----,,,,
SL,BTE,Bonthe,Bonthe,,AI,1--4----,,7.533424950000001,-12.519382471782595,true
SL,DSL,Daru,Daru,,AI,---4----,,7.991518,-10.845919,true
SL,FNA,Freetown,Freetown,,AI,1--45---,,8.479004,-13.26795,true
SL,GBK,Gbangbatok,Gbangbatok,,AI,---4----,,7.81271795,-12.377632906257602,true
SL,HGS,Hastings Apt/Freetown,Hastings Apt/Freetown,W,AI,--34----,,8.366666666666667,-13.133333333333333,
SL,KBA,Kabala,Kabala,,AI,---4----,,9.25233,-11.4550786,true
SL,KEN,Kenema,Kenema,,AI,---4----,,7.89635595,-11.17400539707163,true
SL,KSY,Kissy,Kissy,W,AM,1-3--6--,,8.466666666666667,-13.183333333333334,
SL,MUT,Muta,Muta,,RQ,--3-----,,7.62544,-13.04591,true
SL,NIT,Nitti,Nitti,,QQ,1-------,,7.7714274,-12.3928678,true
SL,PEP,Pepel,Pepel,,QQ,1-------,,8.586721,-13.055305,true
SL,SBO,Sherbro,Sherbro,,QQ,1-------,,8.3206857,-13.0103449,true
SL,SRK,Sierra Leone Apt,Sierra Leone Apt,,RQ,---4----,,7.89635595,-11.17400539707163,true
SL,WYE,Yengema Apt,Yengema Apt,E,RL,--34----,,8.616666666666667,-11.05,
