country,location,name,nameWoDiacritics,subdivision,status,function,iata,lat,lon,geocoded
SM,ZAC,Acquaviva,Acquaviva,01,RL,--3--6--,,43.95,12.416666666666666,
SM,BMG,Borgo Maggiore,Borgo Maggiore,,RQ,--3-----,,43.93333333333333,12.433333333333334,
SM,CHV,Chiesanuova,Chiesanuova,02,RL,--3-----,,43.9,12.416666666666666,
SM,DGN,Dogana,Dogana,09,RL,--3-----,,43.96666666666667,12.483333333333333,
SM,DSS,Domagnano,Domagnano,,RL,--3-----,,43.95,12.466666666666667,
SM,FAE,Faetano,Faetano,07,RL,--3-----,,43.916666666666664,12.483333333333333,
SM,FCO,Falciano,Falciano,07,RL,--3-----,,43.983333333333334,12.5,
SM,GAL,Galazzano,Galazzano,09,RL,--3-----,,43.9776481,12.4786531,true
SM,AQ8,Gualdicciolo,Gualdicciolo,01,RL,1-3-----,,43.95,12.4,
SM,RVT,Rovereta,Rovereta,09,RL,--3-----,,43.983333333333334,12.5,
SM,SAI,San Marino,San Marino,,AI,---4----,,43.9363996,12.4466991,true
SM,SRV,Serravalle,Serravalle,07,RL,--3-----,,43.95,12.5,
