country,location,name,nameWoDiacritics,subdivision,status,function,iata,lat,lon,geocoded
SN,BXE,Bakel,Bakel,,AI,---4----,,14.9049666,-12.4568066,true
SN,DSS,Blaise Diagne International Airport,Blaise Diagne International Airport,TH,RL,--34----,,14.633333333333333,-17.083333333333332,
SN,CSK,Cap Skiring,Cap Skiring,ZG,AI,---4----,,12.383333333333333,-16.75,
SN,DAG,Dagana,Dagana,,RL,--3-----,,16.5,-15.5,
SN,DKR,Dakar,Dakar,,AI,1--45---,,14.7371339,-17.482711775122496,true
SN,DUR,Diourbel,Diourbel,DB,RL,--3-----,,14.65,-16.383333333333333,
SN,FOU,Foundiougne,Foundiougne,,RQ,1-------,,14.1263545,-16.4674807,true
SN,KAH,Kahone,Kahone,FK,RL,--3-----,,14.15,-16.033333333333335,
SN,KLC,Kaolack,Kaolack,,AI,1--4----,,14.15085255,-16.047903896394445,true
SN,KKY,Kayar,Kayar,TH,RL,--3-----,,14.916666666666666,-17.116666666666667,
SN,KGG,Kedougou,Kedougou,,AI,---4----,,12.5723579,-12.22004179999755,true
SN,KID,Kidira,Kidira,TC,RL,--3-----,,14.4,-12.25,
SN,KDA,Kolda,Kolda,,AI,---4----,,12.8989844,-14.96736663625622,true
SN,LOU,Louga,Louga,,RQ,--3-----,,15.6,-16.233333333333334,
SN,LYN,Lyndiane,Lyndiane,,RQ,1-------,,14.183489,-16.139084,true
SN,MGS,Madina Gounass,Madina Gounass,KD,RL,--3-----,,13.133333333333333,-13.75,
SN,MAX,Matam,Matam,,AI,---4----,,15.656563,-13.255916,true
SN,MBA,M'bao Terminal,M'bao Terminal,,RQ,1-------,,14.83333,-16.46667,true
SN,MBO,Mbour,Mbour,,RQ,--3-----,,14.416666666666666,-16.95,
SN,NIK,Niokolo Koba,Niokolo Koba,,AI,---4----,,13.075624600000001,-12.938837357932435,true
SN,POD,Podor,Podor,,AI,---4----,,16.652705,-14.958669,true
SN,RDT,Richard Toll,Richard Toll,,AI,---4----,,16.466294,-15.688449,true
SN,RQ2,Rufisque,Rufisque,DK,RL,--3-----,,14.7,-17.266666666666666,
SN,XLS,Saint Louis,Saint Louis,SL,AI,1--4----,,16.033333333333335,-16.5,
SN,SMY,Simenti,Simenti,,AI,---4----,,13.0479565,-13.294689288873016,true
SN,SKN,Sokone,Sokone,FK,RL,--3-----,,13.883333333333333,-16.366666666666667,
SN,TBN,Ta�ba Ndiaye,Taiba Ndiaye,TH,RL,--3-----,,15.05,-16.883333333333333,
SN,TUD,Tambacounda,Tambacounda,,AI,---4----,,13.735393550000001,-13.654784242248777,true
SN,THI,Thi�s,Thies,,RL,-23-----,,14.8,-16.933333333333334,
SN,TOU,Touba,Touba,DB,RL,--3-----,,14.85,-15.883333333333333,
SN,YDK,Yof,Yof,DK,RL,--3-----,,14.75,-17.466666666666665,
SN,ZIG,Ziguinchor,Ziguinchor,,AI,1--4----,,12.5565254,-16.279064912966568,true
