country,location,name,nameWoDiacritics,subdivision,status,function,iata,lat,lon,geocoded
SO,ALU,Alula,Alula,,AI,---4----,,11.9590445,50.7496806,true
SO,BIB,Baidoa,Baidoa,,AI,---4----,,3.1035313,43.628709445500675,true
SO,BSY,Bardera,Bardera,,AI,---4----,,2.3328283,42.3094194,true
SO,BBO,Berbera,Berbera,,AI,1--4----,,10.4386215,45.0134007,true
SO,BXX,Borama,Borama,,AI,---4----,,9.9413702,43.155605,true
SO,BSA,Bossaso,Bossaso,,AI,---4----,,11.27785595,49.14297437277535,true
SO,BUO,Burao,Burao,,AI,---4----,,9.53274455,45.559739315002815,true
SO,CXN,Candala,Candala,,AI,---4----,,11.4957059,49.9105124,true
SO,DAN,Dante (Ras Hafun),Dante (Ras Hafun),,RQ,0-------,,,,
SO,DH9,Dhoobleey,Dhoobleey,JH,RL,--3-----,,2.5,42.31666666666667,
SO,DOW,Doolow,Doolow,GE,RL,--3-----,,4.166666666666667,42.083333333333336,
SO,HCM,Eil,Eil,,AI,---4----,,10.5416282,45.2003612,true
SO,ELM,El Maan,El Maan,,RQ,1-3-----,,2.1666666666666665,45.6,
SO,ERA,Erigavo,Erigavo,,AI,---4----,,10.6420505,47.3879814,true
SO,GAA,Gaalkacyo,Gaalkacyo,MU,RL,--3-----,,6.783333333333333,47.43333333333333,
SO,GLK,Galcaio,Galcaio,,AI,---4----,,6.78127025,47.45290784239732,true
SO,GRC,Garacad,Garacad,MU,RQ,1-3-----,,6.933333333333334,49.31666666666667,
SO,GBM,Garbaharey,Garbaharey,,AI,---4----,,3.3226676,42.2127663,true
SO,GSR,Gardo,Gardo,,AI,---4----,,2.6727205,43.9261749,true
SO,GGR,Garoe,Garoe,,AI,---4----,,8.406143,48.483195,true
SO,GHR,Giohar,Giohar,,RL,1-3-----,,2.7666666666666666,45.516666666666666,
SO,HGA,Hargeisa,Hargeisa,,AI,---4----,,9.561733,44.061803,true
SO,KMU,Kismayu,Kismayu,,AI,1--4----,,,,
SO,LKR,Las Khoreh,Las Khoreh,,AI,---4----,,11.1707986,48.2080558,true
SO,LGX,Lugh Ganane,Lugh Ganane,,AI,---4----,,,,
SO,MER,Merca,Merca,,QQ,1-------,,1.7148358,44.7699326,true
SO,MGQ,Mogadishu,Mogadishu,,AI,1--45---,,2.0140883,45.30403425603224,true
SO,CMO,Obbia,Obbia,,AI,---4----,,5.358218900000001,48.51558635890029,true
SO,CMS,Scusciuban,Scusciuban,,AI,---4----,,10.3138392,50.2032001,true
