country,location,name,nameWoDiacritics,subdivision,status,function,iata,lat,lon,geocoded
SR,ABN,Albina,Albina,,AI,1--4----,,5.513014,-54.05013387320306,true
SR,AAJ,Awaradam,Awaradam,,AI,---4----,,,,
SR,BTO,Botopasie,Botopasie,,AI,---4----,,,,
SR,BKP,Brokopondo,Brokopondo,BR,RL,--3-----,,5.066666666666666,-54.96666666666667,
SR,DOE,Djoemoe,Djoemoe,,AI,---4----,,4.0133937,-55.4727819,true
SR,DRJ,Drietabbetje,Drietabbetje,,AI,---4----,,4.1114213,-54.67278080115999,true
SR,HTT,Houttuin,Houttuin,WA,RL,--3-----,,5.733333333333333,-55.166666666666664,
SR,JKB,Jarikaba,Jarikaba,SA,RL,--3-----,,5.783333333333333,-55.43333333333333,
SR,KCB,Kasikasima,Kasikasima,,AI,---4----,,2.9812703,-55.4086232,true
SR,KAT,Kwatta,Kwatta,,RL,-----6--,,5.816666666666666,-55.25,
SR,LDO,Ladouanie,Ladouanie,,AI,---4----,,4.3778882,-55.4025335,true
SR,LLW,Lelydorp,Lelydorp,WA,RL,12---6--,,5.7,-55.233333333333334,
SR,MZG,Meerzorg,Meerzorg,CM,RL,--3-----,,5.816666666666666,-55.15,
SR,MOJ,Moengo,Moengo,,AI,1--4----,,5.6077017,-54.400002037059494,true
SR,NAM,Nieuw Amsterdam,Nieuw Amsterdam,CM,RL,--3-----,,5.883333333333333,-55.083333333333336,
SR,ICK,Nieuw Nickerie,Nieuw Nickerie,,AI,1--4----,,5.9420605,-56.9893521,true
SR,OEM,Paloemeu,Paloemeu,,AI,---4----,,3.3444506,-55.446192118676834,true
SR,PBM,Paramaribo,Paramaribo,,AI,1--45---,,5.8111098,-55.19112768743059,true
SR,ORG,Paramaribo Zorg en Hoop Airport,Paramaribo Zorg en Hoop Airport,PR,RL,---4----,,5.8,-55.18333333333333,
SR,PRM,Paranam,Paranam,,AI,1-------,,5.6106787,-55.0926342,true
SR,SPO,Saramacca Polder,Saramacca Polder,WA,RL,--3-----,,5.816666666666666,-55.25,
SR,SMA,Smalkalden,Smalkalden,,AI,1-------,,5.61103,-55.09708,true
SR,SMZ,Stoelmans Eiland,Stoelmans Eiland,,AI,---4----,,4.3500591,-54.41691100927227,true
SR,TOT,Totness,Totness,,AI,---4----,,5.8656299,-56.32703014643889,true
SR,AGI,Wageningen,Wageningen,,AI,1--4----,,5.7710604,-56.6876895,true
SR,WSO,Washabo,Washabo,,AI,---4----,,5.21561655,-57.18541404778716,true
SR,ZDJ,Zanderij,Zanderij,,RL,--3-----,,5.45,-55.18333333333333,
