country,location,name,nameWoDiacritics,subdivision,status,function,iata,lat,lon
SS,AWE,Aweil,Aweil,BN,RL,--3-----,,8.766666666666667,27.383333333333333
SS,BEN,Bentiu Town,Bentiu Town,UY,RL,--3-----,,9.266666666666667,29.783333333333335
SS,BOM,Boma,Boma,JG,RL,--3-----,,6.166666666666667,34.46666666666667
SS,BOR,Bor,Bor,JG,RL,--3-----,,7.666666666666667,33.63333333333333
SS,JUB,Juba,Juba,EC,AI,--34----,,4.85,31.616666666666667
SS,KAJ,Kajo Keji,Kajo Keji,EC,RL,--3-----,,3.8333333333333335,31.65
SS,KYA,Kaya,Kaya,EC,RL,--3-----,,3.55,30.866666666666667
SS,MAK,Malakal,Malakal,NU,AI,--34----,,9.533333333333333,31.65
SS,NIM,Nimule,Nimule,EE,RL,--3-----,,3.6,32.05
SS,RAG,Raga,Raga,BW,RL,--3-----,,8.45,25.666666666666668
SS,RBK,Rumbek,Rumbek,LK,RL,--3-----,,6.8,29.7
SS,RUM,Rumbek,Rumbek,LK,RL,--3-----,,6.8,29.683333333333334
SS,TON,Tonj,Tonj,WR,RL,--3-----,,7.266666666666667,28.75
SS,TOR,Torit,Torit,EE,RL,--3-----,,4.4,32.56666666666667
SS,WAP,Warrap,Warrap,WR,RL,--3-----,,8,28.85
SS,WUU,Wau,Wau,BW,RL,--34----,,7.7,28
SS,YAM,Yambio,Yambio,EW,RL,--3-----,,4.566666666666666,28.383333333333333
SS,YID,Yida,Yida,UY,AM,--34----,,10.1,30.083333333333332
