country,location,name,nameWoDiacritics,subdivision,status,function,iata,lat,lon,geocoded
ST,ANG,Angolares,Angolares,,AI,----5---,,0.15674745,6.63989896044526,true
ST,GUA,Guadalupe,Guadalupe,,AI,----5---,,0.3657242,6.619021412291871,true
ST,MAD,Madalena,Madalena,,AI,----5---,,0.329305,6.6653126,true
ST,NEV,Neves,Neves,,AI,----5---,,0.3587812,6.5524561,true
ST,PGP,Porto Alegre,Porto Alegre,,AI,---4----,,0.0343796,6.5352131,true
ST,PCP,Principe,Principe,,AI,1--4----,,1.6619989,7.41126487159507,true
ST,RIA,Ribeira Afonso,Ribeira Afonso,,AI,----5---,,0.1957815,6.7006967,true
ST,STA,Santana,Santana,,AI,----5---,,0.2572249,6.7428137,true
ST,SAM,Santo Amaro,Santo Amaro,,AI,----5---,,0.366728,6.6897601,true
ST,SAA,Santo Antonio,Santo Antonio,,RQ,1-------,,1.6381528,7.4197765,true
ST,TMS,Sao Tome Island,Sao Tome Island,,AI,1--45---,,0.37739915,6.714885303492647,true
ST,SOK,Stormskaer,Stormskaer,,RQ,0-------,,,,
ST,TRI,Trindade,Trindade,,AI,----5---,,0.29691,6.6811074,true
