country,location,name,nameWoDiacritics,subdivision,status,function,iata,lat,lon,geocoded
SV,AQJ,Acajutla,Acajutla,,AI,1-3-----,,13.5897967,-89.8297601,true
SV,EZA,Aguilares,Aguilares,SS,RL,-----6--,,13.95,-89.18333333333334,
SV,ACN,Ahuachap�n,Ahuachapan,,RL,--3-----,,13.916666666666666,-89.85,
SV,CUS,Antiguo Cuscatl�n,Antiguo Cuscatlan,LI,RL,--3--6--,,13.666666666666666,-89.23333333333333,
SV,APO,Apopa,Apopa,SS,RL,1----6--,,13.8,-89.16666666666667,
SV,SSO,Armenia,Armenia,SO,RL,1----6--,,13.733333333333333,89.48333333333333,
SV,ATE,Ateos,Ateos,LI,RL,--3-----,,13.733333333333333,-89.43333333333334,
SV,AYE,Ayutuxtepeque,Ayutuxtepeque,SS,RL,-23-----,,13.733333333333333,-89.2,
SV,BEL,Belfast,Belfast,SM,RL,1----6--,,,,
SV,BER,Berlin,Berlin,,RQ,--3-----,,13.5,-88.53333333333333,
SV,CSC,Cara Sucia,Cara Sucia,,RL,--3-----,,13.783333333333333,-90.03333333333333,
SV,CNG,Chalatenango,Chalatenango,,RL,--3-----,,14.033333333333333,-88.93333333333334,
SV,CHA,Chalchuapa,Chalchuapa,AH,RL,--3-----,,13.983333333333333,-89.66666666666667,
SV,CHQ,Chapeltique,Chapeltique,SM,RL,--3-----,,13.633333333333333,-88.26666666666667,
SV,CHM,Chinameca,Chinameca,SM,RL,-----6--,,13.5,-88.35,
SV,CAR,Ciudad Arce,Ciudad Arce,SA,RL,--3-----,,13.833333333333334,-89.43333333333334,
SV,CIB,Ciudad Barrios,Ciudad Barrios,SM,RL,--3-----,,13.766666666666667,-88.26666666666667,
SV,CJP,Cojutepeque,Cojutepeque,CU,RL,--3-----,,13.716666666666667,-88.93333333333334,
SV,COL,Col�n,Colon,LI,RL,--3-----,,13.716666666666667,-89.36666666666666,
SV,CPL,Comalapa,Comalapa,CH,RL,--3-----,,14.133333333333333,-88.95,
SV,EZB,Cutuco,Cutuco,,RL,-----6--,,13.316666666666666,-87.81666666666666,
SV,DEL,Delgado,Delgado,SS,RL,--3-----,,13.716666666666667,-89.16666666666667,
