country,location,name,nameWoDiacritics,subdivision,status,function,iata,lat,lon,geocoded
SY,ALD,Al Ladhiqiyah,Al Ladhiqiyah,,RL,123-----,,35.516666666666666,35.78333333333333,
SY,SOR,Al Thaurah,Al Thaurah,,AI,---4----,,33.12594,35.82461,true
SY,ALP,Aleppo (Alep),Aleppo (Alep),,AI,---45---,,36.18102505,37.22428831469941,true
SY,ARW,Arwad,Arwad,TA,AI,1-3-----,,34.85,35.85,
SY,BEN,Banghazi,Banghazi,,RL,1-3-----,,32.11666666666667,20.066666666666666,
SY,BAN,Baniyas,Baniyas,TA,RL,1-3-----,,35.18333333333333,35.95,
SY,DAM,Damascus (Damas),Damascus (Damas),,AI,1--45---,,33.5130695,36.3095814,true
SY,DEZ,Deirezzor,Deirezzor,,AI,---4----,,,,
SY,QDR,Dera'a,Dera'a,,AI,---45---,,36.6617451,36.8433139,true
SY,QHM,Hama,Hama,,RQ,0-------,,35.1343368,36.7496276,true
SY,HMS,Homs,Homs,HI,RL,-23-----,QHS,34.733333333333334,36.71666666666667,
SY,KAC,Kameshli,Kameshli,,AI,---4----,,,,
SY,LTK,Latakia,Latakia,,AI,1--4----,,35.516666666666666,35.78333333333333,
SY,PMS,Palmyra,Palmyra,,AI,---4----,,34.559562549999995,38.315945131723126,true
SY,QSW,Sweida,Sweida,,AI,---4----,,32.77055,36.877633454255,true
SY,TTS,Tartus,Tartus,TA,RL,1-3-----,,34.9,35.9,
SY,TAO,Tartus Oil Terminal,Tartus Oil Terminal,TA,RQ,1-------,,34.96666666666667,35.88333333333333,
SY,WST,Wasit,Wasit,,RQ,0-------,,35.6628926,36.3438678,true
SY,YBD,Yabrud,Yabrud,RD,RL,--3-----,,33.96666666666667,36.65,
