country,location,name,nameWoDiacritics,subdivision,status,function,iata,lat,lon,geocoded
SZ,AGN,Agno,Agno,,RL,-----6--,,45.983333333333334,8.85,
SZ,EPA,Epagny,Epagny,,RQ,-----6--,,46.96666666666667,7.133333333333334,
SZ,EZU,Ezulwini,Ezulwini,HH,RL,-----6--,,-26.4,31.166666666666668,
SZ,SHO,King Mswati III International Apt,King Mswati III International Apt,MA,RL,---4----,,-26.35,31.716666666666665,
SZ,KLB,Kollbrunn,Kollbrunn,,RL,-----6--,,47.45,8.783333333333333,
SZ,LHH,Lomahasha,Lomahasha,LU,RL,--3-----,,-25.983333333333334,32,
SZ,MLY,Mahlanya,Mahlanya,MA,RL,--3-----,,-26.5,31.283333333333335,
SZ,MAL,Malkerns,Malkerns,LU,RL,1-3-----,,-26.566666666666666,31.183333333333334,
SZ,MTS,Manzini,Manzini,,AI,---45---,,-26.4958706,31.3695887,true
SZ,MAT,Matsapha,Matsapha,,RQ,--3-----,,-26.494482,31.308351,true
SZ,QMN,Mbabane,Mbabane,,AI,-2-45---,,-26.325745,31.144663,true
SZ,MHU,Mhlume,Mhlume,LU,RL,--3-----,,26.033333333333335,31.85,
SZ,MOT,Motshane,Motshane,,RQ,-----6--,,-26.316666666666666,31.133333333333333,
SZ,NHL,Nhlangano,Nhlangano,,RL,1-3-----,,-27.116666666666667,31.2,
SZ,7DS,Sidvokodvo,Sidvokodvo,MA,RL,1-3-----,,-26.616666666666667,31.45,
SZ,SIM,Simunye,Simunye,LU,RL,--3-----,,-26.2,31.916666666666668,
SZ,SPH,Siphofaneni,Siphofaneni,LU,AM,-23-----,,-26.683333333333334,31.683333333333334,
SZ,UBO,Ubombo,Ubombo,,RL,--3-----,,-27.566666666666666,32.083333333333336,
