country,location,name,nameWoDiacritics,subdivision,status,function,iata,lat,lon,geocoded
TD,AEH,Ab�ch�,Abeche,,AI,---4----,,13.816666666666666,20.816666666666666,
TD,AOD,Abou-De�a,Abou-Deia,,AI,---4----,,11.45,19.283333333333335,
TD,AMC,Am Timan,Am Timan,,AI,---4----,,11.034862050000001,20.274460745365786,true
TD,AJR,Amdjarass,Amdjarass,EE,AM,--3-----,,16.05,22.833333333333332,
TD,ATV,Ati,Ati,,AI,---4----,,13.24002675,18.315942479489287,true
TD,BAD,Badila,Badila,LR,RL,--3-----,,8.35,16.283333333333335,
TD,BGA,Baga Sola,Baga Sola,LC,AM,--3-----,,13.533333333333333,14.3,
TD,BND,Banda,Banda,,RL,--3-----,,9.15,18.366666666666667,
TD,BNB,Bitkine,Bitkine,GR,RL,--3-----,,11.966666666666667,18.2,
TD,BKR,Bokoro,Bokoro,,AI,---4----,,12.3830004,17.0669994,true
TD,OTC,Bol,Bol,,AI,---4----,,13.4433002,14.7393999,true
TD,OGR,Bongor,Bongor,,AI,---4----,,10.287542,15.3735256,true
TD,OUT,Bousso,Bousso,,AI,---4----,,10.4829998,16.7169991,true
TD,CHG,Chagoua,Chagoua,CB,AM,-----6--,,12.083333333333334,15.083333333333334,
TD,DOB,Doba,Doba,MC,RL,--3-----,,8.633333333333333,16.833333333333332,
TD,FYT,Faya,Faya,,AI,---4----,,17.91710605,19.110081156481993,true
TD,GHD,Gadang-Haddad-Dandi,Gadang-Haddad-Dandi,,RL,--3-----,,10.3689,17.0273,true
TD,GAY,Gaya,Gaya,KA,RL,--3-----,,13.9,15.5,
TD,GOR,Gore,Gore,LR,AM,--3-----,,7.916666666666667,16.633333333333333,
TD,GZB,Goz Beida,Goz Beida,SI,AM,--34----,,12.216666666666667,21.4,
TD,GRD,Guereda,Guereda,WF,AM,--3-----,,14.516666666666667,22.083333333333332,
TD,IRI,Iriba,Iriba,WF,AM,--3-----,,15.116666666666667,22.25,
TD,KEL,K�lo,Kelo,TA,RL,--3-----,,9.316666666666666,15.8,
TD,KME,Kom�,Kome,,RL,-23-----,,8.45,16.7,
TD,KOU,Koumara,Koumara,,RL,--3-----,,7.95,15.5,
TD,KMR,Koumra,Koumra,,RL,--3-----,,8.9,17.55,
TD,KMC,Kyab�,Kyabe,MC,RL,--34----,,9.45,18.95,
TD,LTC,Lai,Lai,,AI,---4----,,9.397251149999999,16.31179012558593,true
TD,LER,L�r�,Lere,MO,RL,--3-----,,9.65,14.216666666666667,
TD,MGR,Mangara,Mangara,MC,RL,--3-----,,8.983333333333333,18.083333333333332,
TD,AMO,Mao,Mao,,AI,---4----,,14.1465021,15.315204003146317,true
TD,MEF,Melfi,Melfi,,AI,---4----,,11.063717,17.9348134,true
TD,2GR,Mongo,Mongo,GR,RL,--3-----,,12.183333333333334,18.7,
TD,MVO,Mongo,Mongo,,AI,---4----,,12.1704888,18.675674798303085,true
TD,MQQ,Moundou,Moundou,,AI,---4----,,8.5654637,16.073831,true
TD,MOU,Moussoro,Moussoro,KA,RL,--3-----,,13.65,16.483333333333334,
TD,NDJ,N'Djamena,N'Djamena,,AI,---45---,,12.116666666666667,15.05,
TD,OUM,Oum Hadjer,Oum Hadjer,,AI,---4----,,13.2771743,19.7095799,true
TD,PLF,Pala,Pala,,AI,---4----,,9.3522,14.9675,true
TD,SRH,Sarh,Sarh,,AI,---45---,,9.14443275,18.375014440800914,true
TD,SOB,Soba,Soba,,RL,-----6--,,15.366666666666667,21.783333333333335,
TD,AKM,Zakouma,Zakouma,,AI,---4----,,10.89067145,19.81745611997289,true
