country,location,name,nameWoDiacritics,subdivision,status,function,iata,lat,lon,geocoded
TG,ABG,Ablogam�,Ablogame,M,RL,-----6--,,6.133333333333334,1.25,
TG,ADK,Ad�ti-Kop�,Adeti-Kope,M,AM,-----6--,,6.35,1.2,
TG,ANE,An�ho,Aneho,,RL,1-------,,6.233333333333333,1.6,
TG,AKP,Atakpam�,Atakpame,P,RL,--3-----,,7.533333333333333,1.1333333333333333,
TG,DPG,Dapaong,Dapaong,,RL,--3-5---,,10.85,0.2,
TG,KAN,Kant�,Kante,,RL,--3-----,,9.95,1.0333333333333334,
TG,KON,Konpi�na,Konpiena,,RL,--3-----,,10.966666666666667,0.65,
TG,KPE,Kpeme,Kpeme,,QQ,1-------,,6.43333,1.18333,true
TG,LFW,Lome,Lome,,AI,1--45---,,6.17020235,1.2560093951906006,true
TG,LRL,Niamtougou - Lama-Kara,Niamtougou - Lama-Kara,,AI,---4----,,9.768785600000001,1.0910034300578721,true
