country,location,name,nameWoDiacritics,subdivision,status,function,iata,lat,lon,geocoded
TJ,CHK,Chkalovsk,Chkalovsk,,RL,--3-----,,40.233333333333334,69.68333333333334,
TJ,DYU,Dushanbe,Dushanbe,,AI,---4----,,38.54557415,68.82363701984585,true
TJ,GAM,Garm,Garm,GB,RQ,--3-----,,39.016666666666666,70.36666666666666,
TJ,SFA,Isfara,Isfara,,RL,--3-----,,40.11666666666667,70.63333333333334,
TJ,KHI,Khirmanak,Khirmanak,,RL,--3-----,,38.583333333333336,68.55,
TJ,LBD,Khudzhand,Khudzhand,,AI,---4----,,,,
TJ,KHU,Khujand,Khujand,,RL,-----6--,,40.266666666666666,69.61666666666666,
TJ,KLB,Kulob,Kulob,KT,RL,--3-----,,37.9,69.76666666666667,
TJ,NUK,Nurak (Nurek),Nurak (Nurek),KT,RL,--3-----,,38.38333333333333,69.31666666666666,
TJ,PJK,Penjikent,Penjikent,SU,RL,--3-----,,39.5,67.6,
TJ,KUR,Qurghonteppa,Qurghonteppa,KT,RL,-23-----,,37.833333333333336,68.76666666666667,
TJ,STZ,Shaartuz,Shaartuz,KT,RL,-23-----,,37.25,68.13333333333334,
TJ,VAH,Vahdat,Vahdat,,RL,--3-----,,38.55,69.01666666666667,
