country,location,name,nameWoDiacritics,subdivision,status,function,iata,lat,lon
TL,AUT,Atauro,Atauro,DI,RL,---4----,,-8.266666666666667,125.6
TL,BCH,Baucau,Baucau,BA,RL,---4----,,-8.466666666666667,126.45
TL,DIL,Dili,Dili,DI,RL,1-34----,,-8.55,125.56666666666666
TL,KOE,Kupang,Kupang,,RL,---4----,,-10.166666666666666,123.66666666666667
TL,LIB,Liberdade,Liberdade,,RQ,------7-,,-11.033333333333333,126.61666666666666
TL,MPT,Maliana,Maliana,BO,RL,---4----,,-8.983333333333333,125.21666666666667
TL,MDV,Modec Venture,Modec Venture,,RQ,------7-,,-10.866666666666667,126.56666666666666
TL,OEC,Ocussi,Ocussi,OE,RL,---4----,,-9.2,124.33333333333333
TL,SVP,Sevivara Point,Sevivara Point,,RL,--3-----,,-8.383333333333333,127.28333333333333
TL,SUA,Suai,Suai,,RL,--3-----,,-9.3,125.25
TL,VIQ,Viveque,Viveque,VI,RL,---4----,,-8.883333333333333,126.36666666666666
