country,location,name,nameWoDiacritics,subdivision,status,function,iata,lat,lon,geocoded
TM,AKD,Akdepe,Akdepe,,RL,--3-----,,38.3,57.583333333333336,
TM,ALT,Altyn Asyr,Altyn Asyr,,RQ,1----6--,,37.88333333333333,58.36666666666667,
TM,AMY,Amyderya,Amyderya,L,RL,--3-----,,37.88333333333333,65.23333333333333,
TM,AGT,Ashgabat,Ashgabat,S,RQ,-2---6--,,37.95,58.38333333333333,
TM,ASB,Ashkhabad,Ashkhabad,S,AI,--34----,,37.95,58.38333333333333,
TM,BAB,Babada�han,Babadayhan,A,RL,--3-----,,37.68333333333333,60.38333333333333,
TM,BAH,B�herden,Baherden,,RL,-23-----,,38.43333333333333,57.416666666666664,
TM,BAL,Balkanabat,Balkanabat,B,RL,-23-----,,39.5,54.35,
TM,BAY,Bayramaly,Bayramaly,,RL,-23-----,,37.61666666666667,62.166666666666664,
TM,BKH,Bekdash,Bekdash,B,RL,--3-----,,41.56666666666667,52.53333333333333,
TM,BOL,Boldumsaz,Boldumsaz,,RL,-23-----,,42.13333333333333,59.666666666666664,
TM,BZY,B�zmeyin,Buzmeyin,,RL,-23-----,,38.05,58.2,
TM,CJV,Ch�rjew,Charjew,L,RL,--3-----,,39.1,63.56666666666667,
TM,CHE,Cheleken,Cheleken,B,RL,1-3-----,,39.4,53.13333333333333,
TM,DHZ,Dashhowuz,Dashhowuz,,RL,--3-----,,41.833333333333336,59.95,
TM,FAR,Farap,Farap,L,RL,-23----B,,39.166666666666664,63.6,
TM,GAL,Galkynys,Galkynys,L,RL,-23-----,,39.25,63.18333333333333,
TM,GUB,Gubadag,Gubadag,,RL,--3-----,,42.06666666666667,59.96666666666667,
TM,GYP,Gypjak,Gypjak,A,RL,--3-----,,38,58.25,
TM,HAL,Halach,Halach,,RL,1-3-----,,38.06666666666667,64.88333333333334,
TM,Z7H,Hazar,Hazar,B,RL,--3-----,,39.43333333333333,53.1,
TM,JEB,Jebel,Jebel,,RL,--3-----,,39.61666666666667,54.21666666666667,
TM,KAK,Kaka,Kaka,,RL,-23-----,,37.35,59.6,
TM,KER,Kerkichi,Kerkichi,L,RL,-23-----,,37.85,65.23333333333333,
TM,KHS,Khodzhambas,Khodzhambas,,RL,--3-----,,38.11666666666667,65,
TM,KON,K�ne�rgench,Koneurgench,,RL,-23-----,,42.31666666666667,59.13333333333333,
TM,KRA,Krasnovodsk,Krasnovodsk,B,RL,1-3-----,,40.016666666666666,52.96666666666667,
TM,KUK,Kushka,Kushka,,AI,-23-----,,35.26667,62.33333,true
TM,LEB,Lebap,Lebap,,RL,-23-----,,41.05,61.88333333333333,
TM,MYP,Mary,Mary,,AI,---4----,,37.6254239,61.89707073841751,true
TM,MUR,Murgap,Murgap,M,RL,-23-----,,37.483333333333334,61.96666666666667,
TM,SAK,S�kar,Sakar,L,RL,--3-----,,38.916666666666664,63.733333333333334,
TM,SRK,Sarakhs,Sarakhs,,RL,--3-----,,36.5237406,61.2152195,true
TM,SAY,Sayat,Sayat,,RQ,--3-----,,38.766666666666666,63.88333333333333,
TM,SHI,Shirvan-Kala,Shirvan-Kala,,RQ,--3-----,,42.25,58.63333333333333,
TM,TAG,Tagta,Tagta,,RL,--3-----,,41.65,59.9,
TM,TAZ,Tashauz,Tashauz,,AI,---4----,,,,
TM,CRZ,Tchardjou,Tchardjou,,AI,---45---,,,,
TM,TEJ,Tejen,Tejen,A,RL,-23-----,,37.36666666666667,60.483333333333334,
TM,TMZ,Termez,Termez,,AI,1-------,,,,
TM,TK5,Turkmenabat,Turkmenabat,L,RL,-23-----,,39.1,63.56666666666667,
TM,KRW,Turkmenbashi,Turkmenbashi,B,AI,1234----,,40.016666666666666,52.96666666666667,
TM,TUR,Turkmen-Kala,Turkmen-Kala,,RL,--3-----,,37.43333333333333,62.333333333333336,
TM,YOL,Yol�ten,Yoloten,,RL,-23-----,,37.3,62.35,
TM,YLA,Yylanly,Yylanly,,RL,-23-----,,41.86666666666667,59.63333333333333,
