country,location,name,nameWoDiacritics,subdivision,status,function,iata,lat,lon,geocoded
TN,AKO,Akouda,Akouda,51,RL,--3-----,,35.86666666666667,10.566666666666666,
TN,HMM,Al Hammamat,Al Hammamat,,RL,123--6--,,36.4,10.616666666666667,
TN,AMN,Al Manarah,Al Manarah,52,RL,--3-----,,35.7,10.783333333333333,
TN,TZE,Al Mars�,Al Marsa,11,RL,123--6--,,36.88333333333333,10.333333333333334,
TN,AQY,Al Qasrayn,Al Qasrayn,,RL,-23-----,,35.166666666666664,8.833333333333334,
TN,AQR,Al Qayrawan,Al Qayrawan,,RQ,--3-----,,35.666666666666664,10.083333333333334,
TN,ARI,Ariana,Ariana,11,RL,1----6--,,36.85,10.183333333333334,
TN,ASH,Ashtart Terminal,Ashtart Terminal,,RQ,1-------,,,,
TN,BEJ,B�ja,Beja,,RL,-23-----,,36.733333333333334,9.183333333333334,
TN,BAR,Ben Arous,Ben Arous,13,RL,--3-----,,36.75,10.216666666666667,
TN,BGA,Ben Gardane,Ben Gardane,,QQ,--3-----,,33.1403223,11.2170109,true
TN,N4T,Beni Khalled,Beni Khalled,21,RL,--3-----,,36.65,10.6,
TN,BNA,Bin Arous,Bin Arous,,RQ,--3-----,,36.75,10.316666666666666,
TN,BIR,Bir Mcherga,Bir Mcherga,22,RL,--3-----,,36.516666666666666,9.95,
TN,BIZ,Bizerte,Bizerte,,QQ,1234----,,37.2720905,9.8708565,true
TN,BJC,Borj Cedria,Borj Cedria,21,RL,1-3-----,,36.7,10.4,
TN,BEB,Borj el Bey,Borj el Bey,51,RL,--3-----,,36.03333333333333,10.3,
TN,B8N,Bou Argoub,Bou Argoub,21,RL,--3-----,,36.53333333333333,10.55,
TN,BOF,Bou Ficha,Bou Ficha,51,RL,--3-----,,36.3,10.45,
TN,BOU,Boumhel,Boumhel,13,RL,-----6--,,36.71666666666667,10.3,
TN,BUH,Bu Hajar,Bu Hajar,52,RL,-----6--,,35.68333333333333,10.866666666666667,
TN,TZB,Bu Mirdas,Bu Mirdas,53,RL,--3--6--,,35.45,10.733333333333333,
TN,B6Q,Bu Urqub,Bu Urqub,21,RL,--3-----,,36.53333333333333,10.55,
TN,CAR,Carthage,Carthage,11,RL,--3-----,,36.85,10.316666666666666,
TN,CHA,Chaouat,Chaouat,,RL,--3-----,,36.86666666666667,9.95,
TN,CHB,Chebba,Chebba,53,RL,1-3-----,,35.233333333333334,11.1,
TN,DAR,Dar Chabanne,Dar Chabanne,21,RL,-----6--,,36.46666666666667,10.75,
TN,DID,Didon,Didon,,RQ,1-------,,33.766666666666666,11.9,
TN,DJE,Djerba,Djerba,,AI,1-34----,,,,
TN,EBM,El Borma,El Borma,,AI,---4----,,31.7039894,9.254249134192756,true
TN,EFS,El Fahs,El Fahs,22,RL,--3-----,,36.36666666666667,9.9,
TN,EHS,El Fahs,El Fahs,22,RL,-23-----,,36.36666666666667,9.9,
TN,E2H,El Hamma,El Hamma,81,RL,--3-----,,33.9,9.8,
TN,TZC,El Jem,El Jem,53,RL,-----6--,,35.3,10.716666666666667,
TN,MOU,El Mourouj,El Mourouj,13,RL,--3-----,,36.666666666666664,10.15,
TN,EFA,Enfida,Enfida,51,RL,--3-----,,36.13333333333333,10.366666666666667,
TN,NBE,Enfidha Hammamet Intl Apt,Enfidha Hammamet Intl Apt,51,RL,---4----,,36.06666666666667,10.433333333333334,
TN,E8M,Essouassi,Essouassi,53,RL,--3-----,,35.333333333333336,10.533333333333333,
TN,EZA,Ez Zahra,Ez Zahra,11,RL,--3-----,,36.75,10.316666666666666,
TN,FOA,Fouchana,Fouchana,13,RL,--3-----,,36.68333333333333,10.166666666666666,
TN,GAE,Gab�s,Gabes,,AI,1--4----,,33.88333333333333,10.116666666666667,
TN,GAF,Gafsa,Gafsa,,AI,---4----,,34.4234442,8.822916450465785,true
TN,GML,Grombalia,Grombalia,21,RL,-23-----,,36.6,10.5,
TN,HAM,Hammamet,Hammamet,21,RL,--3-----,,36.4,10.616666666666667,
TN,HML,Hammam-Lif,Hammam-Lif,13,RL,--3-----,,36.71666666666667,10.333333333333334,
TN,ISI,Isis,Isis,,RQ,------7-,,34.61666666666667,12.416666666666666,
TN,JEM,Jammal,Jammal,,RL,--3-----,,35.63333333333333,10.75,
TN,JAR,Jarjis,Jarjis,,RL,1-------,,33.5,-11.1,
TN,J8T,Jebel Jelloud,Jebel Jelloud,11,RL,--3-----,,36.766666666666666,10.2,
TN,JUL,Jundubah,Jundubah,,RQ,--3-----,,36.5,8.766666666666667,
TN,QKN,Kairouan,Kairouan,,AI,---4----,,35.6710101,10.10062,true
TN,KKE,Kalaa Kebira,Kalaa Kebira,,QQ,-23-----,,35.8704108,10.5365372,true
TN,KSS,Kasserine,Kasserine,42,RL,--3-----,,35.166666666666664,8.816666666666666,
TN,KEB,Kebili,Kebili,73,RL,1----6--,,33.7,8.966666666666667,
TN,KER,Kerkena,Kerkena,,QQ,--3-----,,,,
TN,KON,Kondar,Kondar,51,RL,--3-----,,35.916666666666664,10.3,
TN,KOR,Korba,Korba,,QQ,--3-----,,36.5728862,10.857624,true
TN,KSH,Ksar Hellal,Ksar Hellal,52,RL,--3-----,,35.65,10.9,
TN,KEM,Ksibet el M�diouni,Ksibet el Mediouni,52,RL,1-------,,35.666666666666664,10.833333333333334,
TN,KEF,Ksour Essaf,Ksour Essaf,53,RL,--3-----,,35.416666666666664,10.983333333333333,
TN,LGN,La Goulette Nord (Halqueloued),La Goulette Nord (Halqueloued),,QQ,123-----,,36.67931,10.29195,true
TN,L8T,La Marsa,La Marsa,11,RL,--3-----,,36.86666666666667,10.316666666666666,
TN,MOH,La Mohammedia,La Mohammedia,11,RL,--3-----,,36.666666666666664,10.15,
TN,LMG,La Mornaghia,La Mornaghia,11,RL,--3-----,,36.75,10.016666666666667,
TN,LSK,La Skhirra,La Skhirra,,QQ,123-----,,36.67931,10.29195,true
TN,LSA,La Soukra,La Soukra,12,RL,-----6--,,36.86666666666667,10.25,
TN,LYT,Lafayette/Tunis,Lafayette/Tunis,11,RL,-----6--,,36.81666666666667,10.183333333333334,
TN,LBO,Le Bardo,Le Bardo,11,RL,--3-----,,36.8,10.133333333333333,
TN,LEK,Le Kef,Le Kef,33,RL,--3-----,,36.166666666666664,8.7,
TN,LKR,Le Kram,Le Kram,11,RL,-----6--,,36.833333333333336,10.316666666666666,
TN,BDL,Les Berges du Lac,Les Berges du Lac,11,RL,-----6--,,36.83537,10.23705,true
TN,MDN,Madanin,Madanin,,RQ,--3-----,,33.35,10.483333333333333,
TN,MAD,Mahdia,Mahdia,53,RL,123-----,,35.5,11.05,
TN,MAH,Mahires,Mahires,,RL,-23-----,,34.53333333333333,10.5,
TN,MAJ,Majaz al Bab,Majaz al Bab,31,RL,--3-----,,36.65,9.616666666666667,
TN,MAN,Manouba,Manouba,11,RL,--3-----,,36.8,10.1,
TN,MAT,Mateur,Mateur,,QQ,-23-----,,37.0385985,9.6676974,true
TN,MED,Medenine,Medenine,82,RL,-----6--,,33.35,10.5,
TN,MGR,M�grine,Megrine,13,RL,--3-----,,36.766666666666666,10.233333333333333,
TN,MEG,M�grine-Lescure,Megrine-Lescure,,RL,--3-----,,36.766666666666666,10.2,
TN,MBA,Menzel Bourguiba,Menzel Bourguiba,,QQ,123-----,,37.1549472,9.7925864,true
TN,MZ5,Menzel Farsi,Menzel Farsi,52,RL,--3-----,,35.53333333333333,10.866666666666667,
TN,MTE,Menzel Temime,Menzel Temime,,QQ,--3-----,,36.7807127,10.9939105,true
TN,MEA,Mesjed Aissa,Mesjed Aissa,52,RL,--3-----,,35.71666666666667,10.716666666666667,
TN,MET,Metlaoui,Metlaoui,71,RL,--3-----,,34.31666666666667,8.4,
TN,MOK,Moknine,Moknine,,QQ,--3-----,,35.628257,10.9001327,true
TN,MIR,Monastir,Monastir,,AI,--345---,,35.7707582,10.8280511,true
TN,MOR,Mornag,Mornag,11,RL,--3-----,,36.68333333333333,10.016666666666667,
TN,NAS,Naassen,Naassen,13,RL,-----6--,,36.68333333333333,10.233333333333333,
TN,NAB,Nabeul,Nabeul,,QQ,-23-----,,36.4512897,10.7355915,true
TN,SSN,Nassene,Nassene,13,RL,--3-----,,36.7,10.233333333333333,
TN,NEA,Nefta,Nefta,72,RL,-----6--,,33.86666666666667,7.866666666666667,
TN,OUD,Oudna,Oudna,,RQ,1-------,,36.266666666666666,11.65,
TN,QHL,Qasr Hallal,Qasr Hallal,52,RL,--3-----,,35.63333333333333,10.883333333333333,
TN,KEL,Qulaybiyah,Qulaybiyah,,RL,--3-----,,36.85,11.1,
TN,RDS,Rad�s,Rades,11,RL,123-----,,36.766666666666666,10.266666666666667,
TN,SAH,Sahline,Sahline,52,RL,-----6--,,35.75,10.7,
TN,SJM,Sejoumi,Sejoumi,,RL,--3-----,,36.75,10.116666666666667,
TN,SFA,Sfax,Sfax,,AI,1234----,,34.7394361,10.7604024,true
TN,SBZ,Sidi Bu Zayd,Sidi Bu Zayd,,RQ,--3-----,,35.03333333333333,9.483333333333333,
TN,SLI,Siliana,Siliana,34,RL,--3-----,,36.083333333333336,9.366666666666667,
TN,QSG,Sloughia,Sloughia,,RQ,--3-----,,36.583333333333336,9.516666666666667,
TN,SLN,Soliman,Soliman,21,RL,1-3-----,,36.68333333333333,10.483333333333333,
TN,SUS,Sousse,Sousse,,QQ,1234----,,35.8288175,10.6405392,true
TN,TBJ,Tabarka,Tabarka,,AI,-234----,,36.9545614,8.7573829,true
TN,TBL,Tabulbah,Tabulbah,52,RL,--3-----,,35.65,10.966666666666667,
TN,TZK,Tazarka,Tazarka,21,RL,--3-----,,36.55,10.833333333333334,
TN,TAT,Tazerka Terminal,Tazerka Terminal,,RQ,1-------,,36.6,11.683333333333334,
TN,TBB,Tebourba,Tebourba,12,RL,-23-----,,36.833333333333336,9.833333333333334,
TN,TOE,Tozeur,Tozeur,,AI,---4----,,33.937290649999994,8.098274030066897,true
TN,TUN,Tunis,Tunis,,AI,12345---,,36.851848450000006,10.229504360453278,true
TN,U3T,Utique,Utique,23,RL,--3-----,,37.05,10.066666666666666,
TN,TZA,Zaghouan,Zaghouan,22,RL,--3--6--,,36.4,10.15,
TN,ZRZ,Zarzis,Zarzis,82,RL,1-3-----,,33.5,11.116666666666667,
TN,ARB,Zriba,Zriba,,RL,-----6--,,36.333333333333336,10.25,
