country,location,name,nameWoDiacritics,subdivision,status,function,iata,lat,lon,geocoded
TR,ACI,Acibadem,Acibadem,34,RN,0-------,,41.0037683,29.0437162,true
TR,APY,Acipayam,Acipayam,20,RN,0-------,,37.4273777,29.3505097,true
TR,ADA,Adana,Adana,01,AI,1--4----,,36.98247135,35.28787786654746,true
TR,ADZ,Adapazari,Adapazari,54,RQ,--3-----,,40.7755188,30.4020898,true
TR,ADI,Adiyaman,Adiyaman,02,RN,0-------,,37.7602985,38.2772986,true
TR,AFY,Afyonkarahisar,Afyonkarahisar,03,AI,--34----,,38.726425,30.601114,true
TR,AJI,Agri,Agri,04,AI,---4----,,39.719125,43.0504894,true
TR,AHM,Ahmetli,Ahmetli,45,RN,0-------,,38.618458,28.671642,true
TR,AKB,Ak�aabat,Akcaabat,61,RL,1-------,,41.016666666666666,39.56666666666667,
TR,KKC,Ak�akoca,Akcakoca,14,RL,--3-----,,41.083333333333336,31.1,
TR,AKC,Akcansa,Akcansa,17,RQ,1-------,,40.1,26.383333333333333,
TR,GKV,Ak�apinar,Akcapinar,48,RL,1-------,,37.016666666666666,28.366666666666667,
TR,AKY,Ak�ay,Akcay,10,RL,1-------,,39.583333333333336,26.933333333333334,
TR,AKD,Akdeniz,Akdeniz,,RL,1-------,,36.86666666666667,34.7,
TR,AHS,Akhisar,Akhisar,45,RN,0-------,,38.9240528,27.8401895,true
TR,AKS,Aksaray,Aksaray,34,RN,0-------,,41.0083123,28.9502838,true
TR,ARY,Aksaray,Aksaray,68,RN,0-------,,38.3705416,34.026907,true
TR,AHR,Aksehir,Aksehir,42,RN,0-------,,38.3575,31.41639,true
TR,AKI,Akseki,Akseki,07,RN,0-------,,37.0473617,31.7908673,true
TR,AKZ,Akyazi,Akyazi,54,RN,0-------,,40.6814188,30.6246106,true
TR,KY8,Akyurt,Akyurt,06,RL,--3-----,,40.13333333333333,33.1,
TR,ALA,Alanya,Alanya,07,RL,1-------,,36.53333333333333,31.983333333333334,
TR,API,Alapli,Alapli,67,RN,0-------,,41.1814,31.38514,true
TR,ASH,Alasehir,Alasehir,45,RN,0-------,,38.35083,28.51718,true
TR,ALE,Alemdag,Alemdag,34,RN,0-------,,41.0496927,29.237004,true
TR,ALI,Aliaga,Aliaga,35,RL,1-------,,38.8017371,26.9734041,true
TR,ABK,Alibeyk�y,Alibeykoy,34,RL,--3-----,,41.083333333333336,28.933333333333334,
