country,location,name,nameWoDiacritics,subdivision,status,function,iata,lat,lon,geocoded
TT,ZAA,Arima,Arima,ARI,RL,--3--6--,,10.633333333333333,-61.28333333333333,
TT,ARA,Arouca,Arouca,TUP,RL,--3-----,,10.633333333333333,-61.333333333333336,
TT,BAN,Balmain,Balmain,CTT,RL,--3-----,,10.416666666666666,-61.43333333333333,
TT,4BT,Barataria,Barataria,SJL,RL,--3-----,,10.65,-61.46666666666667,
TT,BAE,Barrackpore,Barrackpore,PED,RL,--3-----,,10.2,-61.4,
TT,CAA,Canaan,Canaan,,RL,-----6--,,11.15,-60.81666666666667,
TT,CPC,Carapichaima,Carapichaima,CTT,RL,--3-----,,10.466666666666667,-61.45,
TT,CRN,Carenage,Carenage,,RL,1-3-----,,10.683333333333334,-61.6,
TT,CAR,Caroni,Caroni,ARI,RL,--3-----,,10.65,-61.53333333333333,
TT,CHG,Chaguanas,Chaguanas,CHA,RL,--3-----,,10.516666666666667,-61.416666666666664,
TT,CHA,Chaguaramas,Chaguaramas,,QQ,1-------,,10.68279,-61.6392368,true
TT,CHF,Champs Fleurs/Port-of-Spain,Champs Fleurs/Port-of-Spain,POS,RQ,--3-----,,10.65,-61.516666666666666,
TT,CHV,Charlotteville,Charlotteville,ETO,RL,1-3-----,,11.316666666666666,-60.55,
TT,CHE,Chase Village,Chase Village,CTT,RL,--3-----,,10.466666666666667,-61.416666666666664,
TT,CLA,Claxton Bay,Claxton Bay,CTT,RL,1-3-----,,10.35,-61.46666666666667,
TT,CVA,Couva,Couva,,RL,1-3-----,,10.416666666666666,-61.45,
TT,CUN,Cunupia,Cunupia,CHA,RL,--3-----,,10.55,-61.36666666666667,
TT,CUR,Curepe,Curepe,TUP,RL,--3-----,,10.633333333333333,-61.4,
TT,7AD,Dabadie,Dabadie,CTT,RL,--3-----,,10.616666666666667,-61.31666666666667,
TT,DAE,Dabadie,Dabadie,TUP,RL,--3-----,,10.616666666666667,-61.31666666666667,
TT,DMT,Diego Martin,Diego Martin,DMN,RL,-----6--,,10.716666666666667,-61.56666666666667,
TT,FRE,Freeport,Freeport,CTT,AM,1-3-----,,10.45,-61.416666666666664,
TT,FXD,Fyzabad,Fyzabad,SIP,RL,--3-----,,10.183333333333334,-61.55,
TT,GSP,Gasparillo,Gasparillo,,RL,--3-----,,10.316666666666666,-61.416666666666664,
TT,GNE,Glencoe,Glencoe,DMN,RL,--3-----,,10.666666666666666,-61.56666666666667,
TT,GUO,Guapo,Guapo,PTF,RL,--3-----,,10.183333333333334,-61.65,
TT,GUA,Guayaguayare,Guayaguayare,,RL,1-3-----,,10.133333333333333,-61.03333333333333,
TT,LAB,La Brea (Brighton),La Brea (Brighton),,AI,1-------,,10.24588,-61.62189,true
TT,LLL,Laventille,Laventille,,RQ,--3--6--,,10.65,-61.483333333333334,
TT,LOE,Longdenville,Longdenville,CHA,RL,--3-----,,10.516666666666667,-61.38333333333333,
TT,MCY,Macoya,Macoya,TUP,RQ,--3-----,,10.633333333333333,-61.38333333333333,
TT,MAR,Marabella,Marabella,,RL,--3-----,,10.283333333333333,-61.45,
TT,MVL,Maraval,Maraval,DMN,RL,--3-----,,10.7,-61.516666666666666,
TT,MTS,Montrose,Montrose,,RL,-----6--,,11.2,-60.65,
TT,MVT,Morvant/Port-of-Spain,Morvant/Port-of-Spain,POS,RL,--3--6--,,10.65,-61.46666666666667,
TT,MHP,Mount Hope,Mount Hope,SJL,RL,--3-----,,10.65,-61.43333333333333,
TT,PNL,Penal,Penal,SFO,RL,--3-----,,10.166666666666666,-61.46666666666667,
TT,PIA,Piarco,Piarco,,AI,----5---,,10.6047057,-61.3340544,true
TT,PLY,Plymouth,Plymouth,,RQ,1-------,,11.2199522,-60.7738418,true
TT,PTF,Point Fortin,Point Fortin,,QQ,1-------,,10.1759283,-61.6827286,true
TT,PTG,Point Galeota,Point Galeota,,QQ,1-------,,10.18333,-61.68333,true
TT,PTS,Point Lisas,Point Lisas,,AI,1-------,,10.3993799,-61.4828808,true
TT,PPL,Point Lizza,Point Lizza,,RQ,--3-----,,10.433333333333334,-61.483333333333334,
TT,PTP,Pointe a Pierre,Pointe a Pierre,,QQ,1-------,,10.3228677,-61.4453208,true
TT,POS,Port-of-Spain,Port-of-Spain,POS,AI,1--45---,,10.65,-61.516666666666666,
TT,PTW,Princes Town,Princes Town,,RL,-----6--,,10.266666666666667,-61.38333333333333,
TT,RCR,Rio Claro,Rio Claro,RCM,RL,--3-----,,10.3,-61.18333333333333,
TT,PSC,Saint Clair,Saint Clair,POS,RQ,--3-----,,10.666666666666666,-61.516666666666666,
TT,FPT,Saint Mary's,Saint Mary's,CTT,RL,1-3-----,,10.216666666666667,-61.53333333333333,
TT,SFE,San Fernando,San Fernando,,QQ,1-------,,10.2807069,-61.4645896,true
TT,SAN,San Juan/Port-of-Spain,San Juan/Port-of-Spain,POS,RL,--3-----,,10.65,-61.45,
TT,SAG,Sangre Grande,Sangre Grande,SGE,RL,--3-----,,10.583333333333334,-61.11666666666667,
TT,SCR,Scarborough,Scarborough,,RL,--3-----,,11.166666666666666,-60.733333333333334,
TT,SCA,Scarborough/Tobago,Scarborough/Tobago,,QQ,1-------,,11.1852893,-60.735024,true
TT,SPR,Siparia,Siparia,,RL,-----6--,,10.133333333333333,-61.5,
TT,SOO,South Oropouche,South Oropouche,,RL,-----6--,,10.216666666666667,-61.55,
TT,TAA,Tacarigua,Tacarigua,TUP,RL,--3-----,,10.633333333333333,-61.36666666666667,
TT,TEM,Tembladora,Tembladora,,QQ,1--4----,,,,
TT,TAB,Tobago,Tobago,,AI,---4----,,,,
TT,TOC,Toco,Toco,POS,RL,--3-----,,10.833333333333334,-60.95,
TT,TCY,Trincity,Trincity,TUP,RL,-23-----,,10.633333333333333,-61.36666666666667,
TT,TUN,Tunapuna,Tunapuna,,RL,--3-----,,10.6436181,-61.3907206,true
TT,VCA,Valencia,Valencia,SGE,RL,--3-----,,10.65,-61.2,
TT,TOB,Valsayn,Valsayn,TUP,RL,--3-----,,10.65,-61.416666666666664,
TT,VBL,Vista Bella,Vista Bella,,RL,--3-----,,10.283333333333333,-61.45,
TT,WDK,Woodbrook,Woodbrook,PTF,RL,--3-----,,10.65,-61.53333333333333,
