country,location,name,nameWoDiacritics,subdivision,status,function,iata,lat,lon,geocoded
TW,APG,An Ping,An Ping,,RQ,1-------,,22.623792,120.643088,true
TW,BDC,Bade City,Bade City,TAO,RL,-----6--,,24.95,121.28333333333333,
TW,BAL,Bali,Bali,,RQ,1-3-----,,25.15,121.4,
TW,BDA,Budai,Budai,,AA,1-------,,23.366666666666667,120.1,
TW,CHW,Chang-Hua,Chang-Hua,,RL,-23-----,,24.066666666666666,120.51666666666667,
TW,CMJ,Chi Mei,Chi Mei,,AI,---4----,,23.10278,120.16167,true
TW,CYI,Chiayi,Chiayi,,AI,---4----,,23.459325550000003,120.39371622493724,true
TW,CLI,Chung-Li,Chung-Li,,RQ,--3-----,,24.9653531,121.224926,true
TW,CUP,Chu-pei,Chu-pei,HSZ,RL,--3--6--,,24.833333333333332,121,
TW,FYN,Feng-y�an-ch'�,Feng-yuan-ch'u,TXG,RL,-23-----,,24.25,120.71666666666667,
TW,GAN,Gangshan,Gangshan,KHH,RL,--3-----,,22.783333333333335,120.28333333333333,
TW,GNI,Green Island,Green Island,,AI,---4----,,22.673388850000002,121.46640662432947,true
TW,GUE,Guishan,Guishan,TAO,RL,--3-----,,24.9,121.55,
TW,HCN,Hengchun,Hengchun,,AI,---4----,,22.03883785,120.73317542918606,true
TW,HOP,Hoping,Hoping,HUA,RQ,1-------,,24.98166365,121.5276791559812,true
TW,HSI,Hsichih,Hsichih,,RQ,--3-----,,25.066666666666666,121.65,
TW,HCH,Hsi-Chih,Hsi-Chih,,RL,--3-----,,25.066666666666666,121.65,
TW,HSZ,Hsin-chu,Hsin-chu,,RL,--34----,,24.816666666666666,120.96666666666667,
TW,ACH,Hsin-chuang,Hsin-chuang,KHH,RL,--3-----,,22.75,120.3,
TW,HTC,Hsin-t'ien,Hsin-t'ien,TPE,RQ,1-3-----,,22.66667,120.3,true
TW,HUN,Hualien,Hualien,,AI,1--4----,,24.023646499999998,121.61983545462041,true
TW,HUK,Hukou,Hukou,HSQ,RL,1-------,,24.9,121.05,
TW,ILA,I-lan,I-lan,,RL,-23-----,,24.766666666666666,121.75,
TW,KHH,Kaohsiung,Kaohsiung,,AI,1--4----,,22.6203348,120.3120375,true
TW,KEL,Keelung (Chilung),Keelung (Chilung),,QQ,1-------,,25.1317232,121.744652,true
TW,KEZ,Kepz,Kepz,,RQ,0-------,,,,
TW,KNH,Kinmen,Kinmen,,AI,---4----,,24.4293634,118.2446479,true
TW,LHN,Lishan,Lishan,,AI,---4----,,24.25601,121.25615,true
TW,LGM,Lung-men,Lung-men,,RL,1-------,,23.566666666666666,119.66666666666667,
TW,MAL,Mai-Liai,Mai-Liai,,RL,1-------,,23.75,120.25,
TW,MLI,Mai-liao,Mai-liao,,RL,1-------,,23.1,120.13333333333334,
TW,MZG,Makung,Makung,,AI,---4----,,,,
TW,MFK,Matsu,Matsu,,AI,---4----,,26.160281349999998,119.95859825495418,true
TW,ZMI,Miao-li,Miao-li,,RL,-23-----,,24.55,120.81666666666666,
TW,ANG,Nangang,Nangang,KHH,RQ,--3-----,,25.083333333333332,122,
TW,NAN,Nantou,Nantou,,RQ,1-3-----,,23.9,120.68333333333334,
TW,NTU,Nan-t'ou,Nan-t'ou,NAN,RQ,--3-----,,23.9,120.66666666666667,
TW,NEZ,"Nepz, Nantze","Nepz, Nantze",,RQ,0-------,,,,
TW,NTC,New Taipei City,New Taipei City,TPE,RL,--3-----,,25,121.43333333333334,
TW,KYD,Orchid Island,Orchid Island,,AI,---4----,,22.02871715,121.53370052417365,true
TW,PIF,Pingtung,Pingtung,,AI,---4----,,22.67824655,120.46040327819604,true
TW,TTA,Pingzhen,Pingzhen,TAO,RL,--3-----,,24.933333333333334,121.2,
TW,SHL,Sha-lun,Sha-lun,,RL,1-3-----,,25.1,121.21666666666667,
TW,SIJ,Sijhih,Sijhih,TPE,RQ,--3-----,,,,
TW,SUO,Suao,Suao,,QQ,1-------,,24.59162,121.85331,true
TW,SMT,Sun Moon Lake,Sun Moon Lake,,AI,---4----,,,,
TW,TXG,Taichung,Taichung,TXG,AI,1--4----,,24.141945,120.668406,true
TW,TNN,Tainan,Tainan,,AI,1--4----,,22.95073545,120.2091711929723,true
TW,TAI,T'ai-nan-hsien,T'ai-nan-hsien,TNN,RL,--3-----,,23.3,120.31666666666666,
TW,TAP,T'ai-pao,T'ai-pao,CYQ,RL,--3-----,,23.45,120.31666666666666,
TW,TPE,Taipei,Taipei,TPE,AI,1--45---,,25.033333333333335,121.51666666666667,
TW,TSA,Taipei Songshan Apt,Taipei Songshan Apt,TPE,AI,---4----,,25.066666666666666,121.55,
TW,TTT,Taitung,Taitung,,AI,1--4----,,22.75572665,121.10617061295864,true
TW,TYN,Taoyuan,Taoyuan,,RQ,1-34----,,25.079317449999998,121.234597676253,true
TW,TOF,Toufen,Toufen,,RL,--3-----,,24.516666666666666,120.9,
TW,TUZ,Tou-liu,Tou-liu,,RL,--3-----,,23.7,120.53333333333333,
TW,TGH,Tung Hai,Tung Hai,,RQ,0-------,,22.56667,120.35,true
TW,WOT,Wonan,Wonan,,AI,---4----,,,,
TW,WUJ,Wu-jih,Wu-jih,,RL,-23-----,,24.1,120.61666666666666,
TW,WUK,Wu-ku,Wu-ku,TPE,RQ,--3-----,,22.58333,120.63333,true
TW,WTU,Wu-tu,Wu-tu,,RL,123--6--,,25.083333333333332,121.66666666666667,
TW,YGE,Ying-Ge,Ying-Ge,TPE,RQ,1-------,,,,
TW,FEY,Y�ang-wang,Yuang-wang,,RL,--3-----,,24.05,121.15,
TW,YUL,Y�an-Lin,Yuan-Lin,CHA,RL,--3-----,,23.95,120.56666666666666,
TW,YAN,Yung-an,Yung-an,,RQ,--3-----,,23.12417,120.16556,true
TW,UGK,Yung-K'Ang,Yung-K'Ang,,RQ,-----6--,,23.016666666666666,120.25,
TW,YLN,Yunlin,Yunlin,YUN,RQ,1-------,,24.98338,121.31681,true
TW,ZHB,Zhubei,Zhubei,HSZ,RL,--3-----,,24.833333333333332,121,
