country,location,name,nameWoDiacritics,subdivision,status,function,iata,lat,lon,geocoded
TZ,ICD,African Inland Container Depot,African Inland Container Depot,02,RL,-----6--,,-6.833333333333333,39.233333333333334,
TZ,ARK,Arusha,Arusha,,AI,---45---,,-3.3696827,36.6880794,true
TZ,BAB,Babati,Babati,26,RL,--3-----,,-4.216666666666667,35.75,
TZ,BHO,Biharamulo,Biharamulo,05,RL,--3-----,,-2.6166666666666667,31.3,
TZ,BKZ,Bukoba,Bukoba,,AI,---4----,,-1.33063155,31.820484188574866,true
TZ,DAR,Dar es Salaam,Dar es Salaam,,AI,12345---,,-6.8,39.28333333333333,
TZ,DOD,Dodoma,Dodoma,,AI,---4----,,-6.170092,35.75448160991104,true
TZ,GIT,Geita,Geita,,AI,--34----,,-2.8707573,32.2340831,true
TZ,IKW,Ikwiriri,Ikwiriri,,RL,1-3-----,,-7.983333333333333,39.016666666666666,
TZ,IRI,Iringa,Iringa,,AI,---4----,,-7.778902,35.6970649,true
TZ,ISK,Isaka,Isaka,,RL,--3-----,,-3.8666666666666667,32.93333333333333,
TZ,KBG,Kabanga,Kabanga,05,RL,--3-----,,-2.6333333333333333,30.466666666666665,
TZ,KAG,Kagera,Kagera,,RL,1----6--,,-4.65,30.666666666666668,
TZ,KHM,Kahama,Kahama,,RL,--3-----,,-3.8166666666666664,32.583333333333336,
TZ,KSL,Kasulu,Kasulu,08,RL,-23-----,,-4.566666666666666,30.1,
TZ,KIB,Kibaha,Kibaha,19,RL,--3--6--,,-6.766666666666667,38.916666666666664,
TZ,KBD,Kibondo,Kibondo,08,RL,-----6--,,-3.5833333333333335,30.716666666666665,
TZ,KDT,Kidatu,Kidatu,16,RL,--3-----,,-7.7,36.95,
TZ,TKQ,Kigoma,Kigoma,,AI,1--4----,,-4.5486815499999995,30.104030360473175,true
TZ,JRO,Kilimanjaro,Kilimanjaro,,AI,---4----,,-3.3598559999999997,37.328288451079615,true
TZ,KIY,Kilwa,Kilwa,,AI,---4----,,-9.5980735,33.9419067,true
TZ,KIK,Kilwa Kivinje,Kilwa Kivinje,,QQ,1-------,,-8.7488423,39.412637,true
TZ,KIM,Kilwa Masoko,Kilwa Masoko,,QQ,1-------,,-8.9326308,39.5143664,true
TZ,KSS,Kisesa,Kisesa,22,RL,--3-----,,-3.0833333333333335,34.15,
TZ,KIT,Kitagata,Kitagata,08,AM,--3-----,,-4.3,30.483333333333334,
TZ,KRG,Korogwe,Korogwe,,RL,--3-----,,-5.15,38.483333333333334,
TZ,KUR,Kurasini,Kurasini,02,RL,--3-----,,-6.85,39.28333333333333,
TZ,LKY,Lake Manyara,Lake Manyara,,AI,---4----,,-3.47512,35.34881,true
TZ,LDI,Lindi,Lindi,,AI,1--4----,,-9.9989181,39.7137313,true
TZ,LUY,Lushoto,Lushoto,,AI,---4----,,-4.795146,38.290511,true
TZ,MFA,Mafia,Mafia,,AI,---4----,,-7.91735835,39.66804537412173,true
TZ,MBK,Makumbako,Makumbako,29,RL,--3-----,,-8.85,34.833333333333336,
TZ,MGK,Malagarasi,Malagarasi,08,RL,--3-----,,-5.1,30.833333333333332,
TZ,MRN,Marungu,Marungu,08,AM,--3-----,,-3.6166666666666667,38.71666666666667,
TZ,XMI,Masasi,Masasi,,AI,---4----,,-10.738714,38.771822446316946,true
TZ,MBI,Mbeya,Mbeya,,AI,---4----,,-8.918906750000001,33.462739482986976,true
TZ,MIC,Michiuja,Michiuja,,QQ,1-------,,,,
TZ,MIK,Mikindani,Mikindani,,QQ,1-------,,-10.2872078,40.1154255,true
TZ,MKM,Mikumi,Mikumi,16,RL,--3-----,,-7.4,36.983333333333334,
TZ,MKO,"""Mkokotoni"," Zanzibar""","""Mkokotoni"," Zanzibar""",,1-------,-5.8748653,39.2558883,true
TZ,MLB,Mlimba,Mlimba,16,RL,--3-----,,-8.8,35.8,
TZ,MOH,Mohoro,Mohoro,,QQ,1-------,,-8.1421646,39.1826183,true
TZ,MRG,Morogoro,Morogoro,,RL,--3-----,,-6.816666666666666,37.65,
TZ,MSH,Moshi,Moshi,09,RL,--3--6--,QSI,-3.35,37.333333333333336,
TZ,MPA,Mpanda,Mpanda,28,RL,--34----,,-6.35,31.066666666666666,
TZ,MTS,Mtsora,Mtsora,,QQ,1-------,,,,
TZ,MYW,Mtwara,Mtwara,,AI,1--4----,,-10.34156075,40.177976239755395,true
TZ,MUZ,Musoma,Musoma,,AI,---4----,,-1.502866,33.80181186393872,true
TZ,MTK,Mutukula,Mutukula,05,AM,--3-----,,-1,31.4,
TZ,MWN,Mwadui,Mwadui,,AI,---4----,,-3.9155487,32.06038,true
TZ,MWZ,Mwanza,Mwanza,18,AI,1--4----,,-2.5166666666666666,32.9,
TZ,NCH,Nachingwea,Nachingwea,,AI,---4----,,-10.3575001,38.7792015,true
TZ,JOM,Njombe,Njombe,,AI,---4----,,-9.3588113,34.77791499428421,true
TZ,NZG,Nzega,Nzega,,RL,--3-----,,-3.6166666666666667,33.93333333333333,
TZ,PAN,Pangani,Pangani,,QQ,1-------,,-5.424377,38.9771304,true
TZ,PMA,Pemba,Pemba,,AI,1--4----,,-5.999957,37.5157775,true
TZ,RIJ,Rijiju,Rijiju,,QQ,1-------,,,,
TZ,SAM,Samanga,Samanga,,QQ,1-------,,-3.300235,37.5270046,true
TZ,SAJ,Sanya Juu,Sanya Juu,09,RL,--3-----,,-3.183333333333333,37.06666666666667,
TZ,SEU,Seronera,Seronera,,AI,---4----,,-2.4576367,34.8207415,true
TZ,SHY,Shinyanga,Shinyanga,,AI,---4----,,-3.6562049,33.4271153,true
