country,location,name,nameWoDiacritics,subdivision,status,function,iata,lat,lon,geocoded
UA,ACK,Alchevs'k,Alchevs'k,,RL,-----6--,,48.46666666666667,38.78333333333333,
UA,ZUZ,Aleksandria,Aleksandria,51,RL,-----6--,,48.666666666666664,33.11666666666667,
UA,ADK,Andreevka,Andreevka,63,AM,-23-----,,49.53333333333333,36.61666666666667,
UA,ARM,Armyansk,Armyansk,43,RL,-23-----,,46.1,33.666666666666664,
UA,ZUB,Artemovsk,Artemovsk,14,RL,-----6--,,48.583333333333336,38.06666666666667,
UA,BCV,Bachivs'k,Bachivs'k,59,RL,--3-----,,51.833333333333336,34.266666666666666,
UA,BAG,Bagerovo,Bagerovo,43,RL,--3-----,,45.36666666666667,36.28333333333333,
UA,BAP,Bakhchysarai,Bakhchysarai,43,RL,-2------,,44.75,33.85,
UA,BAK,Bakhchysaray,Bakhchysaray,32,RL,--3-----,,44.75,33.86666666666667,
UA,BKL,Balakleya,Balakleya,53,RL,--3-----,,49.61666666666667,33.75,
UA,ZUF,Balta,Balta,51,RL,-----6--,,47.93333333333333,29.616666666666667,
UA,BAR,Bar,Bar,05,AA,--3--6--,,49.06666666666667,27.666666666666668,
UA,BTA,Barativka,Barativka,48,RL,--3-----,,47.583333333333336,32.35,
UA,ERD,Berdiansk,Berdiansk,23,AA,1-------,,46.75,36.766666666666666,
UA,BDV,Berdychiv,Berdychiv,18,RL,--3-----,,49.9,28.583333333333332,
UA,ZUE,Beregovo,Beregovo,21,RL,-----6--,,48.21666666666667,22.633333333333333,
UA,BZN,Berezan',Berezan',30,RL,--3-----,,50.31666666666667,31.466666666666665,
UA,BER,Berezovitsa,Berezovitsa,,RQ,-----6--,,49.766666666666666,25.566666666666666,
UA,B8V,Bershad,Bershad,05,RL,--3-----,,48.36666666666667,29.516666666666666,
UA,BZW,Bila Tserkva (Belaja Zerkow),Bila Tserkva (Belaja Zerkow),32,RL,--3-----,,49.8,30.116666666666667,
UA,BGD,Bilhorod-Dnistrovskyi,Bilhorod-Dnistrovskyi,51,AA,1-------,,46.18333333333333,30.366666666666667,
UA,BKY,Bilki,Bilki,05,AM,--3-----,,48.95,29.3,
UA,ZUD,Bobrovitsa,Bobrovitsa,74,RL,-----6--,,50.75,31.366666666666667,
UA,ZUG,Bogodukhov,Bogodukhov,63,RL,-----6--,,50.15,35.5,
UA,BOH,Bohorodchany,Bohorodchany,26,RL,--3-----,,48.8,24.533333333333335,
UA,KBP,Borispol Intl Apt/kiev,Borispol Intl Apt/kiev,,AI,---4----,,50.3401779,30.891557297991227,true
UA,BOR,Borodjanka,Borodjanka,32,RL,--3-----,,50.63333333333333,29.966666666666665,
UA,BSL,Boryslav,Boryslav,46,RL,--3-----,,49.28333333333333,23.416666666666668,
UA,ZUH,Boyarka,Boyarka,30,RL,-----6--,,50.31666666666667,30.316666666666666,
UA,BRD,Brody,Brody,46,AA,--3-----,,50.083333333333336,25.15,
UA,BRS,Broshnev-Osada,Broshnev-Osada,26,RL,--3-----,,49,24.1,
UA,BRO,Brovary,Brovary,32,RL,--3-----,,50.5,30.75,
UA,BUC,Bucha,Bucha,,RL,--3-----,,50.56666666666667,30.233333333333334,
UA,BCH,Buchach,Buchach,61,RL,--3-----,,49.083333333333336,25.4,
UA,CKK,Cherkasskaya,Cherkasskaya,14,RL,-23-----,,48.833333333333336,37.38333333333333,
UA,CKC,Cherkassy,Cherkassy,,AI,---4----,,49.4149253,31.99480397192088,true
UA,CHR,Cherkasy,Cherkasy,71,RL,--3-----,,49.43333333333333,32.06666666666667,
UA,CEJ,Chernigov,Chernigov,,AI,---4----,,51.548406799999995,31.313959297694538,true
UA,ZUQ,Chernihiv,Chernihiv,74,RL,-----6--,,51.5,31.3,
UA,CWC,Chernivtsi (Chernovtsy),Chernivtsi (Chernovtsy),77,AI,-234----,,48.3,25.933333333333334,
UA,CBA,Chernobayevka,Chernobayevka,,RL,-23-----,,46.68333333333333,32.55,
UA,CVG,Chervonograd,Chervonograd,46,RL,--3-----,,50.38333333333333,24.233333333333334,
UA,CHD,Chinadiyevo,Chinadiyevo,21,RL,--3-----,,48.46666666666667,22.833333333333332,
UA,COP,Chop,Chop,21,AI,-23-----,,48.43333333333333,22.216666666666665,
UA,CCI,Chop-Chierna,Chop-Chierna,,AI,-2------,,48.427148,22.209579,true
UA,CZA,Chop-Zakhon,Chop-Zakhon,,AI,-2------,,48.427148,22.209579,true
UA,CHE,Chornobyl',Chornobyl',,RL,--3-----,,51.266666666666666,30.233333333333334,
UA,ILK,Chornomorsk,Chornomorsk,51,AA,123--6--,,46.31666666666667,30.666666666666668,
UA,CGV,Chuhuyiv,Chuhuyiv,63,RL,-23-----,,49.833333333333336,36.68333333333333,
UA,CRI,Crimea,Crimea,43,RL,--3-----,,44.93333333333333,34.1,
UA,D26,Deliatyn (Delatyn),Deliatyn (Delatyn),26,RL,--3-----,,48.53333333333333,24.633333333333333,
UA,K63,Dergachi,Dergachi,63,RL,-23-----,,49.96666666666667,35.483333333333334,
