country,location,name,nameWoDiacritics,subdivision,status,function,iata,lat,lon,geocoded
UY,AIG,Aigua,Aigua,MA,RL,--3-----,,-34.2,-54.75,
UY,ABT,Arbolito,Arbolito,CL,RQ,-----6--,,-32.65,-54.25,
UY,ATI,Artigas,Artigas,,AF,---4---B,,-30.3984136,-56.4638078,true
UY,BUV,Bella Uni�n,Bella Union,,AF,---4----,,-30.25,-57.583333333333336,
UY,CAN,Canelones,Canelones,,AF,0-------,,-34.5242373,-56.2817519,true
UY,CDN,Cardona,Cardona,SO,RL,--3-----,,-33.88333333333333,-57.38333333333333,
UY,CAR,Carmelo,Carmelo,,AF,1-------,,-33.9967827,-58.2836485,true
UY,CAO,Carrasco,Carrasco,CO,RL,--3-----,,-34.88333333333333,-56.05,
UY,CHY,Chuy,Chuy,,AF,-------B,,-33.6937948,-53.4561114,true
UY,CYR,Colonia,Colonia,,AF,1--4----,,-34.4698592,-57.8433679,true
UY,CDS,Colonia del Sacramento,Colonia del Sacramento,CO,RL,--3-----,,-34.4698592,-57.8433679,true
UY,CLZ,Colonia Suiza,Colonia Suiza,CO,RL,--3-----,,-34.31667,-57.21667,true
UY,CCL,Conchillas,Conchillas,CO,RL,--3-----,,-34.15,-58,
UY,CPP,Cuenca del Plata,Cuenca del Plata,,RQ,1-------,,-14.616666666666667,-44.11666666666667,
UY,DOL,Dolores,Dolores,SO,RL,--3-----,,-33.53333333333333,-58.18333333333333,
UY,DZO,Durazno,Durazno,,AF,1--4----,,-33.3804517,-56.5224396,true
UY,FDA,Florida,Florida,,AF,0-------,,-34.101363,-56.214752,true
UY,FZB,Fray Bentos,Fray Bentos,,AF,1-------,,-33.1165167,-58.3130977,true
UY,JCO,Joanico,Joanico,CA,RQ,-----6--,,-34.583333333333336,-56.25,
UY,JIT,Jose Ignacio Terminal,Jose Ignacio Terminal,,AF,1-------,,-34.80777,-54.62158,true
UY,JLC,Juan L. Lacaze,Juan L. Lacaze,CO,RL,1-------,,-34.43333333333333,-57.45,
UY,LAP,La Paloma/Rocha,La Paloma/Rocha,,AF,1-------,,-34.6631811,-54.155092,true
UY,LPZ,La Paz,La Paz,,AF,0-------,,-34.7632835,-56.22327,true
UY,LAG,Lagomar,Lagomar,,AF,0-------,,-34.8357436,-55.9847029,true
UY,LPS,Las Piedras,Las Piedras,,AF,0-------,,-34.7274904,-56.2164982,true
UY,LSC,Lascano,Lascano,RO,RL,--3-----,,-33.666666666666664,-54.2,
UY,LIB,Libertad,Libertad,SJ,RL,--3-----,,-34.63333333333333,-56.61666666666667,
UY,MDO,Maldonado,Maldonado,,AF,0-------,,-34.9087162,-54.9582718,true
UY,MLZ,Melo,Melo,,AF,---4----,,-32.3680849,-54.1697146,true
UY,MER,Mercedes,Mercedes,,AF,1-------,,-33.2484204,-58.0298671,true
UY,MIN,Minas,Minas,,AF,0-------,,-34.3773987,-55.2382144,true
UY,MVD,Montevideo,Montevideo,,AF,1--45---,,-34.78817835,-56.2645261917794,true
UY,NVH,Nueva Helvecia,Nueva Helvecia,CO,RL,--3-----,,-34.3,-57.233333333333334,
UY,NVP,Nueva Palmira,Nueva Palmira,,AF,1-------,,-33.8710911,-58.4068884,true
UY,NVN,Nuevo Berlin,Nuevo Berlin,RN,RL,-----6--,,-32.983333333333334,-58.05,
UY,OMB,Omb�es de Lavalle,Ombues de Lavalle,CO,RL,--3-----,,-33.916666666666664,-57.78333333333333,
UY,PAZ,Pan de Azucar,Pan de Azucar,MA,RL,--3-----,,-34.8,-55.233333333333334,
UY,PDO,Pando,Pando,,AF,0-------,,-34.721323,-55.959447,true
UY,PDC,Paso de Carrasco,Paso de Carrasco,MO,RL,--3-----,,-34.85,-56.05,
UY,PDU,Paysandu,Paysandu,,AF,1--4----,,-32.3217257,-58.0892136,true
UY,PIR,Piri�polis,Piriapolis,MA,RL,1-------,,-34.86666666666667,-55.266666666666666,
UY,PRB,Poblado Rinc�n de la Bolsa,Poblado Rincon de la Bolsa,,RL,--3-----,,-31.816666666666666,-55.916666666666664,
UY,PRO,Progreso,Progreso,CA,RL,--3-----,,-34.65,-56.21666666666667,
UY,PCA,Punta Carretas,Punta Carretas,MO,RL,--3-----,,-34.916666666666664,-56.15,
UY,PDP,Punta del Este,Punta del Este,,AF,1--4----,,-34.9632342,-54.9439981,true
