country,location,name,nameWoDiacritics,subdivision,status,function,iata,lat,lon,geocoded
UZ,AKT,Akaltyn,Akaltyn,,RL,1-3-----,,41.43333333333333,61.06666666666667,
UZ,ALK,Almalyk,Almalyk,,RQ,--3-----,,40.845729,69.6071609,true
UZ,ALT,Altyaryk,Altyaryk,FA,RL,-23-----,,40.38333333333333,71.46666666666667,
UZ,AZN,Andizhan,Andizhan,,AI,---4----,,40.611721200000005,68.2401908596785,true
UZ,ASA,Asaka,Asaka,AN,RQ,1-3-----,,40.63333333333333,72.23333333333333,
UZ,AST,Astana,Astana,XO,RL,-23-----,,41.333333333333336,60.6,
UZ,BHK,Bukhara,Bukhara,,AI,---4----,,39.774931300000006,64.48143090323728,true
UZ,CKT,Chimkent,Chimkent,FA,RL,--3-----,,40.483333333333334,71.63333333333334,
UZ,CHU,Chukur-Say,Chukur-Say,TO,RL,-23-----,,41.36666666666667,69.21666666666667,
UZ,FEG,Fergana,Fergana,,AI,---4----,,40.3583628,71.7510007489508,true
UZ,GST,Guliston,Guliston,,RL,-23-----,,40.5,68.78333333333333,
UZ,JIZ,Jizzakh,Jizzakh,JI,RL,-23-----,,40.1,67.83333333333333,
UZ,KAM,Kamashi,Kamashi,QA,RL,--3-----,,38.81666666666667,66.45,
UZ,KPA,Karakalpakiya,Karakalpakiya,QR,RL,--3-----,,44.75,56.083333333333336,
UZ,KBZ,Karaulbazar,Karaulbazar,,RL,--3-----,,39.483333333333334,64.78333333333333,
UZ,KSQ,Karshi,Karshi,QA,AI,-234----,,38.85,65.78333333333333,
UZ,KGS,Kengsoy,Kengsoy,QA,RL,--3-----,,38.35,65.85,
UZ,KHM,Khamza,Khamza,,RL,-23-----,,40.416666666666664,71.5,
UZ,KKH,Khanabad,Khanabad,QA,RL,--3-----,,38.833333333333336,65.93333333333334,
UZ,KOK,Kokand,Kokand,FA,RL,-23-----,,40.516666666666666,70.93333333333334,
UZ,6BT,Kungrad,Kungrad,QR,RL,--3-----,,43.06666666666667,58.9,
UZ,MGN,Marghilon,Marghilon,,RL,-23-----,,40.47111,71.72472,true
UZ,NMA,Namangan,Namangan,,AI,---4----,,40.98413205,71.56264282788344,true
UZ,NVI,Navoi Apt.,Navoi Apt.,NW,RL,---4----,,40.11666666666667,65.16666666666667,
UZ,NWY,Nawoiy,Nawoiy,,RL,-23-----,,40.11666666666667,65.35,
UZ,NCU,Nukus,Nukus,,AI,---4----,,42.48952825,59.6222565729817,true
UZ,AGN,Ohangaron,Ohangaron,TO,RL,-23-----,,40.9,69.63333333333334,
UZ,QAR,Qarshi,Qarshi,QA,RL,--3-----,,39.516666666666666,59.483333333333334,
UZ,QUN,Qunghirot,Qunghirot,QR,RL,-23-----,,43.03333333333333,58.833333333333336,
UZ,SKD,Samarkand,Samarkand,,AI,---4----,,39.69887605,66.99122805921263,true
UZ,SYA,Sary-Assiya,Sary-Assiya,,RL,--3-----,,39.11666666666667,66.95,
UZ,TSH,Sergeli,Sergeli,TO,RL,--3-----,,41.4,69.73333333333333,
UZ,SHU,Shurkhasan,Shurkhasan,QA,RL,--3-----,,38.9,67.2,
UZ,TAS,Tashkent,Tashkent,,AI,-2-45---,,41.2599624,69.28511704456324,true
UZ,TER,Termez,Termez,SU,RL,-23----B,,37.21666666666667,67.26666666666667,
UZ,UCH,Uchquduq,Uchquduq,NW,AM,-2-4----,,42.25,63.916666666666664,
UZ,ULU,Ulugbek,Ulugbek,,RL,--3-----,,41.38333333333333,69.4,
UZ,UGC,Urganch (Urgench),Urganch (Urgench),XO,AI,-234----,,41.55,60.63333333333333,
UZ,GUT,Urgut,Urgut,SA,RL,--3-----,,39.4,67.23333333333333,
UZ,YLH,Yalangach,Yalangach,TO,RL,--3-----,,41.35,69.33333333333333,
UZ,ZAR,Zarafshon,Zarafshon,NW,RL,-23-----,,41.56666666666667,64.2,
UZ,ZER,Zeravshan,Zeravshan,NW,RQ,---4----,,41.95,64.31666666666666,
