country,location,name,nameWoDiacritics,subdivision,status,function,iata,lat,lon,geocoded
VC,CPK,Camden Park,Camden Park,02,RL,--3-----,,13.166666666666666,-61.233333333333334,
VC,CRP,Campden Park,Campden Park,,RL,1-3-----,,13.166666666666666,-61.233333333333334,
VC,CAN,Canouan Island,Canouan Island,,RQ,1-------,,12.716666666666667,-61.31666666666667,
VC,GRG,Georgetown,Georgetown,,RQ,1-3--6--,,13.266666666666667,-61.11666666666667,
VC,KTN,Kingstown,Kingstown,,RL,1--45---,,13.133333333333333,-61.21666666666667,
VC,MQS,Mustique Island,Mustique Island,,AI,1--4----,,12.88770805,-61.17979227766365,true
VC,PLI,Palm Island,Palm Island,,RQ,---4----,,12.35,-61.233333333333334,
VC,BQU,"""Port Elizabeth"," Bequia""","""Port Elizabeth"," Bequia""",,1-34----,13.01667,-61.23333,true
VC,SVD,Saint Vincent,Saint Vincent,,AI,1--4----,,13.16041665,-61.14976154545264,true
VC,UNI,Union Island,Union Island,,AI,1--4----,,12.6002486,-61.41235080206093,true
