country,location,name,nameWoDiacritics,subdivision,status,function,iata,lat,lon,geocoded
VE,AGV,Acarigua,Acarigua,,AI,---4----,,9.550494950000001,-69.23576648333767,true
VE,ADV,Agua de Vaca,Agua de Vaca,O,RL,-----6--,,11,-63.96666666666667,
VE,AMY,Amuay,Amuay,,AI,1-------,,11.7749069,-70.2408172,true
VE,AAO,Anaco,Anaco,,AI,---4----,,9.42987125,-64.47085906802809,true
VE,AGU,Aragua de Barcelona,Aragua de Barcelona,,RL,--3-----,,9.433333333333334,-64.48333333333333,
VE,ARR,Araira,Araira,M,RL,--3-----,,10.45,-66.48333333333333,
VE,AUR,Araure,Araure,P,RQ,-----6--,,9.566666666666666,-69.21666666666667,
VE,ARA,Araya,Araya,,AI,1-------,,10.5799738,-64.2572403,true
VE,BAV,Bachaquero/Maracaibo L,Bachaquero/Maracaibo L,,AI,1-------,,10.26104,-66.68743,true
VE,BJV,Bajo Grande/Maracaibo L,Bajo Grande/Maracaibo L,,AI,1-------,,10.21663,-63.73979,true
VE,BLA,Barcelona,Barcelona,,AI,---4----,,10.10730955,-64.6899226740573,true
VE,BNS,Barinas,Barinas,,AI,---4----,,8.6128189,-70.21733395811468,true
VE,BRM,Barquisimeto,Barquisimeto,,AI,---4----,,10.043601800000001,-69.35616432028283,true
VE,MI6,Baruta,Baruta,M,RL,--3-----,,10.433333333333334,-66.88333333333334,
VE,BOC,Boca Grande,Boca Grande,L,RL,--3-----,,8.583333333333334,-71.65,
VE,BOR,Borburata,Borburata,G,RL,--3-----,,10.433333333333334,-67.95,
VE,CBS,Cabimas/Maracaibo L,Cabimas/Maracaibo L,,AI,1--4----,,10.38828,-71.43992,true
VE,CRD,Cabudare,Cabudare,K,RL,--3-----,,10.016666666666667,-69.25,
VE,CGA,Cagua,Cagua,D,RL,--3-----,,10.183333333333334,-67.45,
VE,CXA,Caicara de Orinoco,Caicara de Orinoco,,AI,1--4----,,7.625684850000001,-66.16364410443092,true
VE,CLZ,Calabozo,Calabozo,,AI,---4----,,8.92436905,-67.41379123394864,true
VE,CAJ,Canaima,Canaima,,AI,---4----,,10.5944288,-66.9730425,true
VE,CUA,Cantaura,Cantaura,B,RL,--3-----,,9.3,-64.35,
VE,CAB,Carabobo,Carabobo,F,RL,--3-----,,6.3,-61.43333333333333,
VE,CCS,Caracas,Caracas,,AI,---45---,,10.484524350000001,-66.84225070194431,true
VE,CAR,Caripito,Caripito,N,AA,1-3-----,,10.133333333333333,-63.03333333333333,
VE,VCR,Carora,Carora,,AI,---4----,,10.17568755,-70.06488630725417,true
VE,CAL,Carrizal,Carrizal,M,RL,-----6--,,10.35,-66.98333333333333,
VE,CUP,Carupano,Carupano,,AI,1--4----,,10.660728500000001,-63.2615402262505,true
VE,CUV,Casigua,Casigua,,AI,---4----,,11.0195976,-71.0140103,true
VE,CLM,Catia La Mar,Catia La Mar,,RQ,0-------,,10.5992669,-67.0145106,true
VE,JCH,Chaguaramas,Chaguaramas,J,RL,--3-----,,9.333333333333334,-66.26666666666667,
VE,CHA,Charallave,Charallave,M,RL,--3-----,,10.233333333333333,-66.85,
VE,CHV,Chichiriviche,Chichiriviche,,AI,1-------,,10.93158745,-68.27641586646342,true
VE,CHQ,Chiquinquir�,Chiquinquira,V,RL,1-3-----,,10.433333333333334,-71.63333333333334,
VE,CHC,Chivacoa,Chivacoa,U,RL,--3-----,,10.15,-68.88333333333334,
VE,CBL,Ciudad Bol�var,Ciudad Bolivar,F,AI,1--4----,,8.116666666666667,-63.55,
VE,CGU,Ciudad Guayana,Ciudad Guayana,,AI,1--4----,,8.370655,-62.637348,true
VE,COL,Coloncha,Coloncha,,RQ,0-------,,,,
VE,AGX,Colonia Tovar,Colonia Tovar,D,RL,--3-----,,10.416666666666666,-67.28333333333333,
VE,CZE,Coro,Coro,,AI,1--4----,,11.41582945,-69.68315472321771,true
VE,CRI,Cristobal,Cristobal,T,RL,--3-----,,9.216666666666667,-70.83333333333333,
VE,CUU,Cua,Cua,M,RL,--3-----,,10.166666666666666,-66.88333333333334,
VE,CUM,Cumana,Cumana,,AI,1--4----,,10.4510747,-64.13215209001493,true
VE,CUR,Curazaito,Curazaito,V,RL,--3-----,,10.366666666666667,-71.28333333333333,
VE,DUA,Duaca,Duaca,K,RL,--3-----,,10.283333333333333,-69.15,
VE,LME,Ejido,Ejido,L,RQ,-----6--,,8.5524805,-71.2409192,true
VE,ECL,El Cafetal,El Cafetal,M,RL,-----6--,,10.466666666666667,-66.81666666666666,
VE,ELC,El Chaure,El Chaure,B,RQ,1-------,,10.25,-64.61666666666666,
VE,ECJ,El Consejo,El Consejo,D,RQ,-----6--,,10.233333333333333,-67.26666666666667,
VE,EOR,El Dorado,El Dorado,,AI,---4----,,6.7157937,-61.63777319409204,true
VE,EGU,El Guamache,El Guamache,,AI,1-------,,10.8955137,-64.0647769,true
VE,EHT,El Hatillo,El Hatillo,M,RL,--3-----,,10.433333333333334,-66.81666666666666,
VE,ELJ,El Jose,El Jose,B,RL,--3--6--,,10.083333333333334,-65.91666666666667,
VE,EJT,El Junquito,El Junquito,A,RL,-----6--,,10.466666666666667,-67.08333333333333,
VE,ELP,El Palito,El Palito,,AI,1-------,,10.477589,-68.1104562,true
VE,EPL,El Pinal,El Pinal,C,RL,-----6--,,7.366666666666666,-68.7,
VE,EPY,El Playon,El Playon,P,RQ,-----6--,,9.1,-69.03333333333333,
VE,ESB,El Sombrero,El Sombrero,M,RL,--3-----,,10.016666666666667,-65.6,
VE,ETV,El Tablazo/Maracaibo L,El Tablazo/Maracaibo L,,AI,1-------,,10.75977,-71.51905,true
VE,ELX,El Tigre,El Tigre,,AI,---4----,,8.8335464,-64.2082795,true
VE,ETC,El Tocuyo,El Tocuyo,K,RL,--3-----,,9.766666666666667,-69.78333333333333,
