country,location,name,nameWoDiacritics,subdivision,status,function,iata,lat,lon,geocoded
VG,NGD,Anegada,Anegada,,AI,---4----,,18.7277124,-64.32864252869577,true
VG,EIS,"""Beef Island"," Tortola""","""Beef Island"," Tortola""",,1--4----,18.4394815,-64.52336680447087,true
VG,JVD,Jost Van Dyke,Jost Van Dyke,,RQ,1-------,,18.45,-64.73333333333333,
VG,NSX,N. Sound/Virgin Gorda,N. Sound/Virgin Gorda,,AI,---4----,,,,
VG,NIS,Norman Island,Norman Island,,RQ,1-------,,18.316666666666666,-64.61666666666666,
VG,PUR,Port Purcell,Port Purcell,,RQ,1----6--,,18.416666666666668,-64.6,
VG,RAD,"""Road Town"," Tortola""","""Road Town"," Tortola""",,1--45---,18.425766,-64.6230914,true
VG,SHO,Sopers Hole,Sopers Hole,,RQ,1-------,,18.383333333333333,-64.7,
VG,OP9,Spanish Town,Spanish Town,,RL,--3-----,,18.45,-64.43333333333334,
VG,TOV,Tortola,Tortola,,AI,1--4----,,18.42105685,-64.63883251023499,true
VG,VIJ,Virgin Gorda,Virgin Gorda,,AI,---4----,,18.4466072,-64.4279001888192,true
