country,location,name,nameWoDiacritics,subdivision,status,function,iata,lat,lon,geocoded
VI,ON6,Altona,Altona,,AA,--3-----,,18.333333333333332,-64.93333333333334,
VI,AGL,Anguilla,Anguilla,,RL,--3-----,,17.7,-64.76666666666667,
VI,CHA,"""Charlotte Amalie"," Saint Thomas""","""Charlotte Amalie"," Saint Thomas""",,1-------,17.72751,-64.74698,true
VI,CTD,"""Christiansted"," Saint Croix""","""Christiansted"," Saint Croix""",,1-------,17.74192,-64.69264,true
VI,CZB,"""Cruz Bay"," Saint John""","""Cruz Bay"," Saint John""",,1-3-----,17.72751,-64.74698,true
VI,ENP,Enighed Pond,Enighed Pond,,RL,1-------,,18.36329,-64.92264,true
VI,FRD,"""Frederiksted"," Saint Croix""","""Frederiksted"," Saint Croix""",,1-------,17.72751,-64.74698,true
VI,HOC,Hovic,Hovic,,RQ,1-------,,,,
VI,KIN,Kingshill,Kingshill,,RL,-----6--,,17.716666666666665,-64.86666666666666,
VI,LIB,Limetree Bay,Limetree Bay,,RQ,1-------,,18.36329,-64.72041,true
VI,PAX,Port Alucroix,Port Alucroix,,RL,1-3--6--,,17.7,-64.76666666666667,
VI,STX,Saint Croix,Saint Croix,,AI,--34----,,17.75,-64.73333333333333,
VI,SJN,"""Saint John"," Saint Croix Is""","""Saint John"," Saint Croix Is""",,--3-----,17.76358,-64.74709,true
VI,STT,Saint Thomas,Saint Thomas,,AI,1--4----,,18.35,-64.93333333333334,
