country,location,name,nameWoDiacritics,subdivision,status,function,iata,lat,lon,geocoded
VN,AGG,An Giang,An Giang,44,RQ,--3-----,,10.835033150000001,105.10362474984248,true
VN,ANP,An Ph�,An Phu,44,RL,--3-----,,10.85,105.08333333333333,
VN,OTW,B12 Oil Terminal,B12 Oil Terminal,13,RQ,1-------,,20.95,103.05,
VN,BNO,Ba Ngoi,Ba Ngoi,34,RQ,1-3-----,,11.9,109.15,
VN,7BR,B� Ria,Ba Ria,43,RL,--3-----,,10.5,107.16666666666667,
VN,BGG,Bac Giang,Bac Giang,54,RQ,--3-----,,21.2795479,106.2038074,true
VN,BLU,Bac Lieu,Bac Lieu,55,RL,--3-----,,9.283333333333333,105.71666666666667,
VN,BNH,Bac Ninh,Bac Ninh,56,RQ,--3-----,,21.1781515,106.0710078,true
VN,BHO,Bach Ho,Bach Ho,40,RQ,1-------,,9.833333333333334,108,
VN,BMV,Banmethuot,Banmethuot,,RQ,---4----,,12.666666666666666,108.1,
VN,BAO,Bao Loc,Bao Loc,35,RQ,1-------,,11.5506941,107.8092511,true
VN,BCT,Ben C�t,Ben Cat,,RL,--3-----,,11.15,106.6,
VN,BCD,Ben Dam Con Dao Terminals,Ben Dam Con Dao Terminals,43,RQ,1-------,,8.65,106.55,
VN,BNE,B�n Ngh�,Ben Nghe,,RL,--3-----,,19.266666666666666,105.6,
VN,BNG,B�n Ngh�,Ben Nghe,SG,RQ,1-3-----,,10.75,106.73333333333333,
VN,TRE,Ben Tre,Ben Tre,50,RL,1-------,,10.233333333333333,106.38333333333334,
VN,BEN,Benthuy,Benthuy,,QQ,1-------,,,,
VN,BHA,Bi�n H�a,Bien Hoa,,RL,--3-----,,10.966666666666667,106.83333333333333,
VN,BCH,B�nh Ch�nh,Binh Chanh,SG,RL,-----6--,,10.666666666666666,106.56666666666666,
VN,BDH,Binh Dinh,Binh Dinh,31,RQ,--3-----,,13.8871486,109.112944,true
VN,BDU,Binh Duong,Binh Duong,27,RL,1-3-----,,22.62665,105.83188,true
VN,BDG,Binh Duong Terminal,Binh Duong Terminal,57,RQ,1-3-----,,10.9,106.83333333333333,
VN,DAN,Binh Hoa,Binh Hoa,57,RL,--3-----,,14.5,108.91666666666667,
VN,BIH,B�nh H�a,Binh Hoa,,RL,--3-----,,10.933333333333334,106.71666666666667,
VN,BLG,Binh Long Port,Binh Long Port,44,RL,1-------,,10.566666666666666,105.25,
VN,BMH,Binh Minh,Binh Minh,,RQ,1-3-----,,10.333333333333334,105.81666666666666,
VN,BTH,Binh Thanh,Binh Thanh,,RL,--3-----,,10.766666666666667,106.75,
VN,BTN,Binh Thuan,Binh Thuan,40,RQ,--3-----,,21.79029,105.21015,true
VN,BSE,B�ng Sen,Bong Sen,,RQ,1-3-----,,10.683333333333334,106.76666666666667,
VN,HNH,Bong Son,Bong Son,,RL,1-------,,14.433333333333334,109.01666666666667,
VN,THQ,Buon Ma Thuot,Buon Ma Thuot,33,RQ,-----6--,,12.666666666666666,108.05,
VN,CAH,Ca Mau,Ca Mau,,RQ,---4----,,9.166666666666666,105.15,
VN,CCU,Cai Cui Port,Cai Cui Port,CT,RL,1-3-----,,9.983333333333333,106.5,
VN,TOT,Cai Mep,Cai Mep,43,RL,1-------,,10.383333333333333,107.08333333333333,
VN,CMT,Cai Mep International Terminal,Cai Mep International Terminal,43,AA,1-3-----,,10.516666666666667,107,
VN,CKH,Cam Kh�,Cam Khe,70,RL,--3-----,,21.433333333333334,105.11666666666666,
VN,BAN,Cam L�m,Cam Lam,34,RL,123-----,,11.9,109.15,
VN,CPH,Cam Pha,Cam Pha,,QQ,1-------,,21.004432,107.278029,true
VN,CXR,Cam Ranh,Cam Ranh,34,RL,--3-----,,11.9,109.13333333333334,
VN,CRB,Camranh,Camranh,,QQ,1-------,,,,
VN,VCA,Can Tho,Can Tho,CT,AI,1-34----,,10.033333333333333,105.78333333333333,
VN,CBG,Cao Bang,Cao Bang,04,RQ,--3-----,,22.6657612,106.2588307,true
VN,CSJ,Cape Saint Jacques,Cape Saint Jacques,,RQ,---4----,,10.35,107.06666666666666,
VN,CLI,C�t L�i,Cat Lai,SG,RL,1-3-----,,10.766666666666667,106.78333333333333,
VN,OCL,Cat Lai Oil Port,Cat Lai Oil Port,SG,RQ,1-3-----,,10.733333333333333,106.76666666666667,
VN,CMY,Chan May Port,Chan May Port,26,RQ,1-3-----,,16.333333333333332,108,
VN,CTN,Chau Thanh,Chau Thanh,31,RL,--3-----,,13.95,109.08333333333333,
VN,CLH,Chi Linh,Chi Linh,61,RL,--3-----,,21.666666666666668,106.31666666666666,
VN,C8Q,Chu Lai,Chu Lai,29,RL,--3-----,,15.4,108.7,
VN,CVE,Chua Ve Terminal,Chua Ve Terminal,HP,RQ,1-3-----,,20.866666666666667,106.7,
VN,CCA,Cua Cam Terminal,Cua Cam Terminal,HP,RQ,1-3-----,,20.866666666666667,106.68333333333334,
VN,CUA,Cua Lo,Cua Lo,22,RL,1-3-----,,18.816666666666666,105.71666666666667,
VN,CUV,Cua Viet Port,Cua Viet Port,25,RQ,1-3-----,,16.9,107.16666666666667,
VN,CLO,Culao,Culao,,RL,1-3-----,,18.8,105.7,
VN,DAD,Da Nang,Da Nang,27,AI,1--4----,,16.066666666666666,108.21666666666667,
VN,DKN,Dak Konong,Dak Konong,28,RL,--3-----,,14.8,107.9,
VN,DLI,Dalat,Dalat,,RQ,---4----,,11.933333333333334,108.41666666666667,
VN,DMO,Dam Mon,Dam Mon,34,RQ,1-------,,12.666666666666666,109.4,
VN,DI2,Di An,Di An,57,RL,--3--6--,,10.9,106.75,
VN,DVU,Dinh Vu Terminal,Dinh Vu Terminal,HP,RQ,1-3-----,,20.9,106.76666666666667,
VN,DXA,Doan Xa Terminal,Doan Xa Terminal,HP,RQ,1-3-----,,20.866666666666667,106.68333333333334,
VN,DGD,Dong Da,Dong Da,,RL,--3-----,,22.633333333333333,106.4,
VN,DH2,Dong H�,Dong Ha,61,RL,--3-----,,20.966666666666665,106.3,
VN,DN3,D�ng H�i,Dong Hai,23,RL,1-3-----,,18.166666666666668,106.28333333333333,
VN,DHO,Dong Hoa,Dong Hoa,57,RL,--3-----,,10.9,106.78333333333333,
VN,DOH,Dong Hoi,Dong Hoi,,RQ,1-------,,17.4659566,106.5984715,true
VN,DNA,Dong Nai,Dong Nai,,RL,1-3-----,,18.083333333333332,106.31666666666666,
VN,DGS,Dong Son,Dong Son,46,RL,--3-----,,10.4,106.56666666666666,
VN,DTH,Dong Thap,Dong Thap,,RQ,1-3-----,,10.483333333333333,105.56666666666666,
VN,DXN,Dong Xuyen Port,Dong Xuyen Port,43,RL,1-3-----,,10.4,107.1,
VN,DCH,Duc Hoa,Duc Hoa,41,RL,--3-----,,10.816666666666666,106.45,
VN,DQT,Dung Quat,Dung Quat,29,RL,1-34-6--,VCL,15.4,108.7,
VN,GLI,Gia Lai,Gia Lai,30,RQ,--3-----,,10.01667,105.08333,true
VN,GIL,Gia Lam,Gia Lam,,RL,--3--6--,,21.066666666666666,106.48333333333333,
VN,H7D,Gia Lam Pho,Gia Lam Pho,HN,RL,--3-----,,21.05,105.88333333333334,
VN,GDA,Go Dau A Terminal,Go Dau A Terminal,39,RQ,1-3-----,,10.65,107.01666666666667,
VN,GDB,Go Dau B Terminal,Go Dau B Terminal,39,RQ,1-3-----,,10.616666666666667,107.01666666666667,
VN,HAG,H� Giang,Ha Giang,03,RL,--3-----,,22.833333333333332,104.98333333333333,
VN,HLG,Ha Long,Ha Long,13,RQ,1-3-----,,20.95,107.06666666666666,
VN,HTY,Ha Tay,Ha Tay,HN,RQ,--3-----,,11.5819625,107.5053629,true
VN,HAT,Ha Tinh,Ha Tinh,,RQ,1-------,,18.3452745,105.9019482,true
VN,HDG,Hai Duong,Hai Duong,61,RQ,1-3-----,,20.9430878,106.3225388,true
VN,HSN,Hai Son,Hai Son,DN,RQ,1-3-----,,16.1,108.23333333333333,
VN,HPH,Haiphong,Haiphong,,AI,1-------,,20.858864,106.6749591,true
VN,HAN,Hanoi,Hanoi,HN,AI,1--45---,,21.033333333333335,105.85,
VN,HGG,Hau Giang,Hau Giang,73,RQ,--3-----,,22.83333,104.98333,true
VN,SPC,Hiep Phuoc Port,Hiep Phuoc Port,SG,RQ,1-3-----,,10.633333333333333,106.75,
VN,HTH,Hiep Thanh,Hiep Thanh,36,RL,-----6--,,11.833333333333334,109.1,
VN,SGN,Ho Chi Minh City,Ho Chi Minh City,SG,AI,1-3456--,,10.766666666666667,106.66666666666667,
VN,VIC,"""Ho Chi Minh"," VICT""","""Ho Chi Minh"," VICT""",,1-------,10.781971,106.693081,true
VN,HBH,Hoa Binh,Hoa Binh,14,RL,--3-----,,20.8,105.33333333333333,
VN,HLC,Hoa Lac,Hoa Lac,70,RL,-----6--,,21.25,105.46666666666667,
VN,HMC,Hoa Mac,Hoa Mac,63,RL,-23-----,,20.633333333333333,106,
VN,HVG,Hoa Vang,Hoa Vang,,RL,-----6--,,16.016666666666666,108.21666666666667,
VN,HAA,Hoai An,Hoai An,,RQ,1-------,,14.346528,108.907238596789,true
VN,HIA,Hoi An,Hoi An,,RQ,1-------,,15.8795863,108.3319406,true
VN,HCH,Hon Chong,Hon Chong,,RQ,1-------,,10.1626451,104.6143368,true
VN,HLP,Hon La Port,Hon La Port,24,RL,1-------,,17.933333333333334,106.51666666666667,
VN,HON,Hongai,Hongai,,QQ,1-------,,20.9528365,107.0800003,true
VN,HUI,Hue,Hue,,AI,1--4----,,16.4639321,107.5863388,true
VN,HYN,Hung Yen,Hung Yen,66,RQ,1-3-----,,20.6568406,106.054036,true
