country,location,name,nameWoDiacritics,subdivision,status,function,iata,lat,lon,geocoded
VU,AUY,Aneityum,Aneityum,,AI,---4----,,,,
VU,AWD,Aniwa,Aniwa,,AI,---4----,,,,
VU,GBA,Big Bay,Big Bay,,AI,---4----,,,,
VU,CCV,Craig Cove,Craig Cove,,AI,---4----,,-16.2649994,167.923996,true
VU,DLY,Dillon's Bay,Dillon's Bay,TAE,AI,---4----,,-18.816666666666666,169,
VU,EAE,�mae,Emae,,AI,---4----,,-17.066666666666666,168.36666666666667,
VU,EPI,�pi,Epi,,AI,---4----,,-16.716666666666665,168.25,
VU,SON,Espiritu Santo,Espiritu Santo,,AI,---4----,,,,
VU,FTA,Futuna Island,Futuna Island,,AI,---4----,,-19.5163994,170.2319946,true
VU,ZGU,Gaua,Gaua,,AI,---4----,,,,
VU,HNH,Havannah Harbour,Havannah Harbour,SEE,RQ,-----6--,,-17.583333333333332,168.23333333333332,
VU,IPA,Ipota,Ipota,,AI,---4----,,-18.85628345,169.28304969130744,true
VU,LPM,Lamap,Lamap,,AI,---4----,,-16.4566477,167.8287869,true
VU,LNB,Lamen Bay,Lamen Bay,,AI,---4----,,-16.5841999,168.1589966,true
VU,LOD,Longana,Longana,,AI,---4----,,-15.30329465,167.97106377359472,true
VU,LNE,Lonorore,Lonorore,,AI,---4----,,-15.8638803,168.17103889455552,true
VU,LUG,Luganville,Luganville,SAM,RL,1-3-----,,-15.533333333333333,167.16666666666666,
VU,MWF,Ma�wo,Maewo,,AI,---4----,,-15.166666666666666,168.16666666666666,
VU,MTV,Mota Lava,Mota Lava,,AI,---4----,,-13.6660004,167.7120056,true
VU,NUS,Norsup,Norsup,,AI,---4----,,,,
VU,OLJ,Olpoi,Olpoi,,AI,---4----,,-14.8810156,166.55778026503145,true
VU,PBJ,Paama,Paama,,AI,---4----,,-16.432021900000002,168.23523696852922,true
VU,PSA,Port Sandwich,Port Sandwich,,RQ,1-------,,-17.73381,168.32188,true
VU,VLI,Port Vila,Port Vila,,AI,1--45---,,-17.69913085,168.3193165665017,true
VU,UIQ,Quine Hill,Quine Hill,,AI,---4----,,-19.38333,169.28333,true
VU,RCL,Redcliffe,Redcliffe,,AI,---4----,,-15.47138395,167.83484827394676,true
VU,SAN,Santo,Santo,,RQ,1-------,,,,
VU,SSR,Sara,Sara,,AI,---4----,,-17.5408138,168.4421927,true
VU,SLH,Sola,Sola,,AI,---4----,,-13.8528474,167.5373349,true
VU,SWJ,South West Bay,South West Bay,,AI,---4----,,-16.4834454,167.4458702,true
VU,TAH,Tanna,Tanna,,AI,---4----,,,,
VU,TGH,Tongoa,Tongoa,,AI,---4----,,-16.890869549999998,168.55130308029692,true
VU,TOH,Torres,Torres,,AI,---4----,,,,
VU,ULB,Ulei,Ulei,,AI,---4----,,-16.3298439,168.3006222,true
VU,VLS,Valesdir,Valesdir,,AI,---4----,,-16.7961006,168.177002,true
VU,WLH,Walaha,Walaha,,AI,---4----,,-15.411354249999999,167.69118771294598,true
