country,location,name,nameWoDiacritics,subdivision,status,function,iata,lat,lon
XZ,AAD,Aasgard,Aasgard,,RQ,1-------,,65.08333333333333,6.733333333333333
XZ,SHA,Al Shaheen terminal,Al Shaheen terminal,,RL,1-------,,26.583333333333332,52
XZ,ALV,Alve,Alve,,RQ,------7-,,65.96666666666667,7.5
XZ,ANU,Anoa Natuna,Anoa Natuna,,RQ,1-------,,5.233333333333333,105.6
XZ,ANT,Ardjuna,Ardjuna,,RL,1-------,,-5.9,105.95
XZ,BRA,Brage,Brage,,RQ,------7-,,60.583333333333336,3.0833333333333335
XZ,BUV,Buffalo Venture,Buffalo Venture,,RN,1-------,,,
XZ,CMT,Camar Marine Terminal,Camar Marine Terminal,,RQ,1-------,,-6.3,113
XZ,OCA,"""Co-operation Zone A (AU","ID)""","""Co-operation Zone A (AU","ID)""",,1-------,97.06666666666666,NaN
XZ,DHS,Dai Hung (STS Load),Dai Hung (STS Load),,RQ,1-------,,8.866666666666667,103.3
XZ,DHT,Dai Hung (Tandem Load),Dai Hung (Tandem Load),,RQ,1-------,,8.466666666666667,108.68333333333334
XZ,DRT,De Ruiter,De Ruiter,,RQ,--3-----,,,
XZ,DRA,Draugen,Draugen,,RQ,1-------,,64.33333333333333,7.75
XZ,DTL,Dulang Marine Terminal,Dulang Marine Terminal,,RQ,1-------,,5.8,104.16666666666667
XZ,FRM,Fram,Fram,,RQ,------7-,,61.083333333333336,3.5
XZ,GJO,Gjoa,Gjoa,,RQ,------7-,,61.36666666666667,4
XZ,GRA,Grane,Grane,,RQ,------7-,,59.166666666666664,2.5
XZ,HEI,Heidrun,Heidrun,,RQ,1-------,,65.31666666666666,7.333333333333333
XZ,HUL,Huldra,Huldra,,RQ,------7-,,60.86666666666667,2.6666666666666665
XZ,KMT,Kakap Marine Terminal,Kakap Marine Terminal,,RQ,1-------,,5.016666666666667,105.95
XZ,KRI,Kristin,Kristin,,RQ,------7-,,65.03333333333333,6.416666666666667
XZ,KBJ,Kvitebjorn,Kvitebjorn,,RQ,------7-,,61.083333333333336,2.5
XZ,LAM,Laminaria Terminal,Laminaria Terminal,,RQ,1-------,,-11,126
XZ,LGT,Legendre Terminal,Legendre Terminal,,RN,1-------,,,
XZ,MKL,Mikkel,Mikkel,,RQ,------7-,,64.66666666666667,7.75
XZ,MVI,Morvin,Morvin,,RQ,------7-,,65.13333333333334,6.466666666666667
XZ,NJO,Njord,Njord,,RQ,1-------,,64.25,7.2
XZ,NNE,Norne,Norne,,RQ,1-------,,66,7.983333333333333
XZ,NTE,Northern Endeavour,Northern Endeavour,,RN,1-------,,,
XZ,SBY,Sibuko Bay,Sibuko Bay,,RQ,1-------,,3.85,118.1
XZ,SHV,Snohvit,Snohvit,,RQ,------7-,,71.61666666666666,21.416666666666668
XZ,STP,Stage Platform,Stage Platform,,RN,1-------,,,
XZ,SUU,Suursaq,Suursaq,,RL,1--4-6--,,80.81666666666666,-66.63333333333334
XZ,SYG,Sygna,Sygna,,RQ,------7-,,61.5,2
XZ,TGR,Tandjung Gerem,Tandjung Gerem,,RQ,1-------,,5.966666666666667,105.98333333333333
XZ,TUN,Tune,Tune,,RQ,------7-,,60.5,2.6666666666666665
XZ,THA,Tyrihans,Tyrihans,,RQ,------7-,,64.81666666666666,7.05
XZ,URD,Urd,Urd,,RQ,------7-,,66.03333333333333,8.383333333333333
XZ,VFK,Veslefrikk,Veslefrikk,,RQ,------7-,,60.78333333333333,2.8833333333333333
XZ,VGD,Vigdis,Vigdis,,RQ,------7-,,61.416666666666664,2.1666666666666665
XZ,VIL,Vilje,Vilje,,RQ,------7-,,59.666666666666664,2.283333333333333
XZ,VSU,Visund,Visund,,RQ,------7-,,61.46666666666667,2.5
XZ,VOV,Volve,Volve,,RQ,------7-,,58.416666666666664,1.9166666666666665
XZ,WRT,Widuri Marine Terminal,Widuri Marine Terminal,,RQ,1-------,,-4.666666666666667,106.65
XZ,YET,Yetagun Field,Yetagun Field,,RQ,1-------,,13.05,96.85
XZ,YGT,Yttergryta,Yttergryta,,RQ,------7-,,65.11666666666666,7.7
