country,location,name,nameWoDiacritics,subdivision,status,function,iata,lat,lon,geocoded
YE,EAB,Abbse,Abbse,,AI,---4----,,,,
YE,ADN,'Adan,'Adan,AD,RQ,-----6--,,12.766666666666667,45.03333333333333,
YE,ADE,Aden,Aden,,AI,1--45---,,12.82954345,45.03155218778438,true
YE,AHW,Ahwar,Ahwar,,QQ,1-------,,13.52019,46.713669,true
YE,AAY,Al Ghaydah,Al Ghaydah,,AI,---4----,,16.1852658,52.1726841872739,true
YE,ZAM,Al Mukalla,Al Mukalla,HD,RQ,-----6--,,14.516666666666667,49.11666666666667,
YE,BUK,Albuq,Albuq,,AI,---4----,,15.833333333333334,43.766666666666666,
YE,AJO,Aljouf,Aljouf,AB,AI,---4----,,13.833333333333334,45.833333333333336,
YE,ASR,Ash Shihr,Ash Shihr,,RL,--3-----,,14.762932249999999,49.60644305498925,true
YE,AXK,Ataq,Ataq,,AI,---4----,,14.55519435,46.81883220424848,true
YE,BLH,Balhaf,Balhaf,SH,RQ,--3-----,,13.966666666666667,48.18333333333333,
YE,BYD,Beidah,Beidah,BA,AI,---4----,,13.983333333333333,45.56666666666667,
YE,BHN,Beihan,Beihan,,AI,---4----,,14.7819996,45.7201004,true
YE,BOG,Bogoa,Bogoa,,QQ,--3-----,,,,
YE,DAH,Dathina,Dathina,,AI,---4----,,,,
YE,DHL,Dhala,Dhala,,AI,---4----,,13.7017374,44.7314344,true
YE,DMR,Dhamar,Dhamar,,AI,---4----,,14.542997,44.4000607,true
YE,ELK,El Katieb,El Katieb,,QQ,1-------,,,,
YE,HAR,Harad,Harad,,QQ,1-------,,16.4061009,43.0560545,true
YE,HAU,Haura,Haura,,QQ,1-------,,13.867512,43.6179,true
YE,HOD,Hodeidah,Hodeidah,,AI,1--45---,,14.833333333333334,42.9,
YE,IBB,Ibb,Ibb,,RL,--3-----,,13.9701578,44.1779446,true
YE,KAM,Kamaran,Kamaran,,AI,---4----,,15.353702,42.594359,true
YE,KHO,Khokha,Khokha,,QQ,1-------,,13.8061801,43.2493674,true
YE,LEH,Lahj,Lahj,LA,RL,--3-----,,13.05,44.88333333333333,
YE,LAW,Lawdar,Lawdar,,RL,--3-----,,13.8841068,45.8677186,true
YE,LAD,Little Aden,Little Aden,AD,RL,1-3-----,,12.733333333333333,44.86666666666667,
YE,LDR,Lodar,Lodar,,AI,---4----,,13.8841068,45.8677186,true
YE,LOH,Loheiya,Loheiya,,RQ,0-------,,15.703088,42.690933,true
YE,MAH,Ma'allah,Ma'allah,AD,RL,--3-----,,12.783333333333333,45,
YE,MYN,Mareb,Mareb,,AI,1-34----,,15.5986243,45.2598934,true
YE,MFY,Mayfa'ah,Mayfa'ah,,AI,---4----,,15.204544,44.012247,true
YE,MOK,Mokha,Mokha,,QQ,1-------,,13.3095574,43.23449407783569,true
YE,MKX,Mukalla,Mukalla,,AI,1--4----,,14.5424624,49.1231345,true
YE,UKR,Mukeiras,Mukeiras,,AI,---4----,,13.9433032,45.6711122,true
YE,NIS,Nishtun,Nishtun,,RQ,0-------,,15.8232846,52.1860456,true
YE,PRM,Perim Island,Perim Island,TA,RL,1-------,,12.65,43.416666666666664,
YE,IHN,Qishn,Qishn,,AI,---4----,,15.422778,51.681389,true
YE,RAK,Ras Al Kalib,Ras Al Kalib,,QQ,1-------,,14.801035,42.943377,true
YE,RAI,Ras Isa Terminal,Ras Isa Terminal,,RL,1-------,,15.2,42.666666666666664,
YE,RXA,Raudha,Raudha,,AI,---4----,,15.4745454,44.219735681857856,true
YE,RIY,Riyan Mukalla,Riyan Mukalla,HD,AI,---4----,,14.65,49.333333333333336,
YE,SYE,Sadah,Sadah,,AI,1-34----,,14.214582,44.489938,true
YE,SAL,Saleef Port,Saleef Port,,QQ,1-------,,,,
YE,SAH,Sana'a,Sana'a,,AI,---4----,,15.3538569,44.2058841,true
YE,GXF,Seiyun,Seiyun,,AI,---4----,,15.96564485,48.788386806515405,true
YE,SCT,Suqutr�,Suqutra,,AI,1--4----,,12.5,54,
YE,TAI,Taiz,Taiz,,AI,---4----,,13.5752242,44.0215268,true
YE,WDA,Wadi Ain,Wadi Ain,,RQ,---4----,,14.866666666666667,45.53333333333333,
