country,location,name,nameWoDiacritics,subdivision,status,function,iata,lat,lon
YT,BAN,Bandrele,Bandrele,,RL,--3--6--,,-12.9,45.166666666666664
YT,MAY,Bou�ni,Boueni,,AM,--3-----,,-12.933333333333334,45.11666666666667
YT,CHN,Chiconi,Chiconi,,RL,--3-----,,-12.833333333333334,45.11666666666667
YT,CGU,Chirongui,Chirongui,,RL,-----6--,,-12.933333333333334,45.15
YT,DZA,Dzaoudzi-Pamandzi Apt,Dzaoudzi-Pamandzi Apt,,AI,1--4----,,-12.8,45.28333333333333
YT,KNK,Kani-K�li,Kani-Keli,,AA,1-3-----,,-12.95,45.1
YT,KNG,Koungou,Koungou,,RL,--3-----,,-12.733333333333333,45.2
YT,LON,Longoni,Longoni,,AA,1-3-----,,-12.716666666666667,45.166666666666664
YT,MAM,Mamoudzou,Mamoudzou,,AI,1-------,,-12.783333333333333,45.233333333333334
YT,MTS,Mtsamboro,Mtsamboro,,RL,--3-----,,-12.7,45.06666666666667
YT,PAS,Passamainty,Passamainty,,RL,--3-----,,-12.8,45.21666666666667
YT,SAD,Sada,Sada,,RL,--3-----,,-12.85,45.1
