country,location,name,nameWoDiacritics,subdivision,status,function,iata,lat,lon,geocoded
ZW,BAT,Bata,Bata,,RL,--3-----,,-19.4714811,29.796961529981537,true
ZW,BBG,Beitbridge,Beitbridge,,RL,--3-----,,-22.216666666666665,30,
ZW,BGV,Belgravia,Belgravia,HA,RL,--3-----,,-17.8,31.033333333333335,
ZW,BIN,Bindura,Bindura,,RQ,--3-----,,-17.3,31.316666666666666,
ZW,BFO,Buffalo Range,Buffalo Range,,AI,---4----,,-16.9002,29.7603,true
ZW,BUQ,Bulawayo,Bulawayo,,AI,---45---,,-20.1560599,28.5887063,true
ZW,BZH,Bumi Hills,Bumi Hills,,AI,---4----,,-16.8169994,28.3500004,true
ZW,CHE,Chegutu,Chegutu,MW,RQ,1----6--,,-18.133333333333333,30.15,
ZW,CIM,Chimanimani,Chimanimani,MA,RL,-----6--,,-19.8,32.86666666666667,
ZW,Z45,Chinhoyi,Chinhoyi,MW,RL,--3-----,,-17.366666666666667,30.2,
ZW,CHJ,Chipinge,Chipinge,,AI,---4----,,-20.2042165,32.6261827,true
ZW,CHI,Chiredzi,Chiredzi,,RL,-23-----,,-21.05,31.666666666666668,
ZW,CGW,Chitungwiza,Chitungwiza,HA,RL,--3-----,,-18,31.05,
ZW,DW3,Darwendale,Darwendale,MW,RL,--3-----,,-17.716666666666665,30.55,
ZW,FLU,Filabusi,Filabusi,MS,RL,1----6--,,-20.533333333333335,29.283333333333335,
ZW,GDE,Glendale,Glendale,MC,RL,--3-----,,-17.35,31.05,
ZW,GOK,Gokwe,Gokwe,MI,RL,-----6--,,-18.216666666666665,28.933333333333334,
ZW,GTS,Graniteside,Graniteside,HA,RL,--3-----,,-17.85,31.05,
ZW,GUI,Guruve,Guruve,MC,RL,--3-----,,-16.65,30.7,
ZW,GTU,Gutu,Gutu,MV,RQ,--3-----,,-19.65,31.166666666666668,
ZW,GWA,Gwanda,Gwanda,MS,RL,1----6--,,-20.933333333333334,29,
ZW,GWE,Gweru,Gweru,MI,AI,--34----,,-19.45,29.816666666666666,
ZW,HRE,Harare,Harare,,AI,---45---,,-17.831773,31.045686,true
ZW,HUI,Hauna,Hauna,MA,RL,--3-----,,-18.483333333333334,32.833333333333336,
ZW,HDL,Headlands,Headlands,,RQ,--3-----,,-18.283333333333335,32.03333333333333,
ZW,WKI,Hwange,Hwange,,AI,---4----,,-18.3623096,26.52106461017609,true
ZW,HWN,Hwange National Park,Hwange National Park,,AI,---4----,,-19.166666666666668,26.5,
ZW,KDM,Kadoma,Kadoma,,RL,--3-----,,-18.316666666666666,29.9,
ZW,KAB,Kariba,Kariba,,AI,---4----,,-16.527274,28.7755479,true
ZW,KWE,Kwekwe,Kwekwe,,RQ,-23-----,,-18.91868425,29.813591334413864,true
ZW,LI4,Lalapansi,Lalapansi,MI,RL,--3-----,,-19.333333333333332,30.183333333333334,
ZW,MJW,Mahenye,Mahenye,,AI,---4----,,,,
ZW,MAP,Mapanzure,Mapanzure,MV,RL,--3-----,,-20.383333333333333,30.85,
ZW,MBH,Marlborough,Marlborough,HA,RQ,-----6--,,-17.75,31.216666666666665,
ZW,MAD,Marondera,Marondera,,RQ,--3-----,,-18.183333333333334,31.55,
ZW,MVZ,Masvingo,Masvingo,,AI,---4----,,-20.06109525,30.860836538883625,true
ZW,MZW,Mazowe,Mazowe,MC,RL,--3-----,,-17.516666666666666,30.966666666666665,
ZW,MGU,Mhangura,Mhangura,MW,RL,--3-----,,-16.9,30.15,
ZW,MPK,Milton Park,Milton Park,HA,RL,--3-----,,-17.8,31.016666666666666,
ZW,MSA,Msasa,Msasa,HA,RL,--3-----,,-17.833333333333332,31.1,
ZW,UTA,Mutare,Mutare,,AI,-2-4----,,-18.9969814,32.62719201753194,true
ZW,MUT,Mutoko,Mutoko,ME,RL,-----6--,,-17.4,32.21666666666667,
ZW,NBD,Nembudziya,Nembudziya,MI,RL,--3-----,,-17.683333333333334,29.016666666666666,
ZW,NGE,Ngezi,Ngezi,MI,RL,--3-----,,-20.566666666666666,30.4,
ZW,NAG,Norton,Norton,MW,RL,-----6--,,-17.883333333333333,30.7,
ZW,RSP,Rusape,Rusape,MA,RL,12------,,-18.533333333333335,32.11666666666667,
ZW,ZMW,Selous,Selous,MW,RL,--3-----,,-18.083333333333332,30.45,
ZW,VM8,Shamva,Shamva,MC,RL,--3-----,,-17.3,31.566666666666666,
ZW,SGW,Shurugwi,Shurugwi,MI,RL,--3-----,,-19.666666666666668,30,
ZW,STH,Southerton,Southerton,,RL,--3-----,,-17.85,31.016666666666666,
ZW,THJ,Thompson Junction,Thompson Junction,,RL,-23-----,,-18,26.433333333333334,
ZW,VFA,Victoria Falls,Victoria Falls,,AI,---4----,,-17.89198085,25.871429378230903,true
ZW,ZMZ,Zimbabwe,Zimbabwe,MV,RL,1-3-----,,-20.266666666666666,30.916666666666668,
ZW,ZVS,Zvishavane,Zvishavane,MI,RL,--3-----,,-20.333333333333332,30.033333333333335,
